Active Drones,Total Damage,Energy Consumed
4,487,12.39999999999998
5,617,13.51999999999996
5,696,13.359999999999946
5,386,13.799999999999955
4,360,12.199999999999989
3,666,11.320000000000007
2,1711,7.0800000000000045
4,493,12.319999999999986
4,918,11.999999999999975
5,597,13.63999999999994
3,917,8.760000000000007
3,1488,9.000000000000002
5,430,13.399999999999967
4,857,10.759999999999984
3,1060,9.840000000000007
4,924,11.760000000000005
3,785,9.480000000000008
4,669,10.720000000000002
5,431,13.359999999999967
4,287,14.319999999999986
4,617,12.399999999999986
4,846,10.719999999999985
4,379,12.319999999999986
4,462,12.239999999999988
3,1495,8.800000000000006
4,464,12.280000000000008
5,361,13.679999999999957
5,412,13.27999999999997
5,442,13.15999999999995
3,1041,8.840000000000007
