queue_missing_battery_sum,charger_charging_capacity,queue_length,charging_drones,target
0.0,0.1,0.0,0.0,1
0.4619347291938114,0.1,0.0,1.0,23
0.0,0.1,0.0,0.0,1
0.4588213992758986,0.1,0.0,1.0,24
0.9223817124384049,0.1,1.0,1.0,25
1.325698795144821,0.1,1.0,1.0,20
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.3688213992758985,0.1,0.0,1.0,30
0.96575612846971,0.1,1.0,1.0,33
1.3493164416322163,0.1,2.0,1.0,43
2.128235977640362,0.1,3.0,1.0,51
0.0,0.1,0.0,0.0,1
0.5050000000000004,0.1,0.0,1.0,19
0.5550000000000005,0.1,0.0,1.0,13
1.080000000000001,0.1,1.0,1.0,21
0.6750000000000006,0.1,0.0,1.0,10
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.4450000000000004,0.1,0.0,1.0,25
0.9550000000000008,0.1,1.0,1.0,36
1.7150000000000016,0.1,2.0,1.0,38
1.9000000000000017,0.1,2.0,1.0,34
0.0,0.1,0.0,0.0,1
0.4550000000000004,0.1,0.0,1.0,24
0.9850000000000009,0.1,1.0,1.0,28
1.4750000000000014,0.1,2.0,1.0,40
1.7300000000000015,0.1,3.0,0.0,42
0.0,0.1,0.0,0.0,1
0.4500000000000004,0.1,0.0,1.0,24
0.9500000000000008,0.1,1.0,1.0,36
1.365000000000001,0.1,2.0,1.0,49
0.0,0.1,0.0,0.0,1
0.5488213992758987,0.1,0.0,1.0,12
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.5300000000000005,0.1,0.0,1.0,16
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.5500000000000005,0.1,0.0,1.0,14
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.37882139927589853,0.1,0.0,1.0,29
0.97075612846971,0.1,1.0,1.0,35
0.0,0.1,0.0,0.0,1
0.4588213992758986,0.1,0.0,1.0,21
1.325698795144821,0.1,1.0,1.0,26
0.0,0.1,0.0,0.0,1
0.40882139927589856,0.1,0.0,1.0,27
0.95075612846971,0.1,1.0,1.0,35
1.3843164416322162,0.1,2.0,1.0,51
2.213235977640362,0.1,3.0,1.0,45
0.0,0.1,0.0,0.0,1
0.5700000000000005,0.1,0.0,1.0,12
0.9950000000000009,0.1,1.0,1.0,26
0.7000000000000006,0.1,0.0,1.0,13
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.39500000000000035,0.1,0.0,1.0,30
0.8800000000000008,0.1,1.0,1.0,41
0.0,0.1,0.0,0.0,1
0.48500000000000043,0.1,0.0,1.0,21
0.0,0.1,0.0,0.0,1
0.4500000000000004,0.1,0.0,1.0,24
0.0,0.1,0.0,0.0,1
0.5700000000000005,0.1,0.0,1.0,12
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.4588213992758986,0.1,0.0,1.0,22
1.325698795144821,0.1,1.0,1.0,28
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.5169347291938114,0.1,0.0,1.0,17
0.8904950423563177,0.1,1.0,1.0,30
1.3994145783644634,0.1,2.0,1.0,42
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.4450000000000004,0.1,0.0,1.0,25
0.9350000000000008,0.1,1.0,1.0,37
1.7200000000000015,0.1,2.0,1.0,44
1.9700000000000017,0.1,2.0,1.0,45
0.7600000000000007,0.1,0.0,1.0,11
0.0,0.1,0.0,0.0,1
0.5800000000000005,0.1,0.0,1.0,11
1.0050000000000008,0.1,1.0,1.0,25
0.7550000000000007,0.1,0.0,1.0,10
1.180000000000001,0.1,1.0,1.0,23
0.0,0.1,0.0,0.0,1
0.4650000000000004,0.1,0.0,1.0,23
1.035000000000001,0.1,1.0,1.0,31
1.4900000000000013,0.1,2.0,1.0,44
1.9900000000000015,0.1,3.0,1.0,55
0.0,0.1,0.0,0.0,1
0.5900000000000005,0.1,0.0,1.0,10
0.5150000000000005,0.1,0.0,1.0,14
0.6350000000000006,0.1,0.0,1.0,9
1.1050000000000009,0.1,1.0,1.0,20
0.0,0.1,0.0,0.0,1
0.5488213992758987,0.1,0.0,1.0,15
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
