Active Drones,Total Damage,Alive Drone Rate,Damage Rate,Charger Capacity,Train,Average Run,Charge Alert,Battery Random Reduction
8.0,87.6,0.5,0.09348986125933831,2.0,2.0,3.0,0.2,0.0
8.0,102.0,0.5,0.10885805763073639,2.0,3.0,3.0,0.2,0.0
8.0,102.4,0.5,0.10928495197438634,2.0,4.0,3.0,0.2,0.0
8.0,103.6,0.5,0.11056563500533619,2.0,5.0,3.0,0.2,0.0
8.0,96.2,0.5,0.10266808964781218,2.0,6.0,3.0,0.2,0.0
8.0,106.8,0.5,0.11398078975453574,2.0,7.0,3.0,0.2,0.0
8.0,102.8,0.5,0.10971184631803628,2.0,8.0,3.0,0.2,0.0
8.0,109.0,0.5,0.11632870864461047,2.0,9.0,3.0,0.2,0.0
8.0,101.8,0.5,0.10864461045891143,2.0,10.0,3.0,0.2,0.0
8.0,100.4,0.5,0.1071504802561366,2.0,11.0,3.0,0.2,0.0
