epoch,train_mse,val_mse
1,826.1297607421875,554.0543823242188
2,824.0852661132812,552.2151489257812
3,821.9451904296875,550.33447265625
4,819.7997436523438,548.3811645507812
5,817.5194091796875,546.37158203125
6,815.0985107421875,544.2811889648438
7,812.6718139648438,542.0587158203125
8,810.0977783203125,539.7120971679688
9,807.3059692382812,537.2979736328125
10,804.5474853515625,534.748779296875
11,801.4758911132812,532.098876953125
12,798.6219482421875,529.3543701171875
13,795.2752685546875,526.5593872070312
14,791.9818115234375,523.6469116210938
15,788.5286865234375,520.6288452148438
16,784.9913940429688,517.4343872070312
17,780.9188232421875,514.0572509765625
18,776.8973999023438,510.3492736816406
19,772.4453125,506.3451232910156
20,767.6048583984375,502.068603515625
21,762.6251220703125,497.5055847167969
22,757.4229736328125,492.7276611328125
23,751.3998413085938,487.7374267578125
24,745.1539916992188,482.4415588378906
25,738.8405151367188,476.6803283691406
26,731.705322265625,470.51910400390625
27,724.0425415039062,464.102783203125
28,716.505615234375,456.9914855957031
29,707.5673828125,449.5246887207031
30,698.4234008789062,441.5752258300781
31,689.1591186523438,433.233642578125
32,678.6161499023438,424.7274169921875
33,667.9290771484375,415.7511901855469
34,657.5387573242188,406.0361633300781
35,644.859375,396.0828552246094
36,632.0530395507812,385.471923828125
37,618.9305419921875,374.0833740234375
38,604.6792602539062,362.44329833984375
39,589.367431640625,350.4439697265625
40,574.2489624023438,337.4708251953125
41,557.3172607421875,324.3038330078125
42,540.4827880859375,310.7315979003906
43,520.9981689453125,297.1650390625
44,504.1587219238281,282.6518249511719
45,484.73565673828125,268.36029052734375
46,465.41009521484375,254.51290893554688
47,446.6363220214844,241.0560302734375
48,428.3840026855469,227.37423706054688
49,408.762939453125,214.3887481689453
50,389.3577575683594,202.37814331054688
