epoch,train_mse,val_mse
1,89.84453582763672,85.42383575439453
2,69.48198699951172,80.25447845458984
3,57.41205596923828,94.59953308105469
4,60.712669372558594,114.52181243896484
5,63.56351852416992,112.42513275146484
6,60.98427963256836,97.15669250488281
7,55.34038543701172,87.16455841064453
8,55.74142837524414,83.43324279785156
9,55.294803619384766,84.12322235107422
10,54.85273361206055,86.50287628173828
11,54.43687057495117,88.44605255126953
12,54.06928253173828,94.59329986572266
13,54.11716842651367,96.70381927490234
14,53.95499038696289,96.03922271728516
15,53.960662841796875,93.45381927490234
16,53.6170539855957,91.25694274902344
17,53.20758056640625,90.7215347290039
18,53.05785369873047,90.09294891357422
19,53.02387237548828,89.65089416503906
20,52.718177795410156,87.49625396728516
21,52.865379333496094,85.86219787597656
22,53.14432144165039,85.76204681396484
23,52.99596405029297,86.76456451416016
24,52.68674087524414,87.97608947753906
25,52.413818359375,90.03863525390625
26,52.245426177978516,91.17009735107422
27,51.93803024291992,93.61673736572266
28,52.095516204833984,94.08287048339844
29,52.7509765625,95.92069244384766
30,52.10390853881836,92.07350158691406
31,52.00905227661133,88.39460754394531
32,51.81139373779297,87.8952865600586
33,51.6450080871582,89.34300994873047
34,51.57596206665039,92.29034423828125
35,51.45320510864258,94.18988800048828
36,51.18947219848633,93.19474792480469
37,51.33133316040039,90.80592346191406
38,51.31069564819336,91.45368194580078
39,51.08104705810547,91.5735092163086
40,51.08005142211914,91.1608657836914
41,51.0991096496582,91.29478454589844
42,51.04106903076172,91.30438995361328
43,50.827415466308594,92.11366271972656
44,50.76209259033203,94.02509307861328
45,50.80008316040039,95.29986572265625
46,50.33049774169922,92.1738052368164
47,50.43018341064453,89.92032623291016
48,50.694862365722656,89.55738830566406
49,50.32185745239258,91.29803466796875
50,50.88787078857422,95.86223602294922
