Active Drones,Total Damage,Alive Drone Rate,Damage Rate,Charger Capacity,Train,Average Run,Charge Alert,Battery Random Reduction
16.4,32.8,0.82,0.03500533617929562,2.0,2.0,3.0,0.2,0.0
15.0,45.2,0.75,0.04823906083244397,2.0,3.0,3.0,0.2,0.0
15.8,40.4,0.7899999999999999,0.04311632870864461,2.0,4.0,3.0,0.2,0.0
16.4,33.6,0.82,0.03585912486659552,2.0,5.0,3.0,0.2,0.0
15.8,44.6,0.7899999999999999,0.04759871931696905,2.0,6.0,3.0,0.2,0.0
15.6,35.2,0.78,0.03756670224119531,2.0,7.0,3.0,0.2,0.0
15.4,32.2,0.77,0.03436499466382071,2.0,8.0,3.0,0.2,0.0
15.6,34.2,0.78,0.03649946638207043,2.0,9.0,3.0,0.2,0.0
15.2,31.6,0.76,0.03372465314834579,2.0,10.0,3.0,0.2,0.0
14.8,44.8,0.74,0.04781216648879403,2.0,11.0,3.0,0.2,0.0
