current_time_step,drone_id,battery,estimated_waiting,energy_to_fly_to_charger,time_to_done_charging,charger,potential_drones_length,waiting_drones_length,accepted_queues_length,charging_drones_length
104,Drone_819,0.4599999999999995,0.6136929,0.25495097567963926,25.52689560699111,Charger_122,6,1,0,0
106,Drone_807,0.4149999999999995,0.665674,0.2109502310972899,21.12686111897288,Charger_122,5,1,1,0
106,Drone_801,0.38999999999999946,0.57145345,0.18439088914585774,18.47086455015161,Charger_123,7,2,0,0
106,Drone_813,0.4249999999999995,0.5722332,0.2202271554554524,22.054524631763456,Charger_123,7,2,0,0
119,Drone_811,0.35999999999999943,0.5669222,0.15652475842498528,15.684336832835529,Charger_121,7,1,0,0
124,Drone_802,0.3149999999999994,0.57931995,0.11401754250991379,11.433714952691776,Charger_121,6,1,1,0
126,Drone_812,0.3249999999999994,0.77415895,0.12041594578792296,12.073411216623812,Charger_123,5,4,1,1
129,Drone_806,0.2949999999999994,0.803217,0.11401754250991379,11.434514952691776,Charger_122,4,3,1,1
132,Drone_816,0.3099999999999994,0.87252444,0.19235384061671343,19.270678215296012,Charger_123,4,4,1,2
136,Drone_805,0.26499999999999935,0.81958205,0.09219544457292887,9.252632275075804,Charger_121,5,5,1,1
136,Drone_818,0.2999999999999994,0.8576394,0.15652475842498528,15.686736832835528,Charger_122,3,3,1,2
145,Drone_814,0.24499999999999933,0.84602463,0.1414213562373095,14.177992477980444,Charger_121,4,4,1,2
161,Drone_809,0.14999999999999925,0.75864303,0.1264911064067352,12.688170284929788,Charger_123,5,2,0,2
162,Drone_815,0.15999999999999925,0.7705308,0.15,15.0396,Charger_122,5,2,0,2
239,Drone_819,0.4599999999999995,0.6663069,0.25495097567963926,25.52689560699111,Charger_122,5,1,0,0
247,Drone_811,0.4249999999999995,0.7237362,0.2202271554554524,22.054524631763456,Charger_123,4,1,0,0
248,Drone_807,0.4149999999999995,0.68979913,0.2109502310972899,21.12686111897288,Charger_122,4,1,1,0
253,Drone_801,0.38999999999999946,0.7583022,0.18439088914585774,18.47086455015161,Charger_123,3,1,1,0
266,Drone_813,0.3199999999999994,0.72136575,0.11401754250991379,11.433514952691775,Charger_121,4,1,0,0
284,Drone_802,0.3199999999999994,0.7634186,0.11401754250991379,11.433514952691775,Charger_122,3,1,0,2
284,Drone_816,0.39999999999999947,0.86227906,0.19235384061671343,19.267078215296014,Charger_123,2,1,0,2
289,Drone_818,0.35999999999999943,0.77662814,0.15652475842498528,15.684336832835529,Charger_121,3,1,0,1
290,Drone_812,0.3549999999999994,0.74111956,0.15,15.0318,Charger_122,3,1,1,1
292,Drone_805,0.3549999999999994,0.86011463,0.15,15.0318,Charger_123,1,1,1,1
304,Drone_806,0.2949999999999994,0.7432748,0.09219544457292887,9.251432275075805,Charger_121,3,1,1,0
317,Drone_809,0.28999999999999937,0.9169278,0.09486832980505139,9.51902771369734,Charger_121,2,1,0,2
320,Drone_814,0.27499999999999936,0.7580591,0.0806225774829855,8.094482651397868,Charger_122,4,1,0,1
370,Drone_819,0.4599999999999995,0.71678996,0.25495097567963926,25.52689560699111,Charger_122,4,1,0,0
389,Drone_807,0.4149999999999995,0.74098957,0.2109502310972899,21.12686111897288,Charger_122,3,1,1,0
399,Drone_801,0.38999999999999946,0.6694378,0.18439088914585774,18.47086455015161,Charger_123,5,1,0,0
425,Drone_813,0.3199999999999994,0.72254205,0.11401754250991379,11.433514952691775,Charger_121,4,1,0,0
429,Drone_811,0.26499999999999935,0.75858647,0.10770329614269007,10.804037746114716,Charger_123,4,1,0,1
437,Drone_802,0.3199999999999994,0.7465674,0.11401754250991379,11.433514952691775,Charger_121,3,1,1,0
439,Drone_818,0.36499999999999944,0.86498344,0.15652475842498528,15.684136832835527,Charger_121,2,1,1,1
451,Drone_812,0.28499999999999936,0.7640656,0.12041594578792296,12.075011216623812,Charger_123,4,1,0,1
452,Drone_805,0.3199999999999994,0.72036976,0.11401754250991379,11.433514952691775,Charger_122,4,1,0,0
459,Drone_816,0.28499999999999936,0.8063643,0.0806225774829855,8.09408265139787,Charger_122,2,1,1,0
459,Drone_809,0.3299999999999994,0.74169546,0.1264911064067352,12.680970284929787,Charger_123,3,1,1,1
465,Drone_814,0.3399999999999994,0.8147578,0.15,15.0324,Charger_123,3,1,1,1
469,Drone_806,0.2949999999999994,0.77298886,0.09219544457292887,9.251432275075805,Charger_121,3,1,0,2
