epoch,train_mse,val_mse
1,189.60328674316406,328.5980224609375
2,183.83642578125,226.19366455078125
3,171.20872497558594,247.77081298828125
4,166.85366821289062,280.7598876953125
5,172.27090454101562,218.7530517578125
6,215.0342559814453,256.4031677246094
7,295.8592834472656,460.1021728515625
8,187.5189971923828,274.1945495605469
9,250.60116577148438,277.497802734375
10,198.98602294921875,383.036865234375
11,161.8453826904297,222.3126983642578
12,182.6460418701172,260.4643249511719
13,147.0417938232422,395.9436340332031
14,181.31422424316406,216.83262634277344
15,176.6484375,242.53826904296875
16,161.08001708984375,376.70001220703125
17,152.390625,213.5750732421875
18,155.86700439453125,249.17503356933594
19,141.77142333984375,250.12669372558594
20,139.76321411132812,227.01808166503906
21,135.4058074951172,249.41221618652344
22,147.46131896972656,222.11404418945312
23,171.5680389404297,212.34864807128906
24,149.47251892089844,358.906494140625
25,156.78216552734375,217.29937744140625
26,136.97340393066406,234.44215393066406
27,127.43901824951172,224.30758666992188
28,127.79718780517578,257.341552734375
29,136.48074340820312,254.87965393066406
30,128.81556701660156,234.30398559570312
31,136.73464965820312,285.3816223144531
32,127.02291870117188,220.81776428222656
33,120.58920288085938,253.6945037841797
