Initially Reduced Random Battery,Active Drones,Total Damage,Energy Consumed
0,10.33333333,67.66666667,24.04
0.1,9.333333333,82.66666667,23.17333333
0.2,9.333333333,148.3333333,23.89333333
0.3,9.333333333,81,24.78666667
0.4,9.666666667,132.3333333,26.06666667
0.5,9,90.33333333,24.97333333
0.6,9.333333333,64,27.18666667
0.7,9.333333333,89.66666667,26.8
