target
1
1
13
28
13
37
1
1
1
1
1
1
8
1
1
1
1
1
1
1
1
1
13
39
52
27
1
1
7
1
1
1
1
1
1
1
1
1
1
1
1
20
42
58
25
1
1
1
10
1
1
1
7
1
1
1
1
1
1
1
1
20
41
45
18
1
1
8
1
1
1
9
1
1
1
1
1
1
10
36
31
23
1
1
1
11
1
1
1
1
1
1
1
1
1
1
1
13
32
11
28
1
1
38
1
1
1
4
27
1
1
1
1
1
1
1
14
31
28
33
1
1
1
12
1
1
17
4
1
1
1
1
1
1
1
1
24
48
33
31
1
1
1
26
1
1
1
1
1
1
1
1
1
1
1
26
51
34
16
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
19
33
29
20
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
