target
1
1
14
30
37
21
1
1
1
5
1
1
1
1
1
1
1
1
1
1
1
1
1
13
35
53
27
1
1
1
14
1
1
1
1
1
1
1
1
1
1
1
1
1
12
35
28
34
1
1
1
14
1
1
1
1
1
1
1
1
1
1
1
14
32
27
32
1
1
1
1
1
1
1
1
1
1
1
1
1
1
19
23
40
18
1
1
1
2
1
1
1
23
1
1
1
1
1
1
1
1
1
22
36
33
35
1
1
3
2
1
1
29
16
1
1
1
1
1
1
1
1
7
30
30
31
1
1
1
1
1
1
10
1
1
1
1
1
1
1
1
1
1
19
35
40
36
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
12
38
19
32
1
1
1
1
1
1
9
1
1
1
1
1
1
1
1
1
1
20
34
25
33
1
1
1
1
1
1
1
1
1
1
1
1
1
1
