Active Drones,Total Damage,Energy Consumed
5,249,15.519999999999975
5,527,15.559999999999988
5,505,15.599999999999987
5,245,16.319999999999972
5,373,14.83999999999999
5,267,15.27999999999998
5,342,15.27999999999998
5,366,14.399999999999984
5,441,14.439999999999984
4,526,14.239999999999982
5,392,15.439999999999976
5,582,15.079999999999986
5,388,14.959999999999987
5,139,15.439999999999976
6,255,16.039999999999964
5,437,14.559999999999981
4,673,14.280000000000001
5,425,14.679999999999978
5,197,15.27999999999998
5,321,15.119999999999983
6,120,16.199999999999974
5,318,15.43999999999998
5,415,15.039999999999985
5,406,14.479999999999983
5,399,14.279999999999987
4,717,14.36
5,408,15.039999999999985
5,282,15.19999999999998
5,293,14.519999999999985
5,419,14.59999999999998
