target
1
39
59
79
112
77
98
68
54
53
66
53
83
16
8
1
1
20
1
1
1
1
1
1
1
29
59
97
70
72
84
85
28
32
20
12
43
66
7
1
1
20
1
1
1
1
1
1
1
1
26
60
96
75
71
96
86
29
32
20
1
34
62
5
1
1
20
1
1
1
1
1
1
1
1
30
63
79
112
77
98
59
43
60
68
36
49
87
1
1
1
20
1
1
1
1
22
1
3
1
33
65
84
85
76
76
79
48
65
59
19
38
51
1
1
20
1
1
1
1
1
1
1
29
68
107
79
50
50
70
74
70
75
110
6
18
47
1
1
18
1
1
1
1
1
1
1
1
21
60
100
79
48
63
74
52
75
68
111
11
22
32
1
1
18
1
1
1
1
1
1
1
1
19
52
79
69
83
87
40
54
51
45
45
66
22
44
1
1
20
1
13
1
1
1
1
19
42
81
76
81
58
85
60
52
43
25
61
60
1
1
20
1
10
1
1
1
1
32
52
69
97
81
85
48
37
36
52
36
43
64
98
1
1
20
1
20
1
1
1
