queue_charging_time,queue_missing_battery_sum,charger_charging_capacity,queue_length,charging_drones,target
0.0,0.0,0.04,0.0,0.0,1
11.195686597538826,0.44782746390155304,0.04,1.0,0.0,34
26.411823537134737,0.9445160755100012,0.04,2.0,0.0,66
46.145350681356334,1.3524695599321293,0.04,2.0,1.0,69
46.145350681356334,1.6999174087880926,0.04,3.0,1.0,103
63.42387558728777,2.3257300043100777,0.04,3.0,1.0,112
60.06724910169934,2.7557300043100783,0.04,4.0,1.0,121
58.33404500827142,2.136087908279502,0.04,3.0,1.0,125
68.39660450627338,2.1060879082795028,0.04,4.0,1.0,150
68.1571276926291,2.7186400594235396,0.04,4.0,1.0,135
66.80468750000006,2.8500000000000028,0.04,4.0,1.0,146
72.11718750000006,3.5000000000000027,0.04,5.0,1.0,139
52.48437500000004,1.6750000000000014,0.04,2.0,1.0,61
50.81250000000004,2.190000000000002,0.04,3.0,1.0,80
18.500000000000018,0.7400000000000007,0.04,0.0,1.0,30
16.375000000000014,0.6550000000000006,0.04,0.0,1.0,19
14.250000000000012,0.5700000000000005,0.04,0.0,1.0,22
0.0,0.0,0.04,0.0,0.0,1
11.890888109526054,0.4756355243810422,0.04,0.0,1.0,31
27.749947247460774,0.9635890088031704,0.04,1.0,1.0,71
48.828079582915805,1.3721809486515038,0.04,2.0,1.0,100
0.0,0.0,0.04,0.0,0.0,1
13.500000000000012,0.5400000000000005,0.04,0.0,1.0,24
0.0,0.0,0.04,0.0,0.0,1
0.0,0.0,0.04,0.0,0.0,1
0.0,0.0,0.04,0.0,0.0,1
9.917215290211201,0.39668861160844804,0.04,0.0,1.0,39
23.154705710302824,0.814516075510001,0.04,1.0,1.0,76
44.26214807098454,1.2624695599321294,0.04,2.0,1.0,112
46.99652307098454,1.6799174087880926,0.04,3.0,1.0,122
59.25672983181909,2.2018688566031828,0.04,3.0,1.0,123
57.32197834623065,2.571868856603183,0.04,4.0,1.0,132
54.022825039626575,2.944041392701631,0.04,4.0,1.0,91
62.5711901926291,2.52364005942354,0.04,3.0,1.0,95
37.437500000000036,1.3000000000000012,0.04,1.0,1.0,73
65.04687500000006,1.7950000000000017,0.04,2.0,1.0,94
60.66406250000004,1.7100000000000015,0.04,2.0,1.0,90
58.28125000000006,1.5900000000000014,0.04,2.0,1.0,102
18.625000000000018,0.7450000000000007,0.04,0.0,1.0,33
11.75000000000001,0.4700000000000004,0.04,0.0,1.0,40
0.0,0.0,0.04,0.0,0.0,1
0.0,0.0,0.04,0.0,0.0,1
13.214798496208333,0.5285919398483333,0.04,0.0,1.0,25
0.0,0.0,0.04,0.0,0.0,1
13.25000000000001,0.5300000000000005,0.04,0.0,1.0,25
0.0,0.0,0.04,0.0,0.0,1
0.0,0.0,0.04,0.0,0.0,1
0.0,0.0,0.04,0.0,0.0,1
0.0,0.0,0.04,0.0,0.0,1
9.945686597538824,0.397827463901553,0.04,0.0,1.0,39
24.53682353713473,0.8795160755100011,0.04,1.0,1.0,70
42.528163181356334,1.2424695599321294,0.04,2.0,1.0,110
42.528163181356334,1.5499174087880925,0.04,3.0,1.0,123
60.22856308728777,2.2307300043100775,0.04,3.0,1.0,102
45.6534926095906,2.7090413927016304,0.04,3.0,1.0,107
53.69470003962657,2.7590413927016306,0.04,4.0,1.0,125
43.625000000000036,2.020000000000002,0.04,2.0,1.0,87
43.031250000000036,1.9850000000000017,0.04,2.0,1.0,82
70.52343750000007,2.445000000000002,0.04,3.0,1.0,118
58.33593750000005,1.6250000000000013,0.04,2.0,1.0,102
58.97656250000004,1.6500000000000015,0.04,2.0,1.0,113
49.74218750000004,1.6100000000000014,0.04,3.0,1.0,139
24.125000000000018,0.9650000000000007,0.04,0.0,1.0,5
0.0,0.0,0.04,0.0,0.0,1
0.0,0.0,0.04,0.0,0.0,1
13.214798496208333,0.5285919398483333,0.04,0.0,1.0,25
0.0,0.0,0.04,0.0,0.0,1
0.0,0.0,0.04,0.0,0.0,1
0.0,0.0,0.04,0.0,0.0,1
0.0,0.0,0.04,0.0,0.0,1
0.0,0.0,0.04,0.0,0.0,1
0.0,0.0,0.04,0.0,0.0,1
0.0,0.0,0.04,0.0,0.0,1
12.542215290211203,0.5016886116084481,0.04,0.0,1.0,28
25.626606223317207,0.8996420960305763,0.04,1.0,1.0,64
47.13012319923814,1.3674695599321294,0.04,2.0,1.0,99
47.13012319923814,1.7299174087880926,0.04,3.0,1.0,115
58.516314495389665,2.2118688566031826,0.04,3.0,1.0,100
65.485864734788,2.373915372181055,0.04,3.0,1.0,121
68.39211473478801,2.9289153721810557,0.04,4.0,1.0,144
66.8211901926291,2.76864005942354,0.04,4.0,1.0,136
0.0,0.0,0.04,0.0,0.0,1
13.500000000000012,0.5400000000000005,0.04,0.0,1.0,24
13.500000000000012,0.5400000000000005,0.04,0.0,1.0,30
27.81250000000002,0.9750000000000009,0.04,1.0,1.0,60
18.375000000000014,0.7350000000000007,0.04,0.0,1.0,30
0.0,0.0,0.04,0.0,0.0,1
0.0,0.0,0.04,0.0,0.0,1
13.214798496208333,0.5285919398483333,0.04,0.0,1.0,25
0.0,0.0,0.04,0.0,0.0,1
0.0,0.0,0.04,0.0,0.0,1
0.0,0.0,0.04,0.0,0.0,1
0.0,0.0,0.04,0.0,0.0,1
0.0,0.0,0.04,0.0,0.0,1
0.0,0.0,0.04,0.0,0.0,1
0.0,0.0,0.04,0.0,0.0,1
11.542215290211201,0.4616886116084481,0.04,0.0,1.0,32
25.185955710302828,0.8895160755100011,0.04,1.0,1.0,61
44.14496057098454,1.2674695599321293,0.04,2.0,1.0,94
44.14496057098454,1.5849174087880922,0.04,3.0,1.0,112
59.29579233181909,2.2318688566031826,0.04,3.0,1.0,117
66.21492307329106,2.266868856603183,0.04,4.0,1.0,141
47.10499676233731,2.6360879082795026,0.04,3.0,1.0,107
68.04841815128586,3.0010879082795023,0.04,4.0,1.0,124
57.89062500000007,2.4650000000000025,0.04,3.0,1.0,67
42.125000000000036,1.4550000000000012,0.04,1.0,1.0,40
14.250000000000012,0.5700000000000005,0.04,0.0,1.0,20
14.750000000000012,0.5900000000000005,0.04,0.0,1.0,25
12.87500000000001,0.5150000000000005,0.04,0.0,1.0,33
16.750000000000014,0.6700000000000006,0.04,0.0,1.0,23
0.0,0.0,0.04,0.0,0.0,1
0.0,0.0,0.04,0.0,0.0,1
13.214798496208333,0.5285919398483333,0.04,0.0,1.0,25
0.0,0.0,0.04,0.0,0.0,1
13.500000000000012,0.5400000000000005,0.04,0.0,1.0,24
0.0,0.0,0.04,0.0,0.0,1
0.0,0.0,0.04,0.0,0.0,1
0.0,0.0,0.04,0.0,0.0,1
0.0,0.0,0.04,0.0,0.0,1
11.292215290211201,0.4516886116084481,0.04,0.0,1.0,33
24.373455710302828,0.8595160755100011,0.04,1.0,1.0,69
42.66058557098454,1.2224695599321294,0.04,2.0,1.0,103
42.66058557098454,1.5299174087880925,0.04,3.0,1.0,117
58.55360483181909,2.221868856603183,0.04,3.0,1.0,99
62.22547983181909,2.576868856603183,0.04,4.0,1.0,128
68.68688753962655,2.9540413927016305,0.04,4.0,1.0,134
69.41200621155471,2.8590413927016307,0.04,5.0,1.0,152
66.6883776926291,2.7686400594235394,0.04,4.0,1.0,133
23.000000000000018,0.9200000000000007,0.04,0.0,1.0,27
13.12500000000001,0.5250000000000005,0.04,0.0,1.0,27
13.375000000000012,0.5350000000000005,0.04,0.0,1.0,32
28.343750000000025,0.9950000000000009,0.04,1.0,1.0,60
52.14843750000004,1.4500000000000013,0.04,2.0,1.0,90
0.0,0.0,0.04,0.0,0.0,1
0.0,0.0,0.04,0.0,0.0,1
13.214798496208333,0.5285919398483333,0.04,0.0,1.0,25
0.0,0.0,0.04,0.0,0.0,1
13.25000000000001,0.5300000000000005,0.04,0.0,1.0,25
0.0,0.0,0.04,0.0,0.0,1
0.0,0.0,0.04,0.0,0.0,1
0.0,0.0,0.04,0.0,0.0,1
0.0,0.0,0.04,0.0,0.0,1
0.0,0.0,0.04,0.0,0.0,1
12.542215290211203,0.5016886116084481,0.04,0.0,1.0,28
26.373455710302828,0.9295160755100011,0.04,1.0,1.0,65
46.542496762337315,2.4110879082795025,0.04,4.0,1.0,156
0.0,0.0,0.04,0.0,0.0,1
0.0,0.0,0.04,0.0,0.0,1
0.0,0.0,0.04,0.0,0.0,1
12.50000000000001,0.5000000000000004,0.04,0.0,1.0,28
0.0,0.0,0.04,0.0,0.0,1
12.390888109526054,0.4956355243810422,0.04,0.0,1.0,30
27.749947247460774,0.9635890088031704,0.04,1.0,1.0,72
48.828079582915805,1.3721809486515038,0.04,2.0,1.0,101
0.0,0.0,0.04,0.0,0.0,1
0.0,0.0,0.04,0.0,0.0,1
0.0,0.0,0.04,0.0,0.0,1
9.945686597538824,0.397827463901553,0.04,0.0,1.0,39
23.349323537134733,0.8345160755100011,0.04,1.0,1.0,78
41.590663181356334,1.2124695599321291,0.04,2.0,1.0,77
43.309413181356334,1.5899174087880925,0.04,3.0,1.0,109
60.24418808728777,2.235730004310078,0.04,3.0,1.0,113
65.96568660169933,2.8757300043100784,0.04,4.0,1.0,136
66.10748250827142,2.3260879082795025,0.04,3.0,1.0,112
59.982482508271424,2.4060879082795026,0.04,4.0,1.0,154
54.89062500000007,2.3900000000000023,0.04,3.0,1.0,71
54.89062500000007,2.7100000000000026,0.04,4.0,1.0,104
65.10937500000004,2.255000000000002,0.04,4.0,0.0,121
58.36718750000007,1.7200000000000017,0.04,2.0,1.0,78
40.343750000000036,1.3950000000000014,0.04,1.0,1.0,57
67.07031250000006,1.7950000000000015,0.04,2.0,1.0,82
52.71875000000004,1.4150000000000014,0.04,2.0,1.0,96
0.0,0.0,0.04,0.0,0.0,1
11.890888109526054,0.4756355243810422,0.04,0.0,1.0,31
27.749947247460774,0.9635890088031704,0.04,1.0,1.0,74
48.828079582915805,1.3721809486515038,0.04,2.0,1.0,103
0.0,0.0,0.04,0.0,0.0,1
