epoch,train_loss,val_loss
1,-4.17041540145874,-4.836049556732178
2,-6.2923407554626465,-5.366225719451904
3,-6.607441425323486,-5.622501373291016
4,-6.823558330535889,-6.023116588592529
5,-7.157190322875977,-6.2468671798706055
6,-7.24060583114624,-6.434290885925293
7,-7.600855827331543,-6.870738506317139
8,-7.810169696807861,-7.0669097900390625
9,-7.987154960632324,-7.311657905578613
10,-8.1157808303833,-7.4421539306640625
11,-8.28515625,-7.6586103439331055
12,-8.397433280944824,-7.752116680145264
13,-8.463951110839844,-7.945133686065674
14,-8.726527214050293,-8.17021369934082
15,-8.889352798461914,-8.344223976135254
16,-9.019967079162598,-8.470416069030762
17,-9.09483528137207,-8.491265296936035
18,-9.155916213989258,-8.715775489807129
19,-9.330497741699219,-8.833939552307129
20,-9.425868034362793,-8.918571472167969
21,-9.413448333740234,-8.945030212402344
22,-9.384474754333496,-9.008197784423828
23,-9.565067291259766,-9.025083541870117
24,-9.586459159851074,-9.066750526428223
25,-9.607473373413086,-9.06602668762207
26,-9.56407356262207,-9.047917366027832
27,-9.506914138793945,-9.208314895629883
28,-9.644556045532227,-9.102529525756836
29,-9.652750968933105,-9.193982124328613
30,-9.628000259399414,-9.193005561828613
31,-9.618006706237793,-9.248950958251953
32,-9.73975658416748,-9.248974800109863
33,-9.799434661865234,-9.34359359741211
34,-9.826415061950684,-9.366569519042969
35,-9.794403076171875,-9.261899948120117
36,-9.811004638671875,-9.425148963928223
37,-9.86571216583252,-9.352758407592773
38,-9.78454303741455,-9.410460472106934
39,-9.753351211547852,-9.3027925491333
40,-9.709896087646484,-9.222644805908203
41,-9.661198616027832,-9.225966453552246
42,-9.461511611938477,-8.093297958374023
43,-9.539339065551758,-9.397982597351074
44,-9.793423652648926,-9.336385726928711
45,-9.908648490905762,-9.06711483001709
46,-9.781291961669922,-9.479930877685547
47,-9.937633514404297,-9.508953094482422
48,-9.940427780151367,-9.425268173217773
49,-9.949230194091797,-9.534668922424316
50,-9.966435432434082,-9.54305362701416
