epoch,train_mse,val_mse
1,221.69412231445312,245.0149383544922
2,218.6392059326172,241.6016845703125
3,215.4031982421875,237.81076049804688
4,211.7701416015625,233.63819885253906
5,207.95069885253906,229.010009765625
6,203.57278442382812,224.0641632080078
7,199.1155242919922,218.8668670654297
8,194.2544708251953,213.41329956054688
9,189.33010864257812,207.7498321533203
10,184.15708923339844,201.95138549804688
11,178.8837890625,195.83853149414062
12,173.06568908691406,189.36151123046875
13,167.2982940673828,182.41049194335938
14,160.57968139648438,175.12197875976562
15,154.51300048828125,167.08770751953125
16,147.00436401367188,158.9356231689453
17,140.3556365966797,150.38882446289062
18,132.58236694335938,142.21975708007812
19,125.10595703125,133.92787170410156
20,118.49800872802734,125.72164916992188
21,111.58626556396484,118.03681182861328
22,105.22128295898438,110.70720672607422
23,99.208740234375,103.39991760253906
24,92.97545623779297,96.58710479736328
25,87.79037475585938,89.89478302001953
26,82.55449676513672,83.69525909423828
27,78.21551513671875,77.95037078857422
28,74.38414764404297,73.3778305053711
29,71.24115753173828,70.11003875732422
30,69.18862915039062,67.2369613647461
