epoch,train_loss,val_loss
1,-1.348388910293579,-1.931415319442749
2,-2.4709019660949707,-2.383510112762451
3,-2.730663776397705,-2.7694015502929688
4,-2.964784860610962,-3.01993727684021
5,-3.14426851272583,-3.20462703704834
6,-3.3555104732513428,-3.3894264698028564
7,-3.446948766708374,-3.5636796951293945
8,-3.671053409576416,-3.72469162940979
9,-3.7999329566955566,-3.8391458988189697
10,-3.909064531326294,-3.957207202911377
11,-4.034258842468262,-4.094078540802002
12,-4.110532760620117,-4.215765953063965
13,-4.17299747467041,-4.340454578399658
14,-4.226006031036377,-4.442583084106445
15,-4.308652400970459,-4.4370856285095215
16,-4.2815961837768555,-4.099598407745361
17,-4.247572422027588,-4.537708759307861
18,-4.408323764801025,-4.34323263168335
19,-4.355118274688721,-4.642746448516846
20,-4.482283592224121,-4.723546028137207
21,-4.493734359741211,-4.723776340484619
22,-4.6453351974487305,-4.714010238647461
23,-4.609140872955322,-4.721561431884766
24,-4.655769348144531,-4.719114303588867
25,-4.69086217880249,-4.775393009185791
26,-4.713458061218262,-4.831428050994873
27,-4.737910747528076,-4.909088611602783
28,-4.807070255279541,-4.950181007385254
29,-4.812241077423096,-4.945013523101807
30,-4.86344575881958,-4.917326927185059
31,-4.881685733795166,-4.978980541229248
32,-4.866992473602295,-4.9340362548828125
33,-4.892402648925781,-5.003267765045166
34,-4.892465591430664,-5.024554252624512
35,-4.94940710067749,-4.930281639099121
36,-4.901207447052002,-5.078072547912598
37,-4.963064193725586,-5.015872478485107
38,-4.940834045410156,-5.1012773513793945
39,-5.025386810302734,-5.035250186920166
40,-4.941200256347656,-5.080461025238037
41,-4.882925510406494,-4.897048473358154
42,-4.987768173217773,-4.743607997894287
43,-4.810899257659912,-4.871674537658691
44,-4.982030868530273,-5.134136199951172
45,-5.047839164733887,-5.147980690002441
46,-5.0292768478393555,-5.13153600692749
47,-4.931345462799072,-5.033384799957275
48,-4.98106575012207,-5.068278789520264
49,-5.043302536010742,-5.166018486022949
50,-5.072488307952881,-5.143765449523926
