epoch,train_loss,val_loss
1,-0.6689798831939697,-1.6510584354400635
2,-1.4005990028381348,-2.255561590194702
3,-1.6197713613510132,-2.3725712299346924
4,-1.8286988735198975,-2.561617136001587
5,-2.0531327724456787,-2.8180904388427734
6,-2.290105104446411,-2.95680832862854
7,-2.401278495788574,-3.385589122772217
8,-2.753169059753418,-3.46006441116333
9,-2.9030086994171143,-3.2906668186187744
10,-3.0905749797821045,-3.565432548522949
11,-3.2172040939331055,-3.7171998023986816
12,-3.2885448932647705,-3.69419527053833
13,-3.3183093070983887,-3.7287962436676025
14,-3.3950867652893066,-3.752025604248047
15,-3.392794609069824,-3.7943460941314697
16,-3.4501655101776123,-3.873220920562744
17,-3.494859457015991,-3.827070474624634
18,-3.439652919769287,-4.0340681076049805
19,-3.483262777328491,-3.9960265159606934
20,-3.417999744415283,-4.043569564819336
21,-3.5262343883514404,-3.9848413467407227
22,-3.5594401359558105,-3.92881178855896
23,-3.5405585765838623,-3.659316301345825
24,-3.579012155532837,-3.950768232345581
25,-3.647961139678955,-4.0378098487854
26,-3.67592191696167,-4.107784271240234
27,-3.6623549461364746,-4.132856845855713
28,-3.6732821464538574,-3.8226747512817383
29,-3.6422274112701416,-3.8918673992156982
30,-3.701352119445801,-4.087635040283203
31,-3.7095577716827393,-3.9061105251312256
32,-3.6303906440734863,-3.9948086738586426
33,-3.691211223602295,-4.028796672821045
34,-3.6357059478759766,-4.037679672241211
35,-3.6067135334014893,-4.091872692108154
36,-3.7090675830841064,-3.9943180084228516
37,-3.7610104084014893,-4.1372294425964355
38,-3.7873833179473877,-4.058382034301758
39,-3.772278308868408,-4.119640350341797
40,-3.770833730697632,-4.293298244476318
41,-3.7231616973876953,-4.204363822937012
42,-3.793170928955078,-4.144274711608887
43,-3.743990421295166,-4.044610500335693
44,-3.7172019481658936,-4.1034650802612305
45,-3.7944023609161377,-3.9900577068328857
46,-3.812265396118164,-4.061354637145996
47,-3.841564893722534,-4.192183017730713
48,-3.8300421237945557,-4.207394599914551
49,-3.8221373558044434,-4.183406352996826
50,-3.821347713470459,-4.178591728210449
