Active Drones,Total Damage,Alive Drone Rate,Damage Rate,Charger Capacity,Train,Average Run,Charge Alert,Battery Random Reduction
8.2,100.8,0.5125,0.10757737459978656,2.0,2.0,3.0,0.2,0.0
8.4,96.4,0.525,0.10288153681963715,2.0,3.0,3.0,0.2,0.0
8.4,105.4,0.525,0.11248665955176093,2.0,4.0,3.0,0.2,0.0
8.6,85.6,0.5375,0.09135538954108857,2.0,5.0,3.0,0.2,0.0
8.8,91.2,0.55,0.09733191035218783,2.0,6.0,3.0,0.2,0.0
8.2,110.4,0.5125,0.11782283884738527,2.0,7.0,3.0,0.2,0.0
8.2,101.2,0.5125,0.10800426894343648,2.0,8.0,3.0,0.2,0.0
8.2,106.2,0.5125,0.11334044823906084,2.0,9.0,3.0,0.2,0.0
8.2,91.6,0.5125,0.09775880469583778,2.0,10.0,3.0,0.2,0.0
8.2,96.4,0.5125,0.10288153681963715,2.0,11.0,3.0,0.2,0.0
