current_time_step,drone_id,battery,estimated_waiting,energy_to_fly_to_charger,time_to_done_charging,charger,potential_drones_length,waiting_drones_length,accepted_queues_length,charging_drones_length
105,Drone_271,0.4199999999999995,0.9510511,0.2109502310972899,21.12666111897288,Charger_101,3,1,0,0
106,Drone_265,0.38999999999999946,0.9644368,0.18439088914585774,18.47086455015161,Charger_102,2,1,0,0
123,Drone_266,0.3199999999999994,0.9421418,0.11401754250991379,11.433514952691775,Charger_100,3,1,0,0
132,Drone_268,0.27499999999999936,1.0792527,0.15,15.035,Charger_102,1,1,0,1
138,Drone_270,0.24999999999999933,1.0575515,0.11401754250991379,11.436314952691776,Charger_101,2,2,0,1
152,Drone_272,0.18499999999999928,1.0561074,0.09486832980505139,9.52322771369734,Charger_100,2,2,0,1
250,Drone_271,0.4199999999999995,0.9495179,0.2109502310972899,21.12666111897288,Charger_101,3,1,0,0
256,Drone_265,0.38999999999999946,0.9901943,0.18439088914585774,18.47086455015161,Charger_102,1,1,0,0
292,Drone_266,0.3199999999999994,0.9575437,0.11401754250991379,11.433514952691775,Charger_100,2,1,0,0
316,Drone_270,0.27499999999999936,1.0688435,0.09219544457292887,9.252232275075805,Charger_100,1,1,0,1
318,Drone_268,0.28999999999999937,0.9408457,0.0806225774829855,8.093882651397868,Charger_101,3,2,0,0
337,Drone_272,0.2249999999999993,1.0219307,0.11401754250991379,11.437314952691775,Charger_101,2,1,0,1
389,Drone_271,0.4199999999999995,0.9493943,0.2109502310972899,21.12666111897288,Charger_101,3,1,0,0
401,Drone_265,0.38999999999999946,0.9901943,0.18439088914585774,18.47086455015161,Charger_102,1,1,0,0
451,Drone_266,0.3199999999999994,0.957566,0.11401754250991379,11.433514952691775,Charger_100,2,1,0,0
469,Drone_270,0.3199999999999994,0.94261193,0.11401754250991379,11.433514952691775,Charger_101,3,1,0,0
475,Drone_268,0.28499999999999936,1.0689834,0.09219544457292887,9.251832275075804,Charger_100,1,1,0,1
498,Drone_272,0.3199999999999994,0.99511856,0.11401754250991379,11.433514952691775,Charger_101,2,1,0,1
