Active Drones,Total Damage,Alive Drone Rate,Damage Rate,Charger Capacity,Train,Average Run
6.0,316.6,0.5,0.3378868729989327,1.0,1.0,3.0
8.0,233.6,0.6666666666666666,0.24930629669156884,1.0,2.0,3.0
11.2,260.4,0.9333333333333332,0.2779082177161153,1.0,3.0,3.0
