drones,birds,method,saturation,survived drones,damage,survived drones rate,damage rate,chargers,charger capacity,expected charge rate,given charge rate
24,50,ML-Based,50,21,43.6,0.875,0.046531483,3,2,0.24,0.12
24,50,ML-Based,70,22.7,34.45,0.945833333,0.036766275,3,2,0.24,0.168
24,100,ML-Based,100,22.6,117,0.941666667,0.124866596,3,2,0.24,0.24
24,100,ML-Based,80,24,89.2,1,0.095197439,3,2,0.24,0.192
24,100,ML-Based,60,22.6,99.4,0.941666667,0.106083244,3,2,0.24,0.144
24,100,ML-Based,50,21.6,153.4,0.9,0.163713981,3,2,0.24,0.12
24,100,ML-Based,70,22.7,114.75,0.945833333,0.122465315,3,2,0.24,0.168
24,150,ML-Based,100,23.8,174.6,0.991666667,0.186339381,3,2,0.24,0.24
24,150,ML-Based,80,24,159.4,1,0.170117396,3,2,0.24,0.192
24,150,ML-Based,60,22.6,181.6,0.941666667,0.193810032,3,2,0.24,0.144
24,150,ML-Based,50,21.2,238.8,0.883333333,0.254855923,3,2,0.24,0.12
24,150,ML-Based,70,22.9,188.6,0.954166667,0.201280683,3,2,0.24,0.168
