Active Drones,Total Damage,Alive Drone Rate,Damage Rate,Charger Capacity,Train,Average Run,Charge Alert,Battery Random Reduction
16.8,136.4,0.8400000000000001,0.1455709711846318,2.0,2.0,3.0,0.2,0.0
16.2,125.6,0.8099999999999999,0.13404482390608324,2.0,3.0,3.0,0.2,0.0
16.4,144.6,0.8200000000000001,0.15432230522945573,2.0,4.0,3.0,0.2,0.0
17.0,142.6,0.85,0.152187833511206,2.0,5.0,3.0,0.2,0.0
16.2,146.2,0.8100000000000002,0.1560298826040555,2.0,6.0,3.0,0.2,0.0
16.4,132.6,0.8200000000000001,0.14151547491995728,2.0,7.0,3.0,0.2,0.0
16.4,134.0,0.8200000000000001,0.14300960512273214,2.0,8.0,3.0,0.2,0.0
16.4,140.4,0.82,0.14983991462113128,2.0,9.0,3.0,0.2,0.0
16.0,150.0,0.8,0.16008537886872998,2.0,10.0,3.0,0.2,0.0
16.2,134.6,0.8099999999999999,0.14364994663820702,2.0,11.0,3.0,0.2,0.0
