current_time_step,drone_id,battery,estimated_waiting,energy_to_fly_to_charger,time_to_done_charging,charger,potential_drones_length,waiting_drones_length,accepted_queues_length,charging_drones_length
105,Drone_337,0.4199999999999995,0.95058876,0.2109502310972899,21.12666111897288,Charger_101,3,1,0,0
106,Drone_331,0.38999999999999946,0.9324203,0.18439088914585774,18.47086455015161,Charger_102,4,1,0,0
123,Drone_332,0.3199999999999994,0.94214183,0.11401754250991379,11.433514952691775,Charger_100,3,1,0,0
132,Drone_334,0.27499999999999936,1.073484,0.15,15.035,Charger_102,3,3,0,1
138,Drone_336,0.24999999999999933,1.0477026,0.11401754250991379,11.436314952691776,Charger_101,2,2,0,1
149,Drone_338,0.1999999999999993,1.0561311,0.09486832980505139,9.52262771369734,Charger_100,2,2,0,1
161,Drone_339,0.14999999999999925,1.0203766,0.1264911064067352,12.688170284929788,Charger_102,3,2,0,1
168,Drone_333,0.0999999999999992,1.0571026,0.0806225774829855,8.101482651397868,Charger_101,1,1,0,1
253,Drone_331,0.38999999999999946,0.94721586,0.18439088914585774,18.47086455015161,Charger_102,3,1,0,0
254,Drone_332,0.4199999999999995,0.9675244,0.2109502310972899,21.12666111897288,Charger_101,2,1,0,0
270,Drone_337,0.3199999999999994,0.9435328,0.11401754250991379,11.433514952691775,Charger_100,3,1,0,0
288,Drone_336,0.35999999999999943,1.0075593,0.15,15.0316,Charger_102,2,1,0,1
308,Drone_334,0.28999999999999937,0.9559722,0.0806225774829855,8.093882651397868,Charger_101,2,1,0,0
320,Drone_338,0.2999999999999994,0.95627725,0.09486832980505139,9.51862771369734,Charger_100,2,1,0,0
330,Drone_339,0.3149999999999994,0.9427858,0.10770329614269007,10.802037746114715,Charger_102,3,1,0,0
342,Drone_333,0.22999999999999932,1.0691373,0.09219544457292887,9.254032275075804,Charger_100,1,1,0,1
395,Drone_332,0.4199999999999995,0.94959444,0.2109502310972899,21.12666111897288,Charger_101,3,1,0,0
400,Drone_331,0.38999999999999946,0.965044,0.18439088914585774,18.47086455015161,Charger_102,2,1,0,0
418,Drone_337,0.3249999999999994,1.065041,0.2109502310972899,21.130461118972878,Charger_101,2,1,0,1
437,Drone_336,0.3199999999999994,0.94368,0.11401754250991379,11.433514952691775,Charger_100,3,1,0,0
473,Drone_334,0.28999999999999937,0.9414779,0.0806225774829855,8.093882651397868,Charger_101,3,1,0,0
483,Drone_338,0.2999999999999994,0.94466895,0.09486832980505139,9.51862771369734,Charger_100,3,1,0,0
490,Drone_339,0.3149999999999994,0.9576958,0.10770329614269007,10.802037746114715,Charger_102,2,1,0,0
