Active Drones,Total Damage,Alive Drone Rate,Damage Rate,Charger Capacity,Train,Average Run,Charge Alert,Battery Random Reduction
7.2,496.8,0.6,0.5302027748132337,1.0,2.0,3.0,0.2,0.0
8.0,507.4,0.6666666666666666,0.5415154749199573,1.0,3.0,3.0,0.2,0.0
7.4,491.4,0.6166666666666667,0.5244397011739594,1.0,4.0,3.0,0.2,0.0
7.6,513.6,0.6333333333333333,0.5481323372465315,1.0,5.0,3.0,0.2,0.0
7.8,511.2,0.6499999999999999,0.5455709711846317,1.0,6.0,3.0,0.2,0.0
7.4,509.8,0.6166666666666667,0.544076840981857,1.0,7.0,3.0,0.2,0.0
7.6,506.2,0.6333333333333333,0.5402347918890074,1.0,8.0,3.0,0.2,0.0
7.2,489.2,0.6000000000000001,0.5220917822838848,1.0,9.0,3.0,0.2,0.0
7.2,500.2,0.6,0.5338313767342583,1.0,10.0,3.0,0.2,0.0
7.8,513.6,0.6499999999999999,0.5481323372465315,1.0,11.0,3.0,0.2,0.0
