Active Drones,Total Damage,Alive Drone Rate,Damage Rate,Charger Capacity,Train,Run,Charge Alert,Battery Random Reduction
8,499,0.6666666666666666,0.5325506937033084,1,1,1,0.2,0
8,525,0.6666666666666666,0.5602988260405549,1,1,2,0.2,0
8,465,0.6666666666666666,0.49626467449306294,1,1,3,0.2,0
8,519,0.6666666666666666,0.5538954108858057,1,1,4,0.2,0
8,512,0.6666666666666666,0.5464247598719317,1,1,5,0.2,0
7,496,0.5833333333333334,0.5293489861259338,1,2,1,0.2,0
7,515,0.5833333333333334,0.5496264674493063,1,2,2,0.2,0
7,504,0.5833333333333334,0.5378868729989328,1,2,3,0.2,0
8,480,0.6666666666666666,0.512273212379936,1,2,4,0.2,0
7,489,0.5833333333333334,0.5218783351120597,1,2,5,0.2,0
8,528,0.6666666666666666,0.5635005336179295,1,3,1,0.2,0
8,499,0.6666666666666666,0.5325506937033084,1,3,2,0.2,0
8,511,0.6666666666666666,0.5453575240128068,1,3,3,0.2,0
8,492,0.6666666666666666,0.5250800426894343,1,3,4,0.2,0
8,507,0.6666666666666666,0.5410885805763074,1,3,5,0.2,0
7,488,0.5833333333333334,0.5208110992529349,1,4,1,0.2,0
8,516,0.6666666666666666,0.5506937033084311,1,4,2,0.2,0
8,503,0.6666666666666666,0.5368196371398078,1,4,3,0.2,0
7,474,0.5833333333333334,0.5058697972251868,1,4,4,0.2,0
7,476,0.5833333333333334,0.5080042689434365,1,4,5,0.2,0
8,540,0.6666666666666666,0.576307363927428,1,5,1,0.2,0
8,537,0.6666666666666666,0.5731056563500534,1,5,2,0.2,0
7,465,0.5833333333333334,0.49626467449306294,1,5,3,0.2,0
7,483,0.5833333333333334,0.5154749199573105,1,5,4,0.2,0
8,543,0.6666666666666666,0.5795090715048026,1,5,5,0.2,0
8,538,0.6666666666666666,0.5741728922091782,1,6,1,0.2,0
7,518,0.5833333333333334,0.5528281750266809,1,6,2,0.2,0
8,514,0.6666666666666666,0.5485592315901814,1,6,3,0.2,0
8,518,0.6666666666666666,0.5528281750266809,1,6,4,0.2,0
8,468,0.6666666666666666,0.4994663820704376,1,6,5,0.2,0
7,530,0.5833333333333334,0.5656350053361793,1,7,1,0.2,0
8,526,0.6666666666666666,0.5613660618996799,1,7,2,0.2,0
7,498,0.5833333333333334,0.5314834578441836,1,7,3,0.2,0
8,508,0.6666666666666666,0.5421558164354322,1,7,4,0.2,0
7,487,0.5833333333333334,0.5197438633938101,1,7,5,0.2,0
8,503,0.6666666666666666,0.5368196371398078,1,8,1,0.2,0
7,474,0.5833333333333334,0.5058697972251868,1,8,2,0.2,0
7,508,0.5833333333333334,0.5421558164354322,1,8,3,0.2,0
8,524,0.6666666666666666,0.5592315901814301,1,8,4,0.2,0
8,522,0.6666666666666666,0.5570971184631803,1,8,5,0.2,0
7,502,0.5833333333333334,0.535752401280683,1,9,1,0.2,0
8,519,0.6666666666666666,0.5538954108858057,1,9,2,0.2,0
7,462,0.5833333333333334,0.49306296691568835,1,9,3,0.2,0
7,454,0.5833333333333334,0.48452508004268946,1,9,4,0.2,0
7,509,0.5833333333333334,0.5432230522945571,1,9,5,0.2,0
7,501,0.5833333333333334,0.5346851654215582,1,10,1,0.2,0
7,512,0.5833333333333334,0.5464247598719317,1,10,2,0.2,0
7,481,0.5833333333333334,0.5133404482390609,1,10,3,0.2,0
8,515,0.6666666666666666,0.5496264674493063,1,10,4,0.2,0
7,492,0.5833333333333334,0.5250800426894343,1,10,5,0.2,0
7,542,0.5833333333333334,0.5784418356456777,1,11,1,0.2,0
8,487,0.6666666666666666,0.5197438633938101,1,11,2,0.2,0
8,496,0.6666666666666666,0.5293489861259338,1,11,3,0.2,0
8,531,0.6666666666666666,0.5667022411953042,1,11,4,0.2,0
8,512,0.6666666666666666,0.5464247598719317,1,11,5,0.2,0
