Active Drones,Total Damage,Alive Drone Rate,Damage Rate,Charger Capacity,Train,Average Run,Charge Alert,Battery Random Reduction
7.2,388.8,0.6,0.4149413020277481,1.0,2.0,3.0,0.2,0.0
8.0,398.6,0.6666666666666666,0.4254002134471718,1.0,3.0,3.0,0.2,0.0
7.4,387.6,0.6166666666666667,0.4136606189967983,1.0,4.0,3.0,0.2,0.0
7.6,388.4,0.6333333333333333,0.4145144076840982,1.0,5.0,3.0,0.2,0.0
7.8,377.4,0.6499999999999999,0.40277481323372466,1.0,6.0,3.0,0.2,0.0
7.4,390.2,0.6166666666666667,0.41643543223052293,1.0,7.0,3.0,0.2,0.0
7.6,374.0,0.6333333333333333,0.3991462113127001,1.0,8.0,3.0,0.2,0.0
7.2,386.4,0.6000000000000001,0.41237993596584843,1.0,9.0,3.0,0.2,0.0
7.2,398.8,0.6,0.42561366061899675,1.0,10.0,3.0,0.2,0.0
7.8,393.0,0.6499999999999999,0.4194236926360726,1.0,11.0,3.0,0.2,0.0
