Active Drones,Total Damage,Energy Consumed,Train,Run,Charge Alert,Battery Random Reduction
5,422,12.919999999999996,1,1,0.1,0.3
6,347,15.319999999999961,1,2,0.18888888888888888,0.3
7,161,20.319999999999876,1,3,0.2777777777777778,0.3
7,183,19.71999999999987,1,4,0.3666666666666667,0.3
6,367,18.999999999999893,1,5,0.4555555555555556,0.3
7,194,21.599999999999877,1,6,0.5444444444444445,0.3
7,345,21.19999999999986,1,7,0.6333333333333333,0.3
7,324,23.07999999999986,1,8,0.7222222222222222,0.3
7,280,24.559999999999828,1,9,0.8111111111111111,0.3
7,412,26.239999999999792,1,10,0.9,0.3
