Active Drones,Total Damage,Alive Drone Rate,Damage Rate,Charger Capacity,Train,Average Run,Charge Alert,Battery Random Reduction
8.0,124.4,0.8,0.1327641408751334,1.0,2.0,3.0,0.2,0.0
8.0,115.8,0.8,0.12358591248665955,1.0,3.0,3.0,0.2,0.0
8.0,128.6,0.8,0.13724653148345783,1.0,4.0,3.0,0.2,0.0
8.0,109.2,0.8,0.11654215581643543,1.0,5.0,3.0,0.2,0.0
8.0,123.0,0.8,0.1312700106723586,1.0,6.0,3.0,0.2,0.0
8.0,120.2,0.8,0.12828175026680896,1.0,7.0,3.0,0.2,0.0
8.0,112.6,0.8,0.12017075773745997,1.0,8.0,3.0,0.2,0.0
8.0,130.2,0.8,0.13895410885805765,1.0,9.0,3.0,0.2,0.0
8.0,110.8,0.8,0.11824973319103523,1.0,10.0,3.0,0.2,0.0
8.0,119.8,0.8,0.127854855923159,1.0,11.0,3.0,0.2,0.0
