Time,Charge Rate:0.06 - Baseline,Charge Rate:0.06 - Neural Network,Charge Rate:0.08 - Baseline,Charge Rate:0.08 - Neural Network,Charge Rate:0.10 - Baseline,Charge Rate:0.10 - Neural Network
0,0.324653148,0.308858058,0.309498399,0.314834578,0.300320171,0.298612593
1,0.328708645,0.327854856,0.32379936,0.312273212,0.303308431,0.285165422
2,0.325506937,0.317182497,0.315261473,0.320170758,0.285165422,0.255709712
3,0.333404482,0.307577375,0.321451441,0.307363927,0.304802561,0.286659552
4,0.322945571,0.326360726,0.299893276,0.298612593,0.302881537,0.302881537
5,0.324653148,0.331056564,0.313767343,0.31248666,0.289007471,0.269156884
6,0.322945571,0.320384205,0.315048026,0.308004269,0.296264674,0.276840982
7,0.314407684,0.318249733,0.313340448,0.310352188,0.313340448,0.294130203
8,0.322945571,0.315261473,0.31846318,0.308431163,0.30565635,0.278762006
