Time,Charge Rate:0.06 - Baseline,Charge Rate:0.06 - Neural Network,Charge Rate:0.08 - Baseline,Charge Rate:0.08 - Neural Network,Charge Rate:0.10 - Baseline,Charge Rate:0.10 - Neural Network
0,0.311205977,0.306510139,0.270437567,0.257630736,0.208110993,0.086232657
1,0.325933831,0.315261473,0.305442903,0.242049093,0.110352188,0.103521878
2,0.318676628,0.327641409,0.276627535,0.228815368,0.12828175,0.106937033
3,0.314194237,0.309498399,0.236286019,0.189114194,0.120811099,0.10715048
4,0.308858058,0.307790822,0.211099253,0.237139808,0.079188901,0.110992529
5,0.306723586,0.321237994,0.268729989,0.267235859,0.122732124,0.080469584
6,0.320811099,0.326147279,0.276840982,0.251654216,0.116328709,0.093062967
7,0.326574173,0.312059765,0.275773746,0.267662753,0.130843116,0.10864461
8,0.31547492,0.314407684,0.236712914,0.216008538,0.097972252,0.096051227
