current_time_step,drone_id,battery,estimated_waiting,energy_to_fly_to_charger,time_to_done_charging,charger,potential_drones_length,waiting_drones_length,accepted_queues_length,charging_drones_length
103,Drone_525,0.4399999999999995,0.2824564,0.23769728648009428,23.801636539468632,Charger_66,11,1,0,0
106,Drone_513,0.38999999999999946,0.30010566,0.18973665961010278,19.00565542739468,Charger_66,10,1,1,0
119,Drone_523,0.35999999999999943,0.55373293,0.15652475842498528,15.684336832835529,Charger_65,5,1,0,0
124,Drone_514,0.3149999999999994,0.58184195,0.11401754250991379,11.433714952691776,Charger_65,4,1,1,0
126,Drone_518,0.3099999999999994,0.28659344,0.11401754250991379,11.433914952691776,Charger_66,9,8,1,1
128,Drone_519,0.3049999999999994,0.31338325,0.2109502310972899,21.13126111897288,Charger_66,8,7,1,2
136,Drone_517,0.26499999999999935,0.6233978,0.09219544457292887,9.252632275075804,Charger_65,3,3,1,1
144,Drone_526,0.24999999999999933,0.727362,0.1414213562373095,14.177792477980443,Charger_65,2,2,1,2
150,Drone_524,0.2049999999999993,0.32655117,0.2012461179749811,20.16446164221711,Charger_66,8,6,1,2
161,Drone_527,0.16499999999999926,0.44207084,0.15,15.0394,Charger_66,6,3,1,2
171,Drone_515,0.08499999999999919,0.3857354,0.0806225774829855,8.102082651397868,Charger_66,7,1,2,2
257,Drone_523,0.39499999999999946,0.5485654,0.18973665961010278,19.00545542739468,Charger_66,5,1,0,0
267,Drone_513,0.3199999999999994,0.6172707,0.11401754250991379,11.433514952691775,Charger_65,4,1,0,0
275,Drone_525,0.2949999999999994,0.646303,0.09219544457292887,9.251432275075805,Charger_65,3,1,1,0
279,Drone_517,0.4149999999999995,0.64409333,0.2109502310972899,21.12686111897288,Charger_66,4,1,0,1
283,Drone_514,0.3199999999999994,0.6746175,0.11401754250991379,11.433514952691775,Charger_66,3,1,1,1
292,Drone_519,0.3249999999999994,0.815653,0.12041594578792296,12.073411216623812,Charger_65,2,1,0,2
299,Drone_518,0.3199999999999994,0.6739914,0.11401754250991379,11.433514952691775,Charger_66,3,1,1,1
305,Drone_526,0.3449999999999994,0.7431192,0.1414213562373095,14.173992477980443,Charger_65,2,1,1,1
308,Drone_527,0.38499999999999945,0.6686641,0.18027756377319945,18.059567479870875,Charger_66,3,1,1,2
402,Drone_523,0.38999999999999946,0.48998564,0.18973665961010278,19.00565542739468,Charger_66,6,1,0,0
425,Drone_514,0.37499999999999944,0.55716795,0.18027756377319945,18.059967479870874,Charger_66,5,1,0,1
429,Drone_513,0.28499999999999936,0.59742945,0.0806225774829855,8.09408265139787,Charger_66,4,1,1,1
440,Drone_525,0.2949999999999994,0.68919337,0.09219544457292887,9.251432275075805,Charger_65,3,1,0,0
445,Drone_518,0.38999999999999946,0.6600151,0.18439088914585774,18.47086455015161,Charger_66,4,1,0,2
449,Drone_517,0.2949999999999994,0.7242392,0.09219544457292887,9.251432275075805,Charger_65,2,1,1,0
455,Drone_519,0.28999999999999937,0.6457622,0.11401754250991379,11.434714952691776,Charger_66,3,2,1,2
460,Drone_526,0.3449999999999994,0.90901476,0.1414213562373095,14.173992477980443,Charger_65,1,1,0,2
467,Drone_527,0.3249999999999994,0.6519676,0.18027756377319945,18.061967479870873,Charger_66,3,1,1,1
