current_time_step,drone_id,battery,estimated_waiting,energy_to_fly_to_charger,time_to_done_charging,charger,potential_drones_length,waiting_drones_length,accepted_queues_length,charging_drones_length
100,Drone_93,0.4549999999999995,2.1030185,0.23769728648009428,23.80103653946863,Charger_12,11,1,0,0
102,Drone_81,0.4099999999999995,2.0318105,0.18973665961010278,19.00485542739468,Charger_12,10,1,1,0
117,Drone_91,0.36999999999999944,1.435444,0.15652475842498528,15.683936832835528,Charger_11,5,1,0,0
122,Drone_82,0.3249999999999994,1.3826232,0.11401754250991379,11.433314952691775,Charger_11,4,1,1,0
122,Drone_86,0.3299999999999994,2.1521173,0.11401754250991379,11.433114952691776,Charger_12,9,8,1,1
125,Drone_92,0.3299999999999994,2.04121,0.2012461179749811,20.159461642217106,Charger_12,8,7,1,2
134,Drone_85,0.27499999999999936,1.3269389,0.09219544457292887,9.252232275075805,Charger_11,3,3,1,1
143,Drone_94,0.25499999999999934,1.2651352,0.1414213562373095,14.177592477980443,Charger_11,2,2,1,2
149,Drone_89,0.2099999999999993,1.8790598,0.18439088914585774,18.478064550151608,Charger_12,8,4,1,2
258,Drone_91,0.39999999999999947,1.4232076,0.18973665961010278,19.00525542739468,Charger_12,5,1,0,0
263,Drone_81,0.3249999999999994,1.2338978,0.11401754250991379,11.433314952691775,Charger_11,3,1,0,0
273,Drone_93,0.2999999999999994,1.2243409,0.09219544457292887,9.251232275075804,Charger_11,2,1,1,0
277,Drone_92,0.4149999999999995,1.4151119,0.2012461179749811,20.156061642217107,Charger_12,4,1,1,0
278,Drone_86,0.39499999999999946,1.420849,0.18439088914585774,18.470664550151607,Charger_12,4,2,1,1
287,Drone_82,0.3249999999999994,1.1981845,0.11401754250991379,11.433314952691775,Charger_11,1,1,0,2
311,Drone_94,0.3249999999999994,1.2762609,0.11401754250991379,11.433314952691775,Charger_12,3,1,0,2
316,Drone_85,0.28999999999999937,1.2305881,0.0806225774829855,8.093882651397868,Charger_12,2,1,1,2
389,Drone_93,0.4499999999999995,1.4410784,0.23769728648009428,23.80123653946863,Charger_12,5,1,0,0
394,Drone_81,0.39999999999999947,1.3906583,0.18973665961010278,19.00525542739468,Charger_12,4,1,1,0
403,Drone_91,0.36499999999999944,1.2410135,0.15652475842498528,15.684136832835527,Charger_11,3,1,0,0
440,Drone_92,0.3249999999999994,1.1617289,0.11401754250991379,11.433314952691775,Charger_11,2,1,0,1
444,Drone_86,0.3249999999999994,1.4105349,0.11401754250991379,11.433314952691775,Charger_12,5,1,0,0
449,Drone_94,0.38999999999999946,1.4045843,0.18027756377319945,18.059367479870875,Charger_12,4,1,1,0
457,Drone_82,0.25499999999999934,1.3067921,0.0806225774829855,8.095282651397868,Charger_12,3,1,1,1
471,Drone_85,0.2999999999999994,1.169751,0.09219544457292887,9.251232275075804,Charger_11,2,1,0,1
