Iterations,Small,Intense,Medium,Large
0,8,14,25,100
50,8,14,25,100
100,8,14,23,12
150,7,13,19,12
200,6,9,18,12
250,6,9,17,12
300,6,9,17,12
350,6,9,17,12
400,6,9,17,12
450,6,9,17,12
500,6,9,17,12
