Iterations,Small No Estimator,Small With NN,Intense No Estimator,Intense With NN,Medium No Estimator,Medium With NN,Large No Estimator,Large With NN
0,8,8,25,25,70,70,100,100
50,8,8,25,25,70,70,100,100
100,8,8,25,25,68,70,82,78
150,6,7,25,25,48,52,46,48
200,5,6,19,14,36,39,45,45
250,5,6,17,13,36,39,43,45
300,5,6,14,12,36,39,43,44
350,5,6,10,8,33,38,43,44
400,5,6,8,8,33,38,41,44
450,5,6,6,8,33,38,41,44
500,5,6,6,8,33,38,41,44
