target,prediction
7,9.628306
0,0.2635653
10,7.996602
9,9.37482
9,6.704584
1,1.1216301
6,3.8185356
0,0.008982237
13,8.808819
32,13.767003
29,7.7966523
15,8.592816
12,13.800681
0,8.887058
14,13.160513
11,9.092942
33,16.745644
0,0.14525111
2,2.8397915
4,3.0191069
12,8.094211
7,4.0224557
10,9.224373
18,16.677471
11,9.79407
7,4.372472
0,0.15833169
4,2.657188
14,13.160513
0,3.8578262
6,6.017157
0,4.363877
1,1.1570019
11,7.0729995
16,8.409021
8,8.435142
31,11.531777
8,5.71445
14,13.3427305
14,11.505746
5,2.2178953
0,0.06042088
0,0.0003998009
0,0.15582272
12,8.932034
0,0.0067301313
12,8.655135
26,11.18125
0,0.10477024
11,13.830636
0,0.00057269214
0,0.044542067
0,9.5958
14,13.91126
0,0.2734084
9,6.6748996
13,13.610301
20,17.326778
0,0.00024238467
14,13.823453
0,0.023646127
9,5.7499495
0,0.00023381352
5,3.2552176
4,2.657188
22,18.19098
0,0.5492459
0,0.28585598
14,8.682622
0,0.0005243984
7,7.3098407
10,14.105088
8,5.005226
4,2.414202
8,9.52772
8,5.005226
0,0.022028152
17,16.253036
33,16.580374
11,9.79407
6,6.017157
10,6.935219
23,18.553835
11,9.79407
4,2.168455
17,12.371523
12,13.020334
0,0.017143873
7,4.296499
7,4.6126857
12,13.020334
3,2.585909
6,6.0817947
33,16.745644
10,9.224373
0,4.046125
15,13.1586685
9,9.661253
17,16.020857
20,17.326778
0,0.10477024
0,0.011595247
11,13.53088
34,19.968674
8,6.164613
4,1.8878305
12,13.718615
1,0.9194973
0,4.2782426
0,1.5250341
5,3.5689664
0,0.0021840464
0,4.2782426
0,0.5927495
10,6.6993456
3,1.5827032
1,2.312891
5,3.544763
7,9.628306
14,8.7218
2,1.4791708
6,3.8185356
0,0.2272118
31,11.40743
0,0.2734084
13,13.4553
5,5.0287085
0,0.044542067
0,0.28852865
0,0.64353615
9,5.837979
6,3.3250725
2,2.8076768
0,0.06921993
3,3.4014604
30,9.433919
0,1.480176
7,4.5918064
0,0.0108478805
0,1.2380916
6,3.9218228
4,4.113778
17,12.371523
0,8.651049
7,9.682241
17,11.948113
13,13.4553
16,12.977145
16,15.621586
6,3.8185356
8,9.473791
2,1.5820984
0,0.059304286
0,0.010000238
3,1.8405108
10,14.352621
12,13.63076
0,0.0056635244
0,0.6031401
10,9.183662
0,0.0005243984
0,4.051754
8,5.751388
15,13.467547
12,13.31761
0,0.27543116
15,22.51455
0,0.022420367
18,16.677471
9,9.321756
34,20.16772
14,11.875705
3,2.1272511
0,0.28585598
1,1.1238455
18,12.128867
1,2.312891
13,9.902718
2,1.8315405
14,13.160513
10,6.6993456
7,7.3829474
18,12.128867
15,13.364867
6,4.5276494
5,2.930735
0,0.13624907
12,8.967505
10,14.045972
8,5.71445
14,8.7218
10,6.180631
6,3.3250725
6,3.6417284
15,12.774114
5,2.2178953
13,13.4553
0,0.01241708
0,3.8607154
15,13.1586685
9,5.7499495
20,17.579565
11,9.056976
2,2.1771088
6,3.6417284
10,14.045972
6,2.5674653
13,12.810175
0,0.009563657
1,1.4827275
16,15.621586
10,6.5970173
2,1.780788
5,2.2178953
3,2.1512213
5,3.1569664
0,0.2717114
2,0.44333595
1,0.84579724
1,1.8569084
17,16.020857
7,4.6126857
0,1.3537331
0,0.15389901
27,12.40117
3,2.0967174
0,0.13534017
15,12.798147
4,2.5712154
0,8.887058
7,7.3829474
25,18.2955
0,0.588383
32,13.904229
2,1.3364027
11,7.674174
0,4.2782426
0,4.148143
0,0.15833169
9,6.060234
17,8.311152
0,4.363877
7,4.5640597
11,7.0473647
0,0.50955874
0,0.01241708
4,2.1542757
6,2.5989468
2,1.4386457
9,9.661253
8,8.571249
1,1.1238455
15,8.549847
0,0.00023381352
0,0.011595247
1,1.1385735
0,0.15833169
0,0.011595247
0,0.0006160145
0,0.05136394
12,13.63076
0,0.0006160145
0,4.3040195
8,9.52772
16,12.367347
0,1.2380916
10,8.110001
11,13.830636
0,0.015947815
14,13.040553
30,9.433919
14,11.505746
0,0.14525111
15,8.549847
0,0.25618416
16,13.054779
2,1.4386457
3,2.1512213
9,7.0797596
0,0.00038549388
14,11.875705
4,2.354581
14,13.422548
0,0.09775239
13,13.52937
2,1.5820984
2,2.8076768
12,13.718615
6,3.7773619
0,0.24125381
9,5.7499495
0,0.172601
2,1.2333325
6,4.189163
10,14.105088
7,9.682241
5,4.975263
7,9.682241
7,4.296499
0,0.6247256
3,3.4014604
1,1.1385735
24,18.837996
2,1.7611636
11,7.9365363
5,5.0287085
16,12.622756
0,0.047815632
0,0.0108478805
14,8.682622
14,8.7218
0,0.2558761
0,0.055869546
0,0.00023381352
16,12.977145
0,0.01066035
1,1.4675952
3,3.4380481
2,1.3542619
11,7.674174
8,8.571249
10,6.935219
7,4.296499
0,0.060333572
11,9.092942
3,1.6022431
15,13.237385
16,8.409021
0,0.05136394
4,2.9879017
6,3.3666825
11,13.53088
14,12.2419405
12,8.932034
3,1.6398429
5,3.1212647
16,12.520566
0,0.017143873
13,12.467466
10,6.1582303
21,18.050991
10,8.083157
4,1.8640757
26,11.443431
9,5.3783755
4,4.1579695
12,8.655135
8,5.561128
17,11.948113
15,12.798147
15,22.51455
16,12.520566
0,0.00057269214
0,0.010000238
0,0.24125381
0,0.0005622337
9,6.704584
22,18.477362
34,20.16772
0,0.011595247
0,0.002324871
0,0.0067301313
1,1.4827275
6,4.5276494
13,9.229296
17,16.253036
