target,prediction
15,7.8641243
1,1.588298
8,11.496935
0,13.610185
12,16.195177
3,2.5172276
17,16.459465
5,6.8893366
14,7.8365207
13,12.821306
0,0.2676332
21,6.5406575
0,2.517403
5,4.1438913
2,9.252855
0,0.016786406
13,13.516716
0,8.670893
12,11.965341
1,1.9520025
8,11.053866
9,10.861668
8,16.570158
0,0.062202346
0,0.31775078
22,18.10539
34,16.260326
26,21.86362
6,4.992551
10,9.288477
37,21.7562
19,15.543849
0,2.5146573
24,20.494081
0,0.14309308
0,0.041891903
4,2.519698
3,2.0702403
1,0.5988039
14,14.911774
0,1.7624373
2,1.7765316
9,9.603303
0,2.483933
0,9.089208
14,17.96433
8,7.098977
0,2.517403
0,0.3126997
3,2.5568733
3,2.1660554
0,0.310934
14,17.96433
1,1.7925062
2,6.8838053
18,16.036259
8,6.7390103
15,16.547749
12,9.283282
0,0.3212209
0,0.015825745
12,11.965341
11,11.527824
18,15.984024
11,11.527824
17,12.718579
0,1.7624373
0,1.6988537
2,6.8838053
2,9.252855
14,8.321707
0,1.7873796
0,0.016298028
7,10.810769
4,3.1919076
0,0.1800246
21,16.951105
14,8.321707
7,14.733071
5,12.167249
13,8.881915
0,5.859611
7,5.7712045
7,10.554976
9,12.52285
13,13.431726
1,6.3197036
0,0.33064553
0,9.447106
20,7.300651
9,12.52285
38,24.112547
0,1.1653953
31,13.509087
4,8.167332
4,3.3935869
9,10.861668
36,19.629997
3,2.7492108
0,0.9429146
0,1.9352111
0,0.016298028
10,10.996235
10,8.878104
8,7.098977
14,16.928726
32,13.704679
0,6.1531124
14,17.96433
0,0.07500195
10,10.996235
0,0.31775078
0,0.13617346
7,11.607593
0,0.14034475
5,4.0519204
0,0.11338508
0,0.17723243
30,14.352094
6,9.690174
10,13.640311
0,0.42414188
5,8.896229
7,14.945839
11,10.790022
5,3.8954427
15,15.751297
1,6.4719644
2,1.9566861
11,9.794372
9,11.40492
0,10.270484
29,19.167398
11,11.527824
24,20.494081
0,0.10556345
0,2.483933
0,10.33397
0,0.33129472
31,14.809288
19,11.735252
3,2.1660554
0,0.016298028
0,5.859611
35,17.711483
9,12.52285
15,7.54139
9,18.391201
0,5.3899975
8,11.412958
3,2.1660554
12,12.116566
33,16.028843
9,7.982245
16,18.312428
6,9.690174
33,14.9280615
21,16.951105
0,0.19952625
15,7.54139
9,12.826315
16,6.892158
20,7.300651
1,1.4877312
0,2.7548928
23,19.62885
0,1.9352111
8,6.8276696
11,9.794372
21,16.951105
0,9.447106
8,6.8276696
7,6.0150146
7,10.554976
6,4.7185426
0,0.07500195
2,1.8622358
2,1.9566861
0,1.6988537
13,8.789354
1,1.588298
10,10.50947
14,8.024451
1,1.5138682
0,0.19204721
0,1.7624373
11,21.691315
0,0.30664438
6,4.992551
28,20.300295
0,0.33064553
14,16.928726
0,1.6988537
8,11.496935
0,2.517403
4,3.3935869
16,16.949043
7,5.692961
5,3.9673307
9,10.861668
6,9.690174
3,2.5172276
8,11.496935
16,17.004427
5,12.167249
0,1.823452
0,0.34141612
6,4.742073
17,17.397116
17,17.397116
11,10.790022
0,2.483933
13,8.482284
12,8.958956
0,0.06169214
4,10.9781
2,2.2190223
2,2.2591693
9,10.503459
7,14.945839
10,13.640311
11,9.794372
38,24.112547
3,10.078629
14,14.911774
0,0.094042055
15,7.8641243
11,10.563435
25,20.659206
10,9.288477
28,20.300295
0,1.823452
17,16.728245
0,0.09999866
9,7.7991533
8,11.412958
2,4.6534295
0,0.33064553
0,0.016786406
9,8.15617
3,7.498155
20,15.034164
0,0.016786406
18,14.161493
0,0.09600393
17,16.513256
8,11.412958
0,1.9087399
15,7.8641243
15,7.54139
0,9.447106
0,1.0239198
19,15.138531
6,4.862036
0,0.25072736
13,13.516716
16,16.949043
5,2.9219172
33,14.9280615
0,0.30664438
25,21.672544
2,1.8622358
5,2.9219172
14,18.490963
8,11.496935
39,26.719387
1,1.664381
8,16.570158
0,1.5863184
2,2.2190223
5,11.99404
6,13.485216
0,0.016298028
19,11.735252
25,21.672544
16,13.735214
32,14.715549
4,8.167332
0,0.043589182
0,0.27932757
1,0.5988039
36,21.446476
11,10.563435
12,16.195177
16,7.3579006
0,0.6692775
10,13.640311
0,6.1531124
5,12.167249
10,13.970861
0,8.486942
6,3.3209581
15,17.510227
2,9.252855
1,6.3197036
29,19.167398
0,12.934814
6,7.8424587
15,15.906683
1,0.5988039
16,14.816291
13,9.582817
20,15.859167
0,0.30664438
0,6.8725758
15,17.45254
34,16.260326
31,14.809288
9,7.982245
0,9.266541
15,17.45254
0,1.4825488
12,12.116566
0,0.30664438
7,4.5946937
30,14.352094
1,1.588298
18,12.749474
0,0.016786406
1,8.494368
12,10.541818
0,10.33397
0,0.06169214
8,16.570158
1,1.7925062
3,10.078629
2,2.2190223
0,0.18779257
4,2.519698
28,17.881525
0,0.11901722
17,16.459465
3,2.7492108
9,10.861668
11,14.859804
13,8.789354
12,11.965341
4,10.9781
20,7.300651
0,0.057992082
26,21.86362
5,8.896229
0,0.980688
4,10.9781
1,8.494368
7,8.92387
0,3.2699564
4,3.1651635
14,15.911618
20,15.859167
0,1.6777083
0,1.7297946
6,13.293241
11,10.835386
23,19.274733
0,1.067976
6,3.3209581
31,14.809288
13,9.582817
37,21.7562
