epoch,train_loss,val_loss
1,-8.983223915100098,-11.408059120178223
2,-13.062398910522461,-11.782984733581543
3,-13.607787132263184,-11.632150650024414
4,-13.791485786437988,-11.90978717803955
5,-13.995738983154297,-12.368828773498535
6,-13.944035530090332,-12.457341194152832
7,-14.129162788391113,-12.45781135559082
8,-14.33263874053955,-11.771953582763672
9,-14.148967742919922,-12.543808937072754
10,-14.546113967895508,-12.706947326660156
11,-14.5506591796875,-13.011223793029785
12,-14.441789627075195,-11.899909973144531
13,-14.49531364440918,-13.081127166748047
14,-14.792181968688965,-13.211000442504883
15,-14.928298950195312,-12.971261024475098
16,-14.949581146240234,-13.245279312133789
17,-14.92615795135498,-13.399755477905273
18,-15.048168182373047,-13.462714195251465
19,-15.184822082519531,-13.44340705871582
20,-15.196260452270508,-13.31361198425293
21,-15.185386657714844,-13.601654052734375
22,-15.28165340423584,-13.581658363342285
23,-15.178136825561523,-13.279610633850098
24,-15.2765474319458,-13.476603507995605
25,-15.268396377563477,-13.049124717712402
26,-15.229057312011719,-13.78738784790039
27,-15.493720054626465,-13.76494312286377
28,-15.568063735961914,-13.890815734863281
29,-15.532574653625488,-13.890291213989258
30,-15.475422859191895,-13.864388465881348
31,-15.35364055633545,-13.25726318359375
32,-15.467808723449707,-13.900074005126953
33,-15.645975112915039,-13.706029891967773
34,-15.65129280090332,-14.145730018615723
35,-15.776620864868164,-14.139585494995117
36,-15.81045150756836,-14.272889137268066
37,-15.766167640686035,-14.243959426879883
38,-15.786332130432129,-14.24300765991211
39,-15.906794548034668,-14.286737442016602
40,-15.91917610168457,-14.390143394470215
41,-16.0076961517334,-14.25621223449707
42,-16.02640151977539,-14.50865364074707
43,-16.089021682739258,-14.494271278381348
44,-16.022409439086914,-14.50005054473877
45,-16.101591110229492,-14.578843116760254
46,-16.185653686523438,-14.583617210388184
47,-16.24761199951172,-14.71866226196289
48,-16.132747650146484,-14.626340866088867
49,-16.147159576416016,-14.578453063964844
50,-16.255958557128906,-14.652585983276367
