target,prediction
7,7.0334015
0,0.18996203
0,9.929561
0,0.19926485
31,31.189985
0,3.7701817
0,0.2645689
12,7.522848
3,2.5792124
3,8.428662
32,30.62772
0,9.607666
0,0.29366103
7,6.0817494
31,27.47295
12,10.508611
0,4.8220253
3,1.9316915
0,5.0109425
0,7.098216
4,3.3407183
6,4.434645
26,13.724746
5,3.986273
34,32.215584
13,12.679931
11,7.3727
13,7.099932
23,16.139124
8,7.7354674
0,0.31059313
5,11.111827
22,15.761756
0,4.8220253
27,14.724089
0,4.996178
24,16.05684
4,4.344151
13,13.114614
26,13.724746
3,2.7789977
1,1.5247935
12,10.224111
0,0.35468113
4,9.59229
35,31.973743
14,6.8368397
13,12.982375
28,23.200384
10,7.482845
7,5.1105585
28,22.684874
8,7.2626996
12,7.242667
3,8.428662
0,0.27676722
18,13.196781
22,15.761756
5,7.685282
16,8.65683
11,9.972477
0,1.8141403
16,7.393754
7,5.835373
10,7.578751
0,1.8836511
33,23.277243
6,4.7064223
0,2.4342442
3,2.5792124
6,4.7064223
1,1.5500231
8,6.949088
5,3.986273
0,0.11872836
17,13.173946
0,3.9021387
0,0.18399481
22,15.310001
15,13.49149
24,17.662857
15,11.449966
0,3.4653068
0,1.2279279
9,8.586241
10,7.578751
9,9.943995
11,10.049419
14,11.236834
0,0.19308646
14,13.043629
8,7.147254
3,1.9316915
0,2.215313
32,20.082003
0,0.11872836
5,3.7856326
20,13.868497
21,16.132784
6,13.104812
0,0.19876896
10,8.565424
25,18.683489
0,0.2541752
26,13.724746
9,7.2083974
13,10.657221
25,15.922631
0,7.8056026
7,7.6246715
0,7.556254
2,7.288185
11,8.897726
18,13.196781
0,0.2525627
10,9.878404
10,7.51093
14,11.570107
8,6.1307073
20,16.193436
0,0.19722532
4,3.1033547
5,3.803939
13,11.381095
8,7.23197
2,7.789553
6,4.3499336
0,0.33165687
7,15.247401
8,7.6185
11,9.750836
28,11.3176985
1,1.8563958
9,7.2248607
0,9.484794
0,3.0781891
0,1.420923
3,2.739964
27,20.671465
10,8.585023
0,1.284615
24,16.05684
0,1.9229406
1,7.819597
2,2.4380794
15,8.868774
2,2.1736696
11,7.5425496
34,31.935886
0,4.041379
7,14.991931
3,8.285182
11,9.972477
1,7.8246245
0,9.484794
6,4.434645
0,7.334396
1,1.5247935
0,3.4929245
11,8.8691025
0,1.220337
1,1.911841
6,4.973698
8,7.6027308
24,16.05684
0,3.5207639
2,1.699959
25,18.683489
28,22.684874
12,11.4062195
13,11.050191
14,13.043629
16,11.670765
0,0.19308646
30,28.075037
8,6.001484
2,1.7280958
10,7.482845
13,12.982375
10,8.4893465
27,14.724089
0,4.7605176
0,0.38836774
3,2.7789977
24,17.10044
4,3.4747574
8,6.001484
27,20.092663
0,1.3322796
6,13.104812
7,5.0719805
0,0.18996203
29,25.822542
0,0.18996203
31,17.63467
9,6.5658107
4,3.3434618
0,0.17926303
0,4.8220253
1,2.0240488
0,8.691928
20,16.193436
0,7.098216
8,5.8584723
7,5.0719805
35,31.973743
25,18.110264
0,0.8835961
24,16.05684
0,0.36563158
5,4.8839126
12,12.908618
17,15.078033
34,27.330347
17,15.717483
0,1.8141403
14,13.170564
10,9.860553
33,33.791595
0,3.7902842
6,4.6518083
29,13.123965
0,1.220337
33,23.690872
6,4.7064223
0,0.26582065
28,23.200384
0,0.6599342
2,7.288185
0,3.8288627
25,18.110264
12,9.632492
10,8.565424
30,14.946349
10,7.3547506
26,18.947618
0,1.2620125
0,9.176295
1,7.8246245
10,8.461556
10,10.141037
4,9.7591505
0,1.8141403
8,7.6185
19,13.213194
6,5.572395
14,11.236834
4,3.3434618
5,11.30944
0,1.2620125
0,1.220337
3,1.9659847
26,18.947618
7,5.5428367
18,15.91246
14,10.548314
13,9.50395
4,3.2627254
0,0.4755284
13,9.50395
1,6.203671
15,9.0287285
0,4.996178
3,2.7733276
10,8.461556
0,0.19279043
1,2.046666
0,0.3718975
13,10.575062
9,9.038496
12,7.284622
1,1.8563958
15,9.0287285
21,16.132784
8,6.1307073
29,25.25385
8,5.8138337
11,11.461919
18,15.91246
6,5.6543455
14,13.043629
20,14.297542
14,11.236834
7,7.639547
12,12.908618
14,9.340192
9,7.582107
13,12.832435
7,5.1105585
0,5.0109425
0,1.4349853
11,7.3727
10,10.097396
16,12.016508
28,11.3176985
13,12.982375
3,2.7562904
16,8.488363
21,15.006625
11,10.049419
0,1.2620125
17,15.717483
0,0.28446233
3,2.5792124
14,9.235856
0,0.1894106
0,1.220337
14,10.548314
13,7.1535573
17,13.173946
6,4.2863045
19,16.085539
23,15.294147
6,7.661594
16,11.670765
15,11.449966
12,12.908618
25,15.922631
22,16.054895
3,1.9659847
31,27.47295
9,8.294515
25,18.110264
0,8.681291
32,20.441057
0,3.8641438
32,20.441057
2,7.784548
9,7.598601
3,2.797377
31,17.63467
0,4.7605176
0,7.098216
4,3.0578368
3,2.782262
6,4.7064223
4,9.7591505
13,7.099932
15,13.099282
16,13.151147
8,5.8138337
0,0.2645689
9,9.097021
0,0.28446233
12,10.120415
4,3.246446
2,2.1736696
0,2.770205
8,6.1307073
0,1.8507237
10,7.482845
20,16.193436
0,1.6195256
8,7.7354674
12,7.242667
10,9.860553
14,7.4841385
14,7.500592
21,15.398154
15,11.789562
2,2.3697374
0,0.34305143
0,4.8220253
3,2.912576
5,4.123149
17,13.280816
2,2.1736696
31,17.63467
14,14.436321
2,2.3851278
16,12.016508
8,6.001484
27,20.092663
11,9.866244
13,7.5199556
0,0.30947822
0,3.4929245
27,14.724089
33,34.108765
0,2.3696594
15,13.099282
21,16.132784
0,7.556254
0,1.2942125
12,11.4062195
0,3.7902842
30,15.2135725
2,7.288185
0,0.64218086
16,8.65683
14,7.500592
11,9.750836
13,12.832435
24,17.10044
9,7.1209536
0,9.484794
28,11.3176985
16,15.532623
33,33.791595
11,7.5589533
3,2.7733276
0,3.9781313
0,1.1062356
6,5.572395
20,14.297542
21,16.132784
15,13.49149
0,1.2310245
2,1.7280958
12,10.640306
18,12.985529
8,10.004472
0,0.28567427
0,1.5375261
2,2.3077521
12,7.242667
13,12.982375
9,8.615579
3,8.428662
12,10.224111
0,0.19926485
18,12.602987
1,2.0240488
0,0.4707775
0,1.2238069
0,1.4905832
0,1.4450742
27,14.250618
0,0.1818577
2,2.3697374
34,32.215584
1,1.9332101
1,1.8904929
0,2.1711378
7,7.0338855
0,1.284615
4,3.4361458
1,2.0240488
0,0.7171124
0,1.220337
8,7.7354674
0,0.1818577
16,7.393754
18,15.91246
5,11.30944
9,7.264816
20,13.868497
4,3.246446
0,1.0673548
13,7.5199556
22,15.290525
12,10.508611
7,15.247401
0,0.36443937
0,0.096712574
32,30.62772
9,9.038496
9,7.264816
10,7.5623026
32,30.338076
33,23.690872
8,6.949088
1,1.9688007
15,7.469215
14,14.436321
5,4.005558
14,14.436321
13,12.832435
5,4.8839126
16,13.257839
1,2.0762837
29,25.25385
0,5.469338
12,11.273008
7,5.9847617
0,1.1031475
14,9.235856
0,0.6599342
2,1.699959
12,9.632813
0,0.36563158
20,13.868497
1,1.9332101
5,3.967425
30,28.075037
11,9.972477
5,3.6207898
30,28.694744
14,14.264759
0,2.305482
5,3.7856326
4,7.7198844
6,5.6543455
4,3.3034008
0,0.20109801
4,3.0578368
12,9.632492
18,15.91246
1,6.3057804
5,3.674845
14,6.9600306
11,11.461919
24,17.662857
1,6.3057804
30,28.694744
7,5.5428367
0,0.26541278
6,4.7927613
0,4.996178
0,3.4929245
4,3.246446
0,3.051526
0,0.45922863
11,11.764011
1,6.3057804
13,12.832435
9,7.1209536
0,0.4707775
22,16.054895
10,9.988879
7,5.0719805
0,2.4241607
17,5.2587233
6,5.572395
6,4.2863045
10,9.854696
0,1.1841714
6,13.104812
30,15.2135725
8,5.8138337
0,1.5615839
15,7.4641623
17,13.173946
8,6.083474
0,0.3493266
5,7.685282
33,34.108765
9,6.619431
19,15.371067
16,15.532623
4,9.7591505
9,7.264816
15,9.0287285
1,1.8563958
11,8.8691025
4,4.344151
1,1.9332101
0,0.19876896
9,7.1209536
13,9.5036335
13,10.516218
0,0.6986525
6,4.2863045
30,15.2135725
11,9.972477
28,11.119878
0,4.5557103
3,7.7546425
0,1.5871993
9,9.038496
15,11.449966
26,19.493435
33,33.791595
3,2.5792124
23,16.673592
9,6.619431
7,5.1354504
5,11.30944
6,12.87584
7,5.5428367
28,22.684874
9,7.264816
0,0.37342215
5,4.957268
2,2.416623
4,3.4976833
1,1.8563958
0,8.691928
30,28.075037
11,9.763421
16,11.670765
16,8.65683
0,0.2643389
0,1.1492213
32,30.338076
7,7.0334015
0,1.1110893
33,23.690872
4,3.0578368
15,13.49149
8,10.047716
31,27.207275
5,7.6803474
0,7.098216
1,1.9332101
0,3.7701817
7,7.0338855
8,6.090797
19,13.213194
23,16.075813
23,16.139124
8,7.7354674
6,13.104812
2,2.3077521
19,16.085539
15,13.49149
1,2.0585601
7,6.0573244
14,11.570107
0,1.1433858
0,4.0522957
10,7.3547506
0,0.17979665
0,3.9781313
0,1.2316085
6,5.0526414
2,7.789553
5,3.6207898
2,2.3851278
10,8.565424
18,12.985529
10,7.416068
6,4.4099874
3,7.7546425
23,16.075813
0,1.1800379
0,1.9229406
26,19.493435
16,13.151147
17,12.104295
18,12.602987
13,10.516218
21,14.556292
0,0.37342215
10,9.854696
0,5.365968
27,20.092663
2,1.699959
17,13.173946
0,0.2643389
14,6.8368397
0,0.19616608
13,11.381095
11,7.3727
31,17.63467
29,13.123965
0,1.2620125
8,6.9184885
0,4.7605176
2,7.288185
34,27.330347
0,0.3493266
0,0.20565613
7,6.5456977
0,0.34305143
4,4.279501
4,3.3434618
0,0.33787262
7,7.639547
5,4.8839126
10,8.461556
0,1.4905832
9,7.598601
8,7.7855573
12,11.4062195
8,6.001484
0,0.52840555
4,7.7198844
16,13.151147
13,11.050191
2,2.3697374
34,31.935886
0,5.469338
13,11.050191
0,0.2645689
12,9.632813
10,7.482845
0,0.18996203
17,12.104295
8,5.8584723
9,9.943995
0,9.929561
24,17.10044
10,9.878404
10,7.416068
5,3.6207898
3,2.8941712
13,9.5036335
0,2.40365
34,26.866137
0,9.929561
18,15.234887
25,15.922631
7,5.1105585
17,15.717483
19,13.621968
10,8.461556
9,6.5658107
0,1.4450742
7,5.0719805
15,7.469215
8,6.1307073
0,9.929561
0,8.691928
4,3.3094227
11,10.049419
0,1.8836511
0,1.2480397
30,15.2135725
0,0.31955564
0,1.183494
0,0.5459136
6,4.8373694
0,0.64218086
17,15.717483
17,5.179733
2,2.2813976
19,13.213194
28,11.3176985
6,5.036209
12,12.908618
22,16.054895
3,7.7496557
0,1.1110893
12,10.120415
0,8.7025795
0,0.3007804
12,2.3089728
2,2.20974
22,16.054895
0,2.1711378
0,1.4905832
18,12.602987
26,18.947618
15,8.868774
5,3.986273
15,13.278911
2,2.3905647
5,4.1684494
27,14.724089
4,7.714924
11,8.8691025
23,16.075813
11,8.897726
0,0.65294176
12,9.632492
16,7.409239
12,10.573451
