Active Drones,Total Damage,Energy Consumed
5,850,23.599999999999955
5,932,23.399999999999956
5,336,23.99999999999998
5,730,23.999999999999968
5,590,23.599999999999966
5,763,22.999999999999968
5,923,23.399999999999956
5,800,23.799999999999955
5,298,23.99999999999998
5,986,24.199999999999957
5,765,23.599999999999955
5,227,23.99999999999998
5,721,23.399999999999974
5,891,22.999999999999968
5,301,24.199999999999978
5,951,23.799999999999955
5,302,22.999999999999982
5,389,24.199999999999978
5,1013,23.399999999999956
5,361,24.199999999999978
