drone_battery,drone_state_IDLE,drone_state_PROTECTING,drone_state_MOVING_TO_FIELD,drone_state_MOVING_TO_CHARGER,drone_state_CHARGING,drone_state_TERMINATED,charger_distance,queue_length,charging_drones,target
0.6228921184640859,0.0,1.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,1
0.5549279191319905,0.0,0.0,1.0,0.0,0.0,0.0,0.19602327497241537,0.0,1.0,21
0.6380618887425616,0.0,0.0,1.0,0.0,0.0,0.0,0.29,0.2,1.0,28
0.6249999999999997,0.0,1.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,1
0.6499999999999997,0.0,1.0,0.0,0.0,0.0,0.0,0.29,0.0,1.0,6
0.6499999999999997,0.0,1.0,0.0,0.0,0.0,0.0,0.29,0.0,1.0,16
0.6149999999999997,0.0,0.0,1.0,0.0,0.0,0.0,0.261725046566048,0.2,1.0,22
0.6249999999999997,0.0,1.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,1
0.6499999999999997,0.0,1.0,0.0,0.0,0.0,0.0,0.29,0.0,1.0,3
0.6249999999999997,0.0,0.0,1.0,0.0,0.0,0.0,0.2758622844826744,0.0,1.0,21
0.6099999999999997,0.0,0.0,1.0,0.0,0.0,0.0,0.261725046566048,0.2,1.0,24
0.5899999999999996,0.0,0.0,1.0,0.0,0.0,0.0,0.23345235059857503,0.4,1.0,30
0.6449999999999997,0.0,1.0,0.0,0.0,0.0,0.0,0.29,0.0,1.0,8
0.6249999999999997,0.0,1.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,1
0.6349999999999997,0.0,0.0,1.0,0.0,0.0,0.0,0.29,0.0,1.0,20
0.6449999999999997,0.0,0.0,1.0,0.0,0.0,0.0,0.29,0.2,1.0,20
0.5999999999999996,0.0,0.0,1.0,0.0,0.0,0.0,0.24758836806279896,0.4,1.0,23
0.5999999999999996,0.0,0.0,1.0,0.0,0.0,0.0,0.24917490738408551,0.4,1.0,18
0.6249999999999997,0.0,1.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,1
0.6299999999999997,0.0,0.0,1.0,0.0,0.0,0.0,0.29,0.0,1.0,20
0.6299999999999997,0.0,0.0,1.0,0.0,0.0,0.0,0.29,0.2,1.0,22
0.5999999999999996,0.0,0.0,1.0,0.0,0.0,0.0,0.24758836806279896,0.4,1.0,26
0.5649999999999996,0.0,0.0,1.0,0.0,0.0,0.0,0.19386803761547028,0.6,1.0,28
0.6249999999999997,0.0,1.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,1
0.6399999999999997,0.0,1.0,0.0,0.0,0.0,0.0,0.29,0.0,1.0,19
0.6399999999999997,0.0,0.0,1.0,0.0,0.0,0.0,0.29,0.2,1.0,21
0.5999999999999996,0.0,0.0,1.0,0.0,0.0,0.0,0.24758836806279896,0.4,1.0,26
0.5849999999999996,0.0,0.0,1.0,0.0,0.0,0.0,0.219909761124951,0.4,1.0,27
0.6249999999999997,0.0,1.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,1
0.5307302600661077,0.0,0.0,1.0,0.0,0.0,0.0,0.17791789999919266,0.0,0.0,1
0.5420424753400553,0.0,0.0,1.0,0.0,0.0,0.0,0.19313207915827965,0.0,0.0,1
0.5449999999999996,0.0,0.0,1.0,0.0,0.0,0.0,0.18788294228055935,0.0,0.0,1
0.6228921184640859,0.0,1.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,1
0.5549279191319905,0.0,0.0,1.0,0.0,0.0,0.0,0.19298873487507287,0.0,1.0,23
0.6280618887425616,0.0,0.0,1.0,0.0,0.0,0.0,0.2687337288272591,0.2,1.0,27
0.6249999999999997,0.0,1.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,1
0.6249999999999997,0.0,1.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,1
0.6549999999999997,0.0,1.0,0.0,0.0,0.0,0.0,0.30016662039607267,0.0,1.0,24
0.5999999999999996,0.0,0.0,1.0,0.0,0.0,0.0,0.24758836806279896,0.2,1.0,32
0.5949999999999996,0.0,0.0,1.0,0.0,0.0,0.0,0.23345235059857503,0.4,1.0,37
0.6299999999999997,0.0,0.0,1.0,0.0,0.0,0.0,0.2862950947207897,0.4,1.0,24
0.6249999999999997,0.0,1.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,1
0.6349999999999997,0.0,0.0,1.0,0.0,0.0,0.0,0.29,0.0,1.0,19
0.6349999999999997,0.0,0.0,1.0,0.0,0.0,0.0,0.29,0.2,1.0,21
0.6199999999999997,0.0,0.0,1.0,0.0,0.0,0.0,0.2758622844826744,0.4,1.0,23
0.5949999999999996,0.0,0.0,1.0,0.0,0.0,0.0,0.22769741670990806,0.4,1.0,23
0.6249999999999997,0.0,1.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,1
0.6349999999999997,0.0,0.0,1.0,0.0,0.0,0.0,0.29,0.0,1.0,19
0.6399999999999997,0.0,0.0,1.0,0.0,0.0,0.0,0.29,0.2,1.0,21
0.6049999999999996,0.0,0.0,1.0,0.0,0.0,0.0,0.24758836806279896,0.4,1.0,24
0.5799999999999996,0.0,0.0,1.0,0.0,0.0,0.0,0.22161621567786452,0.4,1.0,25
0.6249999999999997,0.0,1.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,1
0.6249999999999997,0.0,0.0,1.0,0.0,0.0,0.0,0.29,0.0,1.0,19
0.6249999999999997,0.0,0.0,1.0,0.0,0.0,0.0,0.29,0.2,1.0,22
