Time,Charge Rate:0.06 - Baseline,Charge Rate:0.06 - Neural Network,Charge Rate:0.08 - Baseline,Charge Rate:0.08 - Neural Network,Charge Rate:0.10 - Baseline,Charge Rate:0.10 - Neural Network
0,0.3625,0.4,0.5,0.5,0.5625,0.7
1,0.375,0.4,0.475,0.4875,0.6625,0.625
2,0.375,0.375,0.45,0.525,0.6125,0.6625
3,0.4125,0.3875,0.5,0.5625,0.625,0.65
4,0.3875,0.425,0.5375,0.5375,0.65,0.6625
5,0.3875,0.4125,0.4875,0.5125,0.6125,0.6625
6,0.375,0.4,0.5125,0.5125,0.6,0.675
7,0.4,0.3875,0.5,0.525,0.575,0.65
8,0.375,0.4125,0.5,0.5375,0.6125,0.6375
