Time,Charge Rate:0.06 - Baseline,Charge Rate:0.06 - Neural Network,Charge Rate:0.08 - Baseline,Charge Rate:0.08 - Neural Network,Charge Rate:0.10 - Baseline,Charge Rate:0.10 - Neural Network
0,0.31,0.33,0.4,0.42,0.53,0.54
1,0.28,0.33,0.41,0.43,0.52,0.54
2,0.31,0.28,0.43,0.45,0.58,0.53
3,0.29,0.31,0.43,0.43,0.53,0.57
4,0.3,0.35,0.4,0.44,0.53,0.53
5,0.33,0.31,0.42,0.42,0.5,0.54
6,0.3,0.33,0.46,0.43,0.55,0.56
7,0.31,0.33,0.4,0.43,0.5,0.56
8,0.29,0.32,0.43,0.47,0.5,0.52
