Time,Charge Rate:0.06 - Baseline,Charge Rate:0.06 - Neural Network,Charge Rate:0.08 - Baseline,Charge Rate:0.08 - Neural Network,Charge Rate:0.10 - Baseline,Charge Rate:0.10 - Neural Network
0,0.421428571,0.435714286,0.471428571,0.478571429,0.521428571,0.564285714
1,0.428571429,0.421428571,0.471428571,0.478571429,0.535714286,0.55
2,0.428571429,0.428571429,0.485714286,0.478571429,0.528571429,0.564285714
3,0.421428571,0.428571429,0.485714286,0.492857143,0.528571429,0.564285714
4,0.414285714,0.442857143,0.478571429,0.5,0.528571429,0.578571429
5,0.428571429,0.428571429,0.492857143,0.478571429,0.507142857,0.55
6,0.442857143,0.435714286,0.471428571,0.464285714,0.528571429,0.557142857
7,0.421428571,0.435714286,0.471428571,0.507142857,0.514285714,0.535714286
8,0.435714286,0.428571429,0.464285714,0.471428571,0.55,0.535714286
