Time,Charge Rate:0.06 - Baseline,Charge Rate:0.06 - Neural Network,Charge Rate:0.08 - Baseline,Charge Rate:0.08 - Neural Network,Charge Rate:0.10 - Baseline,Charge Rate:0.10 - Neural Network
0,0.6,0.575,0.6,0.675,0.575,0.725
1,0.575,0.625,0.575,0.55,0.75,0.7
2,0.625,0.6,0.625,0.675,0.7,0.65
3,0.625,0.625,0.625,0.7,0.7,0.7
4,0.525,0.625,0.525,0.7,0.65,0.675
5,0.625,0.65,0.625,0.725,0.625,0.775
6,0.55,0.675,0.55,0.65,0.7,0.775
7,0.6,0.625,0.6,0.6,0.7,0.675
8,0.55,0.625,0.55,0.65,0.65,0.675
