Active Drones,Total Damage,Alive Drone Rate,Damage Rate,Charger Capacity,Train,Average Run,Charge Alert,Battery Random Reduction
9.6,83.6,0.6,0.08922091782283885,2.0,2.0,3.0,0.2,0.0
9.2,79.0,0.575,0.08431163287086448,2.0,3.0,3.0,0.2,0.0
9.4,82.6,0.5875,0.088153681963714,2.0,4.0,3.0,0.2,0.0
9.6,71.0,0.6,0.07577374599786553,2.0,5.0,3.0,0.2,0.0
9.8,87.0,0.6125,0.09284951974386338,2.0,6.0,3.0,0.2,0.0
9.4,89.4,0.5875,0.09541088580576307,2.0,7.0,3.0,0.2,0.0
9.2,76.4,0.575,0.0815368196371398,2.0,8.0,3.0,0.2,0.0
9.2,79.0,0.575,0.08431163287086445,2.0,9.0,3.0,0.2,0.0
9.2,81.4,0.575,0.08687299893276414,2.0,10.0,3.0,0.2,0.0
9.4,92.6,0.5875,0.09882604055496265,2.0,11.0,3.0,0.2,0.0
