epoch,train_loss,val_loss
1,-143.71144104003906,-201.74322509765625
2,-209.27552795410156,-208.12863159179688
3,-212.6638641357422,-209.48448181152344
4,-213.5212860107422,-209.995849609375
5,-213.9078826904297,-210.24417114257812
6,-214.1295928955078,-210.40191650390625
7,-214.29730224609375,-210.52320861816406
8,-214.42086791992188,-210.6788330078125
9,-214.5473175048828,-210.7483673095703
10,-214.62673950195312,-210.85647583007812
11,-214.71939086914062,-210.93142700195312
12,-214.8203582763672,-210.99720764160156
13,-214.84925842285156,-211.045166015625
14,-214.916015625,-211.07830810546875
15,-214.9849395751953,-211.10043334960938
16,-215.0166015625,-211.15228271484375
17,-215.05149841308594,-211.18910217285156
18,-215.0767059326172,-211.2097930908203
19,-215.0980987548828,-211.2413330078125
20,-215.11729431152344,-211.25387573242188
21,-215.14686584472656,-211.25009155273438
22,-215.15386962890625,-211.2813262939453
23,-215.1791229248047,-211.32179260253906
24,-215.18289184570312,-211.33250427246094
25,-215.21847534179688,-211.3433380126953
26,-215.23153686523438,-211.13836669921875
27,-215.16973876953125,-211.3538818359375
28,-215.25775146484375,-211.3938751220703
29,-215.257080078125,-211.38929748535156
30,-215.29563903808594,-211.39646911621094
31,-215.31246948242188,-211.42892456054688
32,-215.31004333496094,-211.44345092773438
33,-215.3351593017578,-211.36981201171875
34,-215.32606506347656,-211.43667602539062
35,-215.34303283691406,-211.48829650878906
36,-215.34593200683594,-211.4777374267578
37,-215.3478240966797,-211.4230194091797
38,-215.3431396484375,-211.50689697265625
39,-215.38694763183594,-211.515625
40,-215.40802001953125,-211.5023651123047
41,-215.4204559326172,-211.53384399414062
42,-215.39651489257812,-211.5524139404297
43,-215.41412353515625,-211.55499267578125
44,-215.44032287597656,-211.5575408935547
45,-215.4492645263672,-211.56716918945312
46,-215.449951171875,-211.54287719726562
47,-215.4548797607422,-211.57528686523438
48,-215.4622802734375,-211.58038330078125
49,-215.4847412109375,-211.5529022216797
50,-215.39981079101562,-211.33522033691406
