timestep,protectingDrones,chargingDrones,deadDrones,allBirds,eatingBirds,allChargers,idleChargers,energyConsumed,damageRate
0,7,0,0,10,0,3,2,0.2,0.0
1,7,0,0,10,0,3,2,0.2,0.0
2,7,0,0,10,0,3,2,0.2,0.0
3,7,0,0,10,0,3,2,0.2,0.0
4,7,0,0,10,0,3,2,0.2,0.0
5,7,0,0,10,0,3,2,0.2,0.0
6,7,0,0,10,2,3,2,0.2,0.05555555555555555
7,7,0,0,10,2,3,2,0.2,0.05555555555555555
8,7,0,0,10,2,3,2,0.2,0.05555555555555555
9,7,0,0,10,2,3,2,0.2,0.05555555555555555
10,7,0,0,10,1,3,2,0.2,0.027777777777777776
11,7,0,0,10,1,3,2,0.2,0.027777777777777776
12,7,0,0,10,2,3,2,0.2,0.05555555555555555
13,7,0,0,10,2,3,2,0.2,0.05555555555555555
14,7,0,0,10,1,3,2,0.2,0.027777777777777776
15,7,0,0,10,1,3,2,0.2,0.027777777777777776
16,7,0,0,10,1,3,2,0.2,0.027777777777777776
17,7,0,0,10,1,3,2,0.2,0.027777777777777776
18,7,0,0,10,1,3,2,0.2,0.027777777777777776
19,7,0,0,10,1,3,2,0.2,0.027777777777777776
20,7,0,0,10,1,3,2,0.2,0.027777777777777776
21,7,0,0,10,0,3,2,0.2,0.0
22,7,0,0,10,0,3,2,0.2,0.0
23,7,0,0,10,0,3,2,0.2,0.0
24,7,0,0,10,0,3,2,0.2,0.0
25,7,0,0,10,0,3,2,0.2,0.0
26,7,0,0,10,0,3,2,0.2,0.0
27,7,0,0,10,1,3,2,0.2,0.027777777777777776
28,7,0,0,10,2,3,2,0.2,0.05555555555555555
29,7,0,0,10,2,3,2,0.2,0.05555555555555555
30,7,0,0,10,2,3,2,0.2,0.05555555555555555
31,7,0,0,10,2,3,2,0.2,0.05555555555555555
32,7,0,0,10,2,3,2,0.2,0.05555555555555555
33,7,0,0,10,2,3,2,0.2,0.05555555555555555
34,7,0,0,10,2,3,2,0.2,0.05555555555555555
35,7,0,0,10,2,3,2,0.2,0.05555555555555555
36,7,0,0,10,2,3,2,0.2,0.05555555555555555
37,7,0,0,10,2,3,2,0.2,0.05555555555555555
38,7,0,0,10,2,3,2,0.2,0.05555555555555555
39,7,0,0,10,2,3,2,0.2,0.05555555555555555
40,7,0,0,10,1,3,2,0.2,0.027777777777777776
41,7,0,0,10,1,3,2,0.2,0.027777777777777776
42,7,0,0,10,1,3,2,0.2,0.027777777777777776
43,7,0,0,10,1,3,2,0.2,0.027777777777777776
44,7,0,0,10,1,3,2,0.2,0.027777777777777776
45,7,0,0,10,1,3,2,0.2,0.027777777777777776
46,6,0,0,10,0,3,2,0.2,0.0
47,6,0,0,10,0,3,2,0.2,0.0
48,6,0,0,10,0,3,2,0.2,0.0
49,6,0,0,10,0,3,2,0.2,0.0
50,6,0,0,10,0,3,2,0.2,0.0
51,6,0,0,10,0,3,2,0.2,0.0
52,6,0,0,10,0,3,2,0.2,0.0
53,6,0,0,10,0,3,2,0.2,0.0
54,6,0,0,10,0,3,2,0.2,0.0
55,6,0,0,10,1,3,2,0.2,0.027777777777777776
56,6,0,0,10,1,3,2,0.2,0.027777777777777776
57,6,0,0,10,1,3,2,0.2,0.027777777777777776
58,6,0,0,10,1,3,2,0.2,0.027777777777777776
59,6,0,0,10,1,3,2,0.2,0.027777777777777776
60,6,0,0,10,1,3,2,0.2,0.027777777777777776
61,5,0,0,10,1,3,2,0.2,0.027777777777777776
62,5,0,0,10,2,3,2,0.2,0.05555555555555555
63,5,0,0,10,3,3,2,0.2,0.08333333333333333
64,5,0,0,10,3,3,2,0.2,0.08333333333333333
65,5,0,0,10,4,3,2,0.2,0.1111111111111111
66,5,0,0,10,3,3,2,0.2,0.08333333333333333
67,5,0,0,10,3,3,2,0.2,0.08333333333333333
68,5,0,0,10,2,3,2,0.2,0.05555555555555555
69,5,0,0,10,2,3,2,0.2,0.05555555555555555
70,5,0,0,10,2,3,2,0.2,0.05555555555555555
71,5,0,0,10,2,3,2,0.2,0.05555555555555555
72,5,0,0,10,1,3,2,0.2,0.027777777777777776
73,5,0,0,10,1,3,2,0.2,0.027777777777777776
74,5,0,0,10,1,3,2,0.2,0.027777777777777776
75,5,0,0,10,2,3,2,0.2,0.05555555555555555
76,5,0,0,10,4,3,2,0.2,0.1111111111111111
77,5,0,0,10,2,3,2,0.2,0.05555555555555555
78,5,0,0,10,2,3,2,0.2,0.05555555555555555
79,5,0,0,10,1,3,2,0.2,0.027777777777777776
80,5,0,0,10,2,3,2,0.2,0.05555555555555555
81,5,0,0,10,3,3,2,0.2,0.08333333333333333
