timestep,allDrones,chargingDrones,deadDrones,allBirds,eatingBirds,allChargers,idleChargers,energyConsumed,damageRate
183,7,0,1,10,2,3,2,0.1,0.05555555555555555
184,7,0,1,10,2,3,2,0.1,0.05555555555555555
185,7,0,1,10,1,3,2,0.1,0.027777777777777776
186,7,0,1,10,1,3,2,0.1,0.027777777777777776
187,7,0,1,10,0,3,2,0.1,0.0
188,7,0,1,10,0,3,2,0.1,0.0
189,7,0,1,10,0,3,2,0.1,0.0
190,7,0,1,10,0,3,2,0.1,0.0
191,7,0,1,10,0,3,2,0.1,0.0
192,7,0,1,10,0,3,2,0.1,0.0
193,7,0,1,10,0,3,2,0.1,0.0
194,7,0,1,10,1,3,2,0.1,0.027777777777777776
195,7,0,1,10,2,3,2,0.1,0.05555555555555555
196,7,0,1,10,2,3,2,0.1,0.05555555555555555
197,7,0,1,10,2,3,2,0.1,0.05555555555555555
198,7,0,1,10,2,3,2,0.1,0.05555555555555555
199,7,0,1,10,2,3,2,0.1,0.05555555555555555
200,7,0,1,10,0,3,2,0.1,0.0
201,7,0,1,10,0,3,2,0.1,0.0
202,7,0,1,10,0,3,2,0.1,0.0
203,7,0,1,10,0,3,2,0.1,0.0
204,7,0,1,10,0,3,2,0.1,0.0
205,7,0,1,10,0,3,2,0.1,0.0
206,7,0,1,10,0,3,2,0.1,0.0
207,7,0,1,10,0,3,2,0.1,0.0
208,7,0,1,10,0,3,2,0.1,0.0
209,7,0,1,10,0,3,2,0.1,0.0
210,7,0,1,10,0,3,2,0.1,0.0
211,7,0,1,10,1,3,2,0.1,0.027777777777777776
212,7,0,1,10,0,3,2,0.1,0.0
213,7,0,1,10,0,3,2,0.1,0.0
214,7,0,1,10,0,3,2,0.1,0.0
215,7,0,1,10,0,3,2,0.1,0.0
216,7,0,1,10,1,3,2,0.1,0.027777777777777776
217,7,0,1,10,0,3,2,0.1,0.0
218,7,0,1,10,0,3,2,0.1,0.0
219,7,0,1,10,0,3,2,0.1,0.0
220,7,0,1,10,1,3,2,0.1,0.027777777777777776
221,7,0,1,10,2,3,2,0.1,0.05555555555555555
222,7,0,1,10,2,3,2,0.1,0.05555555555555555
223,7,0,1,10,2,3,2,0.1,0.05555555555555555
224,7,0,1,10,2,3,2,0.1,0.05555555555555555
225,7,0,1,10,2,3,2,0.1,0.05555555555555555
226,7,0,1,10,1,3,2,0.1,0.027777777777777776
227,7,0,1,10,1,3,2,0.1,0.027777777777777776
228,7,0,1,10,1,3,1,0.2,0.027777777777777776
229,7,0,1,10,1,3,1,0.2,0.027777777777777776
230,7,0,1,10,0,3,1,0.2,0.0
231,7,0,1,10,0,3,1,0.2,0.0
232,7,0,1,10,0,3,1,0.2,0.0
233,7,0,1,10,2,3,1,0.2,0.05555555555555555
234,7,1,1,10,2,3,1,0.2,0.05555555555555555
235,7,1,1,10,2,3,1,0.2,0.05555555555555555
236,7,1,1,10,3,3,1,0.2,0.08333333333333333
237,7,1,1,10,3,3,1,0.2,0.08333333333333333
238,7,1,1,10,3,3,1,0.2,0.08333333333333333
239,7,1,1,10,2,3,1,0.2,0.05555555555555555
240,7,1,1,10,2,3,1,0.2,0.05555555555555555
241,7,1,1,10,3,3,1,0.2,0.08333333333333333
242,7,1,1,10,3,3,1,0.2,0.08333333333333333
243,7,1,1,10,3,3,1,0.2,0.08333333333333333
244,7,1,1,10,3,3,1,0.2,0.08333333333333333
245,7,1,1,10,3,3,1,0.2,0.08333333333333333
246,7,1,1,10,3,3,1,0.2,0.08333333333333333
247,7,1,1,10,2,3,1,0.2,0.05555555555555555
248,7,1,1,10,2,3,1,0.2,0.05555555555555555
249,7,1,1,10,2,3,1,0.2,0.05555555555555555
250,7,1,1,10,2,3,1,0.2,0.05555555555555555
251,7,1,1,10,2,3,1,0.2,0.05555555555555555
252,7,1,1,10,2,3,1,0.2,0.05555555555555555
253,7,1,1,10,2,3,1,0.2,0.05555555555555555
254,7,1,1,10,2,3,1,0.2,0.05555555555555555
255,7,1,1,10,2,3,1,0.2,0.05555555555555555
256,7,1,1,10,1,3,1,0.2,0.027777777777777776
257,7,1,1,10,1,3,1,0.2,0.027777777777777776
258,7,1,1,10,2,3,1,0.2,0.05555555555555555
259,7,1,1,10,2,3,1,0.2,0.05555555555555555
260,7,1,1,10,2,3,0,0.30000000000000004,0.05555555555555555
261,7,1,1,10,2,3,0,0.30000000000000004,0.05555555555555555
262,7,1,1,10,3,3,0,0.30000000000000004,0.08333333333333333
263,7,2,1,10,3,3,0,0.30000000000000004,0.08333333333333333
264,7,2,1,10,2,3,0,0.30000000000000004,0.05555555555555555
265,7,2,1,10,3,3,0,0.30000000000000004,0.08333333333333333
266,7,2,1,10,4,3,0,0.30000000000000004,0.1111111111111111
267,7,2,1,10,4,3,0,0.30000000000000004,0.1111111111111111
268,7,2,1,10,4,3,0,0.30000000000000004,0.1111111111111111
269,7,2,1,10,3,3,0,0.30000000000000004,0.08333333333333333
270,7,2,1,10,2,3,0,0.30000000000000004,0.05555555555555555
271,7,2,1,10,2,3,0,0.30000000000000004,0.05555555555555555
272,7,1,1,10,2,3,1,0.2,0.05555555555555555
273,7,1,1,10,3,3,1,0.2,0.08333333333333333
274,7,1,1,10,3,3,1,0.2,0.08333333333333333
275,7,1,1,10,2,3,1,0.2,0.05555555555555555
276,7,1,1,10,2,3,1,0.2,0.05555555555555555
277,7,1,1,10,3,3,1,0.2,0.08333333333333333
278,7,1,1,10,2,3,1,0.2,0.05555555555555555
279,7,1,1,10,2,3,1,0.2,0.05555555555555555
280,7,1,1,10,2,3,1,0.2,0.05555555555555555
281,7,1,1,10,2,3,1,0.2,0.05555555555555555
282,7,1,1,10,1,3,1,0.2,0.027777777777777776
283,7,1,1,10,2,3,1,0.2,0.05555555555555555
284,7,0,1,10,2,3,1,0.2,0.05555555555555555
285,7,0,1,10,2,3,1,0.2,0.05555555555555555
286,7,0,1,10,2,3,1,0.2,0.05555555555555555
287,7,0,1,10,2,3,1,0.2,0.05555555555555555
288,7,0,1,10,2,3,1,0.2,0.05555555555555555
289,7,0,1,10,2,3,1,0.2,0.05555555555555555
290,7,0,1,10,2,3,1,0.2,0.05555555555555555
291,7,0,1,10,2,3,1,0.2,0.05555555555555555
292,7,0,1,10,2,3,1,0.2,0.05555555555555555
293,7,0,1,10,2,3,1,0.2,0.05555555555555555
294,7,0,1,10,1,3,0,0.30000000000000004,0.027777777777777776
295,7,0,1,10,1,3,0,0.30000000000000004,0.027777777777777776
296,7,1,1,10,1,3,0,0.30000000000000004,0.027777777777777776
297,7,1,1,10,1,3,0,0.30000000000000004,0.027777777777777776
298,7,1,1,10,4,3,0,0.30000000000000004,0.1111111111111111
299,7,1,1,10,4,3,0,0.30000000000000004,0.1111111111111111
300,7,1,1,10,4,3,0,0.30000000000000004,0.1111111111111111
301,7,1,1,10,3,3,0,0.30000000000000004,0.08333333333333333
302,7,1,1,10,3,3,0,0.30000000000000004,0.08333333333333333
303,7,1,1,10,2,3,0,0.30000000000000004,0.05555555555555555
304,7,1,1,10,2,3,0,0.30000000000000004,0.05555555555555555
305,7,1,1,10,1,3,0,0.30000000000000004,0.027777777777777776
306,7,1,1,10,1,3,0,0.30000000000000004,0.027777777777777776
307,7,1,1,10,1,3,0,0.30000000000000004,0.027777777777777776
308,7,1,1,10,2,3,0,0.30000000000000004,0.05555555555555555
309,7,1,1,10,2,3,0,0.30000000000000004,0.05555555555555555
310,7,2,1,10,2,3,0,0.30000000000000004,0.05555555555555555
311,7,2,1,10,2,3,0,0.30000000000000004,0.05555555555555555
312,7,2,1,10,2,3,0,0.30000000000000004,0.05555555555555555
313,7,2,1,10,2,3,0,0.30000000000000004,0.05555555555555555
314,7,2,1,10,2,3,0,0.30000000000000004,0.05555555555555555
315,7,2,1,10,1,3,0,0.30000000000000004,0.027777777777777776
316,7,2,1,10,1,3,0,0.30000000000000004,0.027777777777777776
317,7,2,1,10,1,3,0,0.30000000000000004,0.027777777777777776
318,7,2,1,10,1,3,0,0.30000000000000004,0.027777777777777776
319,7,2,1,10,1,3,0,0.30000000000000004,0.027777777777777776
320,7,2,1,10,1,3,0,0.30000000000000004,0.027777777777777776
321,7,2,1,10,0,3,0,0.30000000000000004,0.0
322,7,2,1,10,0,3,0,0.30000000000000004,0.0
323,7,2,1,10,0,3,0,0.30000000000000004,0.0
324,7,2,1,10,0,3,0,0.30000000000000004,0.0
325,7,2,1,10,0,3,0,0.30000000000000004,0.0
326,7,2,1,10,0,3,0,0.30000000000000004,0.0
327,7,2,1,10,0,3,0,0.30000000000000004,0.0
328,7,2,1,10,0,3,0,0.30000000000000004,0.0
329,7,2,1,10,0,3,0,0.30000000000000004,0.0
330,7,2,2,10,0,3,0,0.30000000000000004,0.0
331,7,2,2,10,1,3,0,0.30000000000000004,0.027777777777777776
332,7,2,2,10,1,3,0,0.30000000000000004,0.027777777777777776
333,7,2,2,10,1,3,0,0.30000000000000004,0.027777777777777776
334,7,2,2,10,0,3,0,0.30000000000000004,0.0
335,7,2,2,10,1,3,0,0.30000000000000004,0.027777777777777776
336,7,2,2,10,1,3,0,0.30000000000000004,0.027777777777777776
337,7,2,2,10,1,3,0,0.30000000000000004,0.027777777777777776
338,7,2,2,10,1,3,0,0.30000000000000004,0.027777777777777776
339,7,2,3,10,2,3,0,0.30000000000000004,0.05555555555555555
340,7,2,3,10,2,3,0,0.30000000000000004,0.05555555555555555
341,7,2,3,10,1,3,0,0.30000000000000004,0.027777777777777776
342,7,2,3,10,1,3,0,0.30000000000000004,0.027777777777777776
343,7,1,3,10,0,3,1,0.2,0.0
344,7,1,3,10,0,3,1,0.2,0.0
345,7,1,3,10,0,3,1,0.2,0.0
346,7,1,3,10,1,3,1,0.2,0.027777777777777776
347,7,1,3,10,0,3,1,0.2,0.0
348,7,1,3,10,0,3,1,0.2,0.0
349,7,1,3,10,1,3,1,0.2,0.027777777777777776
350,7,1,3,10,1,3,1,0.2,0.027777777777777776
351,7,1,3,10,1,3,1,0.2,0.027777777777777776
352,7,1,3,10,0,3,1,0.2,0.0
353,7,1,3,10,0,3,1,0.2,0.0
354,7,1,3,10,0,3,1,0.2,0.0
355,7,1,3,10,0,3,1,0.2,0.0
356,7,1,3,10,0,3,1,0.2,0.0
357,7,1,3,10,1,3,1,0.2,0.027777777777777776
358,7,0,3,10,1,3,2,0.1,0.027777777777777776
359,7,0,3,10,1,3,2,0.1,0.027777777777777776
360,7,0,3,10,1,3,2,0.1,0.027777777777777776
361,7,0,3,10,1,3,2,0.1,0.027777777777777776
362,7,0,3,10,2,3,2,0.1,0.05555555555555555
363,7,0,3,10,1,3,2,0.1,0.027777777777777776
364,7,0,3,10,1,3,2,0.1,0.027777777777777776
365,7,0,3,10,1,3,2,0.1,0.027777777777777776
366,7,0,3,10,1,3,2,0.1,0.027777777777777776
367,7,0,3,10,2,3,2,0.1,0.05555555555555555
368,7,0,3,10,2,3,2,0.1,0.05555555555555555
369,7,0,3,10,2,3,2,0.1,0.05555555555555555
370,7,0,3,10,2,3,2,0.1,0.05555555555555555
371,7,0,3,10,1,3,2,0.1,0.027777777777777776
372,7,0,3,10,2,3,2,0.1,0.05555555555555555
373,7,0,3,10,3,3,2,0.1,0.08333333333333333
374,7,0,3,10,3,3,2,0.1,0.08333333333333333
375,7,0,3,10,4,3,2,0.1,0.1111111111111111
376,7,0,3,10,4,3,2,0.1,0.1111111111111111
377,7,0,3,10,4,3,2,0.1,0.1111111111111111
378,7,0,3,10,4,3,2,0.1,0.1111111111111111
379,7,0,3,10,3,3,2,0.1,0.08333333333333333
380,7,0,3,10,3,3,2,0.1,0.08333333333333333
381,7,0,3,10,4,3,2,0.1,0.1111111111111111
382,7,0,3,10,4,3,2,0.1,0.1111111111111111
383,7,0,3,10,2,3,2,0.1,0.05555555555555555
384,7,0,3,10,2,3,2,0.1,0.05555555555555555
385,7,0,3,10,2,3,2,0.1,0.05555555555555555
386,7,0,3,10,2,3,2,0.1,0.05555555555555555
387,7,0,3,10,1,3,2,0.1,0.027777777777777776
388,7,0,3,10,0,3,2,0.1,0.0
389,7,0,3,10,0,3,2,0.1,0.0
390,7,0,3,10,0,3,2,0.1,0.0
391,7,0,3,10,1,3,2,0.1,0.027777777777777776
392,7,0,3,10,1,3,2,0.1,0.027777777777777776
393,7,0,3,10,2,3,2,0.1,0.05555555555555555
394,7,0,3,10,1,3,2,0.1,0.027777777777777776
395,7,0,3,10,1,3,2,0.1,0.027777777777777776
396,7,0,3,10,2,3,2,0.1,0.05555555555555555
397,7,0,3,10,2,3,2,0.1,0.05555555555555555
398,7,0,3,10,1,3,2,0.1,0.027777777777777776
399,7,0,3,10,2,3,2,0.1,0.05555555555555555
400,7,0,3,10,2,3,2,0.1,0.05555555555555555
401,7,0,3,10,2,3,2,0.1,0.05555555555555555
402,7,0,3,10,2,3,2,0.1,0.05555555555555555
403,7,0,3,10,3,3,2,0.1,0.08333333333333333
404,7,0,3,10,3,3,2,0.1,0.08333333333333333
405,7,0,3,10,3,3,2,0.1,0.08333333333333333
406,7,0,3,10,3,3,2,0.1,0.08333333333333333
407,7,0,3,10,3,3,2,0.1,0.08333333333333333
408,7,0,3,10,4,3,2,0.1,0.1111111111111111
409,7,0,3,10,5,3,2,0.1,0.1388888888888889
410,7,0,3,10,5,3,2,0.1,0.1388888888888889
411,7,0,3,10,5,3,2,0.1,0.1388888888888889
412,7,0,3,10,5,3,2,0.1,0.1388888888888889
413,7,0,3,10,4,3,2,0.1,0.1111111111111111
414,7,0,3,10,4,3,2,0.1,0.1111111111111111
415,7,0,3,10,3,3,2,0.1,0.08333333333333333
416,7,0,3,10,4,3,1,0.2,0.1111111111111111
417,7,0,3,10,3,3,1,0.2,0.08333333333333333
418,7,1,3,10,2,3,1,0.2,0.05555555555555555
419,7,1,3,10,3,3,1,0.2,0.08333333333333333
420,7,1,3,10,3,3,0,0.30000000000000004,0.08333333333333333
421,7,1,3,10,3,3,0,0.30000000000000004,0.08333333333333333
422,7,1,3,10,1,3,0,0.30000000000000004,0.027777777777777776
423,7,1,3,10,1,3,0,0.30000000000000004,0.027777777777777776
424,7,1,3,10,2,3,0,0.30000000000000004,0.05555555555555555
425,7,2,3,10,2,3,0,0.30000000000000004,0.05555555555555555
426,7,2,3,10,1,3,0,0.30000000000000004,0.027777777777777776
427,7,2,3,10,1,3,0,0.30000000000000004,0.027777777777777776
428,7,2,3,10,1,3,0,0.30000000000000004,0.027777777777777776
429,7,2,3,10,1,3,0,0.30000000000000004,0.027777777777777776
430,7,2,3,10,1,3,0,0.30000000000000004,0.027777777777777776
431,7,2,3,10,1,3,0,0.30000000000000004,0.027777777777777776
432,7,2,3,10,1,3,0,0.30000000000000004,0.027777777777777776
433,7,2,3,10,1,3,0,0.30000000000000004,0.027777777777777776
434,7,2,3,10,2,3,0,0.30000000000000004,0.05555555555555555
435,7,2,3,10,2,3,0,0.30000000000000004,0.05555555555555555
436,7,2,3,10,1,3,0,0.30000000000000004,0.027777777777777776
437,7,2,3,10,1,3,0,0.30000000000000004,0.027777777777777776
438,7,2,3,10,0,3,0,0.30000000000000004,0.0
439,7,1,3,10,0,3,1,0.2,0.0
440,7,1,3,10,0,3,1,0.2,0.0
441,7,1,3,10,1,3,1,0.2,0.027777777777777776
442,7,1,3,10,2,3,1,0.2,0.05555555555555555
443,7,1,3,10,2,3,1,0.2,0.05555555555555555
444,7,1,3,10,2,3,1,0.2,0.05555555555555555
445,7,1,3,10,1,3,1,0.2,0.027777777777777776
446,7,1,3,10,0,3,1,0.2,0.0
447,7,1,3,10,1,3,1,0.2,0.027777777777777776
448,7,1,3,10,2,3,1,0.2,0.05555555555555555
449,7,1,3,10,3,3,1,0.2,0.08333333333333333
450,7,1,3,10,2,3,1,0.2,0.05555555555555555
451,7,1,3,10,2,3,1,0.2,0.05555555555555555
452,7,1,3,10,2,3,1,0.2,0.05555555555555555
453,7,1,3,10,1,3,1,0.2,0.027777777777777776
454,7,1,3,10,2,3,1,0.2,0.05555555555555555
455,7,1,3,10,3,3,1,0.2,0.08333333333333333
456,7,1,3,10,3,3,1,0.2,0.08333333333333333
457,7,0,3,10,1,3,2,0.1,0.027777777777777776
458,7,0,3,10,1,3,2,0.1,0.027777777777777776
459,7,0,3,10,1,3,2,0.1,0.027777777777777776
460,7,0,3,10,1,3,2,0.1,0.027777777777777776
461,7,0,3,10,1,3,2,0.1,0.027777777777777776
462,7,0,3,10,1,3,2,0.1,0.027777777777777776
463,7,0,3,10,1,3,2,0.1,0.027777777777777776
464,7,0,3,10,1,3,2,0.1,0.027777777777777776
465,7,0,3,10,1,3,2,0.1,0.027777777777777776
466,7,0,3,10,1,3,2,0.1,0.027777777777777776
467,7,0,3,10,1,3,2,0.1,0.027777777777777776
468,7,0,3,10,1,3,2,0.1,0.027777777777777776
469,7,0,3,10,1,3,2,0.1,0.027777777777777776
470,7,0,3,10,1,3,2,0.1,0.027777777777777776
471,7,0,3,10,0,3,2,0.1,0.0
472,7,0,3,10,0,3,2,0.1,0.0
473,7,0,3,10,1,3,2,0.1,0.027777777777777776
474,7,0,3,10,1,3,2,0.1,0.027777777777777776
475,7,0,3,10,1,3,2,0.1,0.027777777777777776
476,7,0,3,10,1,3,2,0.1,0.027777777777777776
477,7,0,3,10,1,3,2,0.1,0.027777777777777776
478,7,0,3,10,1,3,2,0.1,0.027777777777777776
479,7,0,3,10,2,3,2,0.1,0.05555555555555555
480,7,0,3,10,2,3,2,0.1,0.05555555555555555
