timestep,deadDrones,chargingDrones,meanBattery,minAlert,maxAlert,aliveRate,freeChargers,eatingBirds,damage,energy
0,0.0,0,0.8227580469484504,0.21555861503127255,0.6232779357628151,1.0,9,0,0.0,0
1,0.0,0,0.8127580469484504,0.21555861503127255,0.6232779357628151,1.0,9,0,0.0,0
2,0.0,0,0.8027580469484504,0.21555861503127255,0.6232779357628151,1.0,9,0,0.0,0
3,0.0,0,0.7927580469484504,0.21555861503127255,0.6232779357628151,1.0,9,0,0.0,0
4,0.0,0,0.7827580469484504,0.21555861503127255,0.6232779357628151,1.0,9,0,0.0,0
5,0.0,0,0.7727580469484504,0.21555861503127255,0.6232779357628151,1.0,9,0,0.0,0
6,0.0,0,0.7627580469484504,0.21555861503127255,0.6232779357628151,1.0,9,0,0.0,0
7,0.0,0,0.7534247136151171,0.21555861503127255,0.6232779357628151,1.0,9,0,0.0,0
8,0.0,0,0.7434247136151171,0.21555861503127255,0.6232779357628151,1.0,9,0,0.0,0
9,0.0,0,0.7337580469484504,0.21555861503127255,0.6232779357628151,1.0,9,0,0.0,0
10,0.0,0,0.7240913802817837,0.21555861503127255,0.6232779357628151,1.0,9,0,0.0,0
11,0.0,0,0.7140913802817836,0.21555861503127255,0.6232779357628151,1.0,9,0,0.0,0
12,0.0,0,0.704424713615117,0.21555861503127255,0.6232779357628151,1.0,9,0,0.0,0
13,0.0,0,0.6950913802817836,0.21555861503127255,0.6232779357628151,1.0,9,0,0.0,0
14,0.0,0,0.685424713615117,0.21555861503127255,0.6232779357628151,1.0,9,0,0.0,0
15,0.0,0,0.6760913802817836,0.21555861503127255,0.6232779357628151,1.0,9,0,0.0,0
16,0.0,0,0.6667580469484503,0.21555861503127255,0.6232779357628151,1.0,9,0,0.0,0
17,0.0,0,0.6570913802817836,0.21555861503127255,0.6232779357628151,1.0,9,0,0.0,0
18,0.0,0,0.6477580469484503,0.21555861503127255,0.6232779357628151,1.0,9,0,0.0,0
19,0.0,0,0.6380913802817836,0.21555861503127255,0.6232779357628151,1.0,9,0,0.0,0
20,0.0,0,0.6287580469484503,0.21555861503127255,0.6232779357628151,1.0,9,0,0.0,0
21,0.0,0,0.619424713615117,0.21555861503127255,0.6232779357628151,1.0,9,0,0.0,0
22,0.0,0,0.610424713615117,0.21555861503127255,0.6232779357628151,1.0,9,0,0.0,0
23,0.0,0,0.6007580469484503,0.21555861503127255,0.6232779357628151,1.0,9,0,0.0,0
24,0.0,0,0.5910913802817835,0.21555861503127255,0.6232779357628151,1.0,9,1,0.009708737864077669,0
25,0.0,0,0.5820913802817835,0.21555861503127255,0.6232779357628151,1.0,9,0,0.019417475728155338,0
26,0.0,0,0.5724247136151169,0.21555861503127255,0.6232779357628151,1.0,9,0,0.0,0
27,0.0,0,0.5624247136151169,0.21555861503127255,0.6232779357628151,1.0,9,0,0.0,0
28,0.0,1,0.5540913802817835,0.21555861503127255,0.6232779357628151,1.0,9,1,0.019417475728155338,0
29,0.0,1,0.5587580469484502,0.21555861503127255,0.6232779357628151,1.0,8,1,0.019417475728155338,0.2
30,0.0,1,0.5627580469484502,0.21555861503127255,0.6232779357628151,1.0,8,1,0.02912621359223301,0.4
31,0.0,1,0.5579847978486392,0.21555861503127255,0.6232779357628151,1.0,9,1,0.038834951456310676,0.6000000000000001
32,0.0,1,0.5623181311819725,0.21555861503127255,0.6232779357628151,1.0,8,4,0.07766990291262135,0.8
33,0.0,2,0.5679847978486391,0.21555861503127255,0.6232779357628151,1.0,8,4,0.11650485436893204,1.0
34,0.0,1,0.5755596771596014,0.21555861503127255,0.6232779357628151,1.0,8,4,0.1553398058252427,1.4000000000000001
35,0.0,3,0.5815596771596014,0.21555861503127255,0.6232779357628151,1.0,8,3,0.20388349514563106,1.6
36,0.0,4,0.5885815809687908,0.21555861503127255,0.6232779357628151,1.0,8,2,0.18446601941747573,2.0
