id,battery,location.x,location.y,state,distanceToNearestCharger,requestTime,acceptedTime
Drone_90,0.7505000000000001,828,151,2,97,556,951
Drone_14,0.6699999999999997,784,565,2,184,645,961
Drone_16,0.7734999999999999,343,754,2,219,545,963
Drone_49,0.5254999999999999,836,553,2,181,796,966
Drone_22,0.5195000000000003,720,128,2,121,803,975
Drone_38,0.8374999999999999,354,812,2,161,491,976
Drone_30,0.7904999999999999,613,813,2,236,539,979
Drone_66,0.8939999999999999,303,243,2,212,447,980
Drone_40,0.8939999999999999,193,352,2,237,509,993
Drone_64,0.5154999999999998,742,564,2,186,890,994
Drone_44,0.8124999999999999,717,640,2,266,623,996
Drone_79,0.5559999999999997,410,274,2,109,883,1002
Drone_11,0.6609999999999999,384,794,2,168,782,1003
Drone_57,0.5434999999999998,258,182,2,264,929,1061
Drone_24,0.8704999999999999,296,250,2,219,614,1066
Drone_84,0.706,256,596,2,172,787,1083
Drone_97,0.8589999999999999,134,282,2,285,644,1087
Drone_56,0.815,759,98,2,138,699,1092
Drone_86,0.3925000000000001,242,584,2,156,1101,1110
Drone_3,0.6589999999999999,283,557,2,178,880,1113
Drone_6,0.6619999999999997,789,573,2,192,885,1119
Drone_39,0.562,772,148,2,87,988,1128
Drone_85,0.5999999999999996,487,164,2,83,986,1142
Drone_73,0.4245,802,146,2,92,1145,1146
Drone_47,0.6879999999999998,166,276,2,298,905,1188
Drone_19,0.7329999999999999,290,164,2,238,870,1189
Drone_25,0.6139999999999998,237,567,2,150,1002,1214
Drone_34,0.6639999999999997,423,135,2,141,978,1223
Drone_46,0.5004999999999998,704,509,2,148,1182,1232
Drone_69,0.6514999999999997,209,557,2,122,1031,1238
Drone_74,0.45999999999999963,532,864,2,141,1246,1266
Drone_26,0.3505000000000001,758,88,2,148,1270,1277
Drone_71,0.49150000000000016,277,557,2,184,1224,1283
Drone_65,0.6639999999999997,620,749,2,241,1059,1285
Drone_100,0.7494999999999999,221,547,2,135,977,1286
Drone_12,0.6525000000000001,245,567,2,158,1075,1298
Drone_4,0.4314999999999999,240,548,2,153,1304,1308
Drone_70,0.4419999999999998,410,266,2,107,1294,1313
Drone_43,0.3489999999999999,801,128,2,109,1315,1322
Drone_68,0.4764999999999997,804,617,2,237,1275,1324
Drone_23,0.4794999999999998,246,577,2,159,1302,1332
Drone_33,0.6299999999999998,261,578,2,174,1203,1346
Drone_27,0.3624999999999999,230,547,2,144,1348,1349
Drone_83,0.314,195,577,2,108,1351,1355
Drone_62,0.5304999999999999,804,573,2,193,1320,1380
Drone_48,0.6024999999999998,207,162,2,318,1163,1398
Drone_45,0.8759999999999999,267,252,2,248,1003,1408
Drone_42,0.5024999999999997,772,530,2,149,1403,1437
Drone_32,0.7715,756,108,2,128,1173,1439
Drone_8,0.49649999999999994,746,138,2,102,1444,1446
Drone_76,0.5540000000000003,756,134,2,103,1413,1451
Drone_5,0.7214999999999998,458,812,2,148,1345,1454
Drone_13,0.7614999999999998,793,568,2,187,1322,1460
Drone_16,0.7289999999999999,406,784,2,174,1359,1480
Drone_88,0.6794999999999998,814,563,2,185,1413,1496
Drone_44,0.7744999999999999,810,606,2,227,1336,1507
Drone_55,0.7965,874,488,2,143,1318,1510
Drone_21,0.7609999999999999,708,140,2,118,1359,1511
Drone_22,0.5240000000000002,730,118,2,126,1543,1543
Drone_82,0.6599999999999997,427,671,2,109,1468,1547
Drone_80,0.9049999999999999,325,338,2,212,1237,1553
Drone_52,0.7199999999999998,795,425,2,46,1426,1576
Drone_81,0.7935,710,134,2,121,1397,1579
Drone_75,0.8649999999999999,561,709,2,173,1349,1596
Drone_30,0.7149999999999997,549,852,2,161,1508,1598
Drone_14,0.6519999999999998,860,527,2,166,1581,1606
Drone_56,0.8039999999999998,772,108,2,127,1434,1614
Drone_84,0.7214999999999999,272,590,2,186,1546,1616
Drone_99,0.8669999999999999,646,514,2,188,1410,1622
Drone_28,0.8909999999999999,243,349,2,265,1392,1622
Drone_66,0.8949999999999999,123,354,2,213,1451,1639
Drone_100,0.7950000000000002,269,557,2,182,1645,1653
Drone_24,0.8719999999999999,305,311,2,220,1588,1655
Drone_6,0.6664999999999998,757,576,2,196,1656,1662
Drone_79,0.6839999999999998,302,139,2,237,1715,1715
Drone_85,0.6300000000000001,735,130,2,113,1723,1723
Drone_80,0.8684999999999999,264,575,2,177,1746,1746
