timestep,deadDrones,chargingDrones,meanBattery,minAlert,maxAlert,aliveRate,freeChargers,eatingBirds,damage,energy
0,0,0,0.840970359386374,0.2031901934164873,0.6994376554362927,1.0,30,0,0,0
1,0,0,0.839970359386374,0.2031901934164873,0.6994376554362927,1.0,30,0,0,0
2,0,0,0.838970359386374,0.2031901934164873,0.6994376554362927,1.0,30,0,0,0
3,0,0,0.837970359386374,0.2031901934164873,0.6994376554362927,1.0,30,0,0,0
4,0,0,0.836970359386374,0.2031901934164873,0.6994376554362927,1.0,30,0,0,0
5,0,0,0.835970359386374,0.2031901934164873,0.6994376554362927,1.0,30,0,0,0
6,0,0,0.834970359386374,0.2031901934164873,0.6994376554362927,1.0,30,0,0,0
7,0,0,0.833970359386374,0.2031901934164873,0.6994376554362927,1.0,30,0,0,0
8,0,0,0.832970359386374,0.2031901934164873,0.6994376554362927,1.0,30,0,0,0
9,0,0,0.831970359386374,0.2031901934164873,0.6994376554362927,1.0,30,0,0,0
10,0,0,0.830970359386374,0.2031901934164873,0.6994376554362927,1.0,30,0,0,0
11,0,0,0.829970359386374,0.2031901934164873,0.6994376554362927,1.0,30,0,0,0
12,0,0,0.828970359386374,0.2031901934164873,0.6994376554362927,1.0,30,0,0,0
13,0,0,0.827970359386374,0.2031901934164873,0.6994376554362927,1.0,30,0,0,0
14,0,0,0.826970359386374,0.2031901934164873,0.6994376554362927,1.0,30,0,0,0
15,0,0,0.825980359386374,0.2031901934164873,0.6994376554362927,1.0,30,0,0,0
16,0,0,0.824980359386374,0.2031901934164873,0.6994376554362927,1.0,30,0,0,0
17,0,0,0.823980359386374,0.2031901934164873,0.6994376554362927,1.0,30,0,0,0
18,0,0,0.822980359386374,0.2031901934164873,0.6994376554362927,1.0,30,0,0,0
19,0,0,0.821980359386374,0.2031901934164873,0.6994376554362927,1.0,30,0,0,0
20,0,0,0.820980359386374,0.2031901934164873,0.6994376554362927,1.0,30,0,0,0
21,0,0,0.8199853593863741,0.2031901934164873,0.6994376554362927,1.0,30,0,0,0
22,0,0,0.8189853593863741,0.2031901934164873,0.6994376554362927,1.0,30,0,0,0
23,0,0,0.8179853593863741,0.2031901934164873,0.6994376554362927,1.0,30,0,1,0
24,0,0,0.8169853593863741,0.2031901934164873,0.6994376554362927,1.0,30,0,1,0
25,0,0,0.8159853593863741,0.2031901934164873,0.6994376554362927,1.0,30,0,1,0
26,0,0,0.814990359386374,0.2031901934164873,0.6994376554362927,1.0,30,0,1,0
27,0,0,0.813990359386374,0.2031901934164873,0.6994376554362927,1.0,30,0,1,0
28,0,0,0.812995359386374,0.2031901934164873,0.6994376554362927,1.0,30,0,1,0
29,0,0,0.811995359386374,0.2031901934164873,0.6994376554362927,1.0,30,1,2,0
30,0,0,0.810995359386374,0.2031901934164873,0.6994376554362927,1.0,30,1,3,0
31,0,0,0.809995359386374,0.2031901934164873,0.6994376554362927,1.0,30,1,4,0
32,0,0,0.808995359386374,0.2031901934164873,0.6994376554362927,1.0,30,1,5,0
33,0,0,0.808000359386374,0.2031901934164873,0.6994376554362927,1.0,30,1,6,0
34,0,0,0.807005359386374,0.2031901934164873,0.6994376554362927,1.0,30,1,7,0
35,0,0,0.806005359386374,0.2031901934164873,0.6994376554362927,1.0,30,1,8,0
36,0,0,0.805005359386374,0.2031901934164873,0.6994376554362927,1.0,30,2,10,0
37,0,0,0.804005359386374,0.2031901934164873,0.6994376554362927,1.0,30,3,13,0
38,0,0,0.803005359386374,0.2031901934164873,0.6994376554362927,1.0,30,3,17,0
39,0,0,0.802005359386374,0.2031901934164873,0.6994376554362927,1.0,30,3,20,0
40,0,0,0.801005359386374,0.2031901934164873,0.6994376554362927,1.0,30,3,23,0
41,0,0,0.800005359386374,0.2031901934164873,0.6994376554362927,1.0,30,4,27,0
42,0,0,0.799010359386374,0.2031901934164873,0.6994376554362927,1.0,30,4,31,0
43,0,0,0.798015359386374,0.2031901934164873,0.6994376554362927,1.0,30,4,37,0
44,0,0,0.797015359386374,0.2031901934164873,0.6994376554362927,1.0,30,3,43,0
45,0,0,0.796015359386374,0.2031901934164873,0.6994376554362927,1.0,30,2,46,0
46,0,0,0.795015359386374,0.2031901934164873,0.6994376554362927,1.0,30,3,49,0
47,0,0,0.794015359386374,0.2031901934164873,0.6994376554362927,1.0,30,4,54,0
48,0,0,0.793015359386374,0.2031901934164873,0.6994376554362927,1.0,30,3,58,0
49,0,0,0.792015359386374,0.2031901934164873,0.6994376554362927,1.0,30,2,61,0
50,0,0,0.791015359386374,0.2031901934164873,0.6994376554362927,1.0,30,2,63,0
51,0,0,0.790015359386374,0.2031901934164873,0.6994376554362927,1.0,30,3,66,0
52,0,0,0.789015359386374,0.2031901934164873,0.6994376554362927,1.0,30,3,69,0
53,0,0,0.788015359386374,0.2031901934164873,0.6994376554362927,1.0,30,3,72,0
54,0,0,0.7870203593863739,0.2031901934164873,0.6994376554362927,1.0,30,3,75,0
55,0,0,0.786030359386374,0.2031901934164873,0.6994376554362927,1.0,30,2,78,0
56,0,0,0.785030359386374,0.2031901934164873,0.6994376554362927,1.0,30,2,80,0
57,0,0,0.784030359386374,0.2031901934164873,0.6994376554362927,1.0,30,1,82,0
58,0,0,0.783030359386374,0.2031901934164873,0.6994376554362927,1.0,30,1,83,0
59,0,0,0.782035359386374,0.2031901934164873,0.6994376554362927,1.0,30,0,83,0
60,0,0,0.781040359386374,0.2031901934164873,0.6994376554362927,1.0,30,0,83,0
61,0,0,0.780040359386374,0.2031901934164873,0.6994376554362927,1.0,30,1,84,0
62,0,0,0.779040359386374,0.2031901934164873,0.6994376554362927,1.0,30,1,85,0
63,0,0,0.778045359386374,0.2031901934164873,0.6994376554362927,1.0,30,1,86,0
64,0,0,0.777045359386374,0.2031901934164873,0.6994376554362927,1.0,30,3,89,0
65,0,0,0.776045359386374,0.2031901934164873,0.6994376554362927,1.0,30,1,93,0
66,0,0,0.775045359386374,0.2031901934164873,0.6994376554362927,1.0,30,0,94,0
67,0,0,0.774045359386374,0.2031901934164873,0.6994376554362927,1.0,30,1,95,0
68,0,0,0.773050359386374,0.2031901934164873,0.6994376554362927,1.0,30,2,97,0
69,0,0,0.772050359386374,0.2031901934164873,0.6994376554362927,1.0,30,1,99,0
70,0,0,0.771050359386374,0.2031901934164873,0.6994376554362927,1.0,30,1,100,0
71,0,0,0.770050359386374,0.2031901934164873,0.6994376554362927,1.0,30,2,102,0
