id,battery,location.x,location.y,state,distanceToNearestCharger,requestTime,acceptedTime
Drone_4,0.7599999999999998,27,20,2,14,534,534
Drone_9,0.4549999999999995,84,36,2,25,535,535
Drone_12,0.8299999999999998,81,36,2,23,538,538
Drone_11,0.5799999999999996,75,33,2,17,539,539
Drone_10,0.6399999999999997,33,76,2,12,545,545
Drone_13,0.5249999999999996,82,42,1,28,546,546
Drone_6,0.7349999999999998,87,38,2,29,557,557
Drone_14,0.8299999999999998,31,11,2,22,561,561
Drone_8,0.5799999999999996,36,11,2,22,562,562
Drone_4,0.8199999999999998,24,12,2,22,570,570
Drone_15,0.6099999999999997,26,69,2,20,571,571
Drone_7,0.8099999999999998,21,59,2,28,571,571
Drone_12,0.8299999999999998,82,36,2,24,577,577
Drone_3,0.48999999999999955,22,64,2,26,581,581
Drone_1,0.5849999999999996,35,14,2,19,598,598
Drone_6,0.7249999999999998,86,38,2,28,604,604
Drone_2,0.39999999999999947,33,65,2,16,607,607
Drone_10,0.7049999999999997,27,73,2,18,608,608
Drone_12,0.8199999999999998,79,37,2,22,608,608
Drone_9,0.47999999999999954,85,39,2,28,612,612
Drone_13,0.5249999999999996,88,36,2,28,614,614
Drone_14,0.7549999999999998,34,17,2,16,616,616
Drone_11,0.6899999999999997,81,42,2,28,618,618
Drone_4,0.7649999999999998,43,19,2,17,624,624
Drone_8,0.5599999999999996,24,15,2,20,627,627
Drone_12,0.8299999999999998,80,36,2,22,646,646
Drone_6,0.7699999999999998,88,42,2,32,647,647
Drone_15,0.5899999999999996,27,79,2,18,648,648
Drone_7,0.7099999999999997,25,48,2,17,651,651
Drone_14,0.8099999999999998,43,14,2,21,651,651
Drone_1,0.5699999999999996,41,18,2,17,660,660
Drone_10,0.6949999999999997,30,67,2,18,664,664
Drone_3,0.4349999999999995,32,61,2,20,673,673
Drone_4,0.7599999999999998,22,21,2,16,676,676
Drone_12,0.8299999999999998,82,36,2,24,680,680
Drone_11,0.6599999999999997,84,36,2,25,691,691
Drone_14,0.7999999999999998,39,14,2,19,692,692
Drone_2,0.39499999999999946,29,79,2,16,693,693
Drone_9,0.48999999999999955,84,40,2,28,695,695
Drone_13,0.47999999999999954,85,36,2,26,700,700
Drone_15,0.6299999999999997,23,71,2,22,703,703
Drone_4,0.8449999999999999,41,11,2,23,710,710
Drone_10,0.7199999999999998,27,67,2,20,714,714
Drone_6,0.6199999999999997,71,36,2,18,718,718
Drone_12,0.8199999999999998,79,37,2,22,720,720
Drone_8,0.5699999999999996,39,11,2,22,721,721
Drone_7,0.6849999999999997,33,70,2,13,727,727
Drone_1,0.5349999999999996,39,20,2,14,730,730
Drone_11,0.7099999999999997,88,39,1,30,741,741
Drone_14,0.7099999999999997,36,23,1,10,746,746
Drone_4,0.7599999999999998,42,21,2,15,758,758
Drone_12,0.8199999999999998,83,33,2,22,759,759
Drone_3,0.46999999999999953,22,79,2,23,767,767
Drone_9,0.5149999999999996,85,42,1,30,771,771
Drone_6,0.7649999999999998,88,39,1,30,772,772
Drone_7,0.7899999999999998,21,69,2,25,773,773
Drone_15,0.6199999999999997,27,62,2,23,775,775
Drone_14,0.7899999999999998,30,15,2,18,778,778
Drone_13,0.5049999999999996,82,39,1,26,782,782
Drone_10,0.6499999999999997,34,70,2,13,784,784
Drone_2,0.3249999999999994,37,72,2,9,787,787
Drone_11,0.6899999999999997,85,39,1,28,791,791
Drone_1,0.5799999999999996,36,15,2,18,795,795
Drone_4,0.7799999999999998,32,17,2,16,797,797
Drone_12,0.8299999999999998,82,35,2,23,797,797
Drone_8,0.5199999999999996,36,17,2,16,798,803
Drone_6,0.7649999999999998,88,39,1,30,811,811
Drone_14,0.7699999999999998,33,17,2,16,832,832
Drone_7,0.7349999999999998,27,73,2,18,833,833
Drone_12,0.8299999999999998,82,36,2,24,836,836
Drone_10,0.7349999999999998,27,64,2,22,838,838
Drone_4,0.8249999999999998,38,12,2,21,841,841
Drone_11,0.6549999999999997,82,38,2,25,843,843
Drone_15,0.6199999999999997,23,71,2,22,844,844
Drone_13,0.5249999999999996,88,36,1,28,847,847
Drone_9,0.46999999999999953,85,36,2,26,848,848
Drone_3,0.4149999999999995,34,61,2,19,850,853
Drone_6,0.7749999999999998,87,41,2,31,849,859
Drone_2,0.4399999999999995,25,77,2,20,863,863
Drone_1,0.5049999999999996,32,21,2,12,867,867
Drone_12,0.8299999999999998,82,36,2,24,870,870
Drone_4,0.8349999999999999,33,11,2,22,882,882
Drone_14,0.7799999999999998,43,19,2,17,885,885
Drone_7,0.7549999999999998,26,70,2,20,889,889
Drone_11,0.6899999999999997,82,42,1,28,892,892
Drone_10,0.6849999999999997,37,63,2,16,895,895
Drone_8,0.49499999999999955,28,18,2,15,896,896
Drone_6,0.7649999999999998,88,39,1,30,897,897
Drone_12,0.8299999999999998,80,36,2,22,900,900
Drone_13,0.5349999999999996,87,39,2,29,914,914
Drone_15,0.6099999999999997,25,70,2,21,918,918
Drone_4,0.7499999999999998,35,20,2,13,928,928
Drone_14,0.7299999999999998,25,23,2,12,931,931
Drone_9,0.47499999999999953,85,36,1,26,933,933
Drone_12,0.8299999999999998,81,36,2,23,934,934
Drone_1,0.5999999999999996,30,12,2,21,935,935
Drone_11,0.7299999999999998,88,42,1,32,936,936
Drone_6,0.7649999999999998,88,39,1,30,936,936
Drone_10,0.6749999999999997,30,77,2,15,947,947
Drone_7,0.7549999999999998,25,69,2,21,948,948
Drone_2,0.47499999999999953,21,71,2,24,952,952
Drone_8,0.5149999999999996,39,17,2,17,971,971
Drone_4,0.7499999999999998,30,20,2,13,972,972
Drone_14,0.7949999999999998,25,14,2,20,972,972
Drone_12,0.8299999999999998,82,36,2,24,973,973
Drone_11,0.7099999999999997,85,42,1,30,981,981
Drone_13,0.5449999999999996,85,42,1,30,983,983
Drone_15,0.6299999999999997,25,66,2,22,989,989
Drone_1,0.5999999999999996,40,14,2,20,995,995
Drone_6,0.6999999999999997,79,39,2,24,1003,1003
Drone_12,0.8199999999999998,83,33,2,22,1004,1004
Drone_9,0.4649999999999995,83,38,2,26,1006,1006
Drone_7,0.6849999999999997,31,68,2,16,1008,1008
Drone_10,0.6199999999999997,39,70,1,9,1013,1013
Drone_4,0.7999999999999998,24,17,2,18,1013,1014
Drone_2,0.49999999999999956,21,67,2,26,1030,1030
Drone_11,0.6849999999999997,82,42,2,28,1031,1031
Drone_8,0.5499999999999996,39,14,2,19,1036,1036
Drone_12,0.8299999999999998,82,34,2,22,1043,1043
Drone_6,0.7649999999999998,85,42,2,30,1046,1046
Drone_14,0.7699999999999998,34,17,2,16,1048,1048
Drone_15,0.6499999999999997,21,73,1,24,1057,1057
Drone_4,0.7799999999999998,27,18,2,16,1057,1057
Drone_10,0.6599999999999997,31,77,2,14,1060,1060
Drone_1,0.5949999999999996,22,16,2,20,1061,1061
Drone_7,0.7299999999999998,30,67,2,18,1063,1063
Drone_13,0.48999999999999955,84,37,2,26,1065,1065
Drone_12,0.8299999999999998,80,36,2,22,1078,1078
Drone_11,0.6899999999999997,88,36,2,28,1080,1080
Drone_6,0.7499999999999998,88,39,2,30,1090,1090
Drone_9,0.46999999999999953,86,38,2,28,1096,1096
Drone_8,0.5799999999999996,33,11,1,22,1098,1098
Drone_14,0.7049999999999997,36,23,2,10,1104,1104
Drone_4,0.7849999999999998,42,18,2,17,1105,1105
Drone_12,0.8199999999999998,83,33,2,22,1113,1113
Drone_10,0.7299999999999998,29,65,2,20,1124,1124
Drone_15,0.6299999999999997,24,70,1,22,1126,1126
Drone_7,0.7199999999999998,33,64,2,17,1127,1127
Drone_2,0.36499999999999944,30,70,2,16,1128,1128
Drone_1,0.5499999999999996,45,23,1,15,1131,1131
Drone_6,0.7399999999999998,82,42,2,28,1133,1133
Drone_13,0.5499999999999996,88,40,2,31,1136,1136
Drone_14,0.7749999999999998,21,20,2,17,1138,1138
Drone_4,0.8399999999999999,33,11,2,22,1139,1139
Drone_12,0.8299999999999998,82,35,2,23,1151,1151
Drone_11,0.5799999999999996,75,33,2,17,1155,1155
Drone_8,0.48999999999999955,29,18,2,15,1168,1168
Drone_9,0.5149999999999996,87,40,2,30,1170,1170
Drone_6,0.7699999999999998,88,42,2,32,1172,1172
Drone_10,0.7099999999999997,25,72,2,20,1177,1177
Drone_7,0.7299999999999998,26,77,2,19,1178,1178
Drone_14,0.7699999999999998,30,17,2,16,1180,1180
Drone_12,0.8299999999999998,80,36,2,22,1190,1190
Drone_1,0.5399999999999996,35,18,2,15,1194,1194
Drone_15,0.5649999999999996,30,70,2,16,1199,1199
Drone_13,0.5249999999999996,82,42,2,28,1206,1206
Drone_11,0.6999999999999997,84,41,2,29,1213,1213
Drone_2,0.4399999999999995,26,68,2,21,1216,1216
Drone_4,0.7749999999999998,27,16,2,18,1218,1218
Drone_12,0.8299999999999998,82,36,2,24,1224,1224
Drone_10,0.7649999999999998,22,69,2,24,1234,1234
Drone_14,0.7899999999999998,27,16,2,18,1239,1239
Drone_6,0.6099999999999997,72,33,2,15,1244,1244
Drone_7,0.6749999999999997,33,79,2,12,1244,1244
Drone_8,0.48499999999999954,23,23,2,14,1254,1254
Drone_12,0.8299999999999998,82,35,2,23,1254,1254
Drone_9,0.48999999999999955,84,41,2,29,1257,1257
Drone_11,0.6999999999999997,85,41,2,29,1263,1263
Drone_4,0.8099999999999998,33,14,2,19,1268,1268
Drone_13,0.5099999999999996,82,40,2,27,1286,1286
Drone_14,0.7449999999999998,38,17,2,16,1287,1287
Drone_7,0.8099999999999998,21,59,2,28,1291,1291
Drone_15,0.5249999999999996,31,78,2,14,1293,1293
Drone_12,0.8199999999999998,83,33,2,22,1294,1294
Drone_10,0.7149999999999997,29,66,2,19,1296,1296
Drone_6,0.7649999999999998,88,39,1,30,1303,1303
Drone_2,0.36499999999999944,33,67,2,15,1319,1319
Drone_14,0.8299999999999998,36,11,1,22,1321,1321
Drone_8,0.5399999999999996,29,15,2,18,1324,1324
Drone_9,0.47499999999999953,86,38,2,28,1333,1333
Drone_12,0.8199999999999998,83,33,2,22,1333,1333
Drone_11,0.5899999999999996,74,36,2,19,1336,1336
Drone_6,0.7649999999999998,85,42,2,30,1342,1342
Drone_7,0.7749999999999998,26,63,2,23,1350,1350
Drone_13,0.5199999999999996,82,42,2,28,1358,1358
Drone_14,0.7849999999999998,25,16,2,18,1360,1360
Drone_4,0.7199999999999998,30,21,2,12,1369,1369
Drone_10,0.6349999999999997,35,68,2,13,1371,1371
Drone_12,0.8299999999999998,82,36,2,24,1372,1372
Drone_15,0.5499999999999996,37,64,2,15,1376,1376
Drone_9,0.48999999999999955,84,40,2,28,1409,1409
Drone_12,0.8299999999999998,80,36,2,22,1411,1411
Drone_2,0.35999999999999943,35,70,2,12,1412,1412
Drone_6,0.6099999999999997,72,33,2,15,1412,1412
Drone_7,0.7399999999999998,33,62,2,19,1415,1415
Drone_8,0.5699999999999996,42,14,2,21,1416,1416
Drone_11,0.5799999999999996,75,35,2,18,1421,1421
Drone_10,0.6949999999999997,27,73,2,18,1422,1422
Drone_4,0.7499999999999998,34,20,2,13,1428,1428
Drone_13,0.5099999999999996,82,42,2,28,1430,1430
Drone_14,0.7349999999999998,28,21,2,13,1430,1430
Drone_12,0.8299999999999998,82,36,2,24,1445,1445
Drone_15,0.5599999999999996,29,72,2,16,1457,1457
Drone_4,0.8349999999999999,35,11,2,22,1459,1459
Drone_7,0.7949999999999998,21,70,2,25,1460,1460
Drone_6,0.7349999999999998,85,39,2,28,1473,1473
Drone_8,0.5499999999999996,40,14,2,20,1482,1482
Drone_10,0.6199999999999997,36,70,2,11,1484,1484
Drone_9,0.49999999999999956,84,42,2,29,1485,1485
Drone_14,0.7849999999999998,33,14,2,19,1493,1493
Drone_12,0.7799999999999998,55,33,2,17,1497,1497
Drone_2,0.4299999999999995,30,64,2,19,1498,1498
Drone_13,0.5199999999999996,85,39,2,28,1500,1500
Drone_11,0.5799999999999996,75,34,2,18,1501,1501
Drone_7,0.8299999999999998,21,61,2,28,1509,1509
Drone_6,0.7649999999999998,88,39,1,30,1511,1511
Drone_4,0.7449999999999998,30,20,2,13,1512,1512
Drone_15,0.6399999999999997,21,76,2,24,1521,1521
Drone_10,0.6549999999999997,33,72,2,13,1547,1547
Drone_14,0.7699999999999998,44,21,2,16,1547,1547
Drone_6,0.7649999999999998,85,42,2,30,1550,1550
Drone_8,0.5399999999999996,22,18,2,18,1555,1555
Drone_4,0.7349999999999998,23,23,2,14,1557,1557
Drone_9,0.47499999999999953,83,39,2,26,1563,1563
Drone_12,0.8299999999999998,82,35,2,23,1565,1565
Drone_13,0.5099999999999996,85,40,2,29,1568,1568
Drone_7,0.7099999999999997,29,71,2,17,1570,1570
Drone_2,0.3549999999999994,32,77,2,13,1588,1588
Drone_14,0.7549999999999998,38,17,2,16,1588,1588
Drone_15,0.6249999999999997,27,64,2,22,1591,1591
Drone_11,0.5799999999999996,75,34,2,18,1592,1592
Drone_4,0.8399999999999999,33,11,1,22,1592,1592
Drone_6,0.7349999999999998,85,39,2,28,1593,1593
Drone_10,0.6849999999999997,29,71,2,17,1604,1604
Drone_12,0.8299999999999998,81,36,2,23,1605,1605
Drone_7,0.7749999999999998,24,70,2,22,1618,1618
Drone_8,0.48499999999999954,39,21,2,13,1630,1630
Drone_14,0.7799999999999998,29,15,2,18,1631,1631
Drone_4,0.7449999999999998,31,19,2,14,1633,1633
Drone_6,0.7599999999999998,88,39,2,30,1633,1633
Drone_13,0.5249999999999996,87,38,2,29,1638,1638
Drone_9,0.48999999999999955,88,36,2,28,1642,1642
Drone_12,0.8299999999999998,81,36,2,23,1644,1644
Drone_10,0.7699999999999998,21,72,2,24,1653,1653
Drone_15,0.6199999999999997,30,62,2,21,1655,1655
Drone_11,0.7099999999999997,87,41,2,31,1655,1655
Drone_6,0.7349999999999998,85,39,2,28,1676,1676
Drone_2,0.4349999999999995,29,65,2,20,1679,1679
Drone_7,0.6499999999999997,35,76,2,10,1681,1681
