id,battery,location.x,location.y,state,distanceToNearestCharger,requestTime,acceptedTime
Drone_74,0.0102269707186249,261,788,2,236,85,85
Drone_7,0.023390158684210807,773,110,2,125,84,85
Drone_75,0.00016601146092378935,667,526,2,183,86,86
Drone_74,0.00022697071862489912,259,787,2,238,86,86
Drone_7,0.003390158684210807,775,111,2,124,86,86
Drone_19,0.023980397959859304,727,533,2,160,84,86
Drone_42,0.02515977118497459,758,523,2,143,84,86
Drone_89,0.8671773195926001,364,30,2,261,0,86
Drone_23,0.8676928080603681,19,297,2,275,0,86
Drone_46,0.8764856154853009,601,85,2,179,0,87
Drone_17,0.8786002294532618,527,963,2,101,0,87
Drone_26,0.8808767941025192,253,275,2,263,0,87
Drone_34,0.8820463833254812,361,321,2,172,0,87
Drone_3,0.8826402477447609,475,372,2,135,0,87
Drone_26,0.000876794102518532,341,133,2,205,88,88
Drone_34,0.002046383325480596,263,145,2,270,88,88
Drone_3,0.002640247744760269,302,460,2,191,88,88
Drone_37,0.8872542415214278,655,979,2,230,0,88
Drone_62,0.8961594509701374,497,455,2,117,0,88
Drone_91,0.886544963258445,469,260,2,49,1,88
Drone_25,0.8967039971834183,41,647,2,94,0,88
Drone_71,0.8868954281021335,169,683,2,144,0,88
Drone_27,0.9029180842423937,940,675,2,335,0,88
Drone_81,0.905143851401655,376,83,2,211,0,88
Drone_15,0.9091451398369484,351,193,2,171,0,88
Drone_70,0.9117571890697724,918,39,2,240,0,88
Drone_61,0.9172795934738265,350,774,2,198,0,88
Drone_62,0.0061594509701367196,319,483,2,164,89,89
Drone_91,0.006544963258444352,308,351,2,233,89,89
Drone_25,0.006703997183417647,130,558,2,43,89,89
Drone_71,0.006895428102132848,197,549,2,111,89,89
Drone_81,0.015143851401654316,376,172,2,156,89,89
Drone_27,0.017918084242393068,826,500,1,127,89,89
Drone_15,0.024145139836947785,288,229,2,227,89,89
Drone_81,0.005143851401654315,376,173,2,155,90,90
Drone_27,0.007918084242393068,825,498,3,125,90,90
Drone_15,0.014145139836947785,287,230,2,228,90,90
Drone_70,0.02675718906977176,767,95,2,140,89,90
Drone_61,0.027279593473825803,261,596,2,176,89,90
Drone_80,0.9192843484388993,748,589,2,210,0,90
Drone_24,0.9238529513574693,13,489,2,105,0,90
Drone_15,0.0041451398369477845,286,231,2,229,91,91
Drone_70,0.006757189069771756,765,97,2,138,91,91
Drone_61,0.007279593473825801,259,592,2,174,91,91
Drone_80,0.009284348438898598,843,475,2,113,91,91
Drone_24,0.01385295135746858,104,503,2,63,91,91
Drone_87,0.9199038360860472,816,300,2,75,0,91
Drone_32,0.9217153621828437,716,232,2,62,0,91
Drone_78,0.923240052661711,348,644,2,136,0,91
Drone_24,0.0038529513574685793,105,503,2,63,92,92
Drone_87,0.004903836086046529,786,150,2,85,92,92
Drone_32,0.006715362182842981,809,129,2,110,92,92
Drone_78,0.008240052661710367,166,549,2,80,92,92
Drone_43,0.9420732702457837,948,888,2,526,0,92
Drone_86,0.9325771343047738,661,570,2,200,0,92
Drone_63,0.9516983147551137,662,803,2,281,0,92
Drone_43,0.01207327024578299,762,846,2,353,93,93
Drone_86,0.012577134304773164,721,480,2,114,93,93
Drone_63,0.021698314755112975,694,617,2,238,93,93
Drone_58,0.9535647059909778,592,991,2,169,0,93
Drone_65,0.9496219809414426,714,217,2,66,0,93
Drone_52,0.9563523909128719,35,92,2,474,0,93
Drone_39,0.9554095711992405,898,610,2,258,0,93
Drone_21,0.9581196324643194,333,102,2,230,0,93
Drone_50,0.9596177060244652,806,581,2,201,0,93
Drone_43,0.0020732702457829898,760,846,2,351,94,94
Drone_86,0.007577134304773163,721,480,1,114,94,94
Drone_63,0.011698314755112975,695,615,2,238,94,94
Drone_58,0.013564705990977055,457,803,2,157,94,94
Drone_65,0.01462198094144187,767,95,2,140,94,94
Drone_52,0.016352390912871224,129,186,2,380,94,94
Drone_39,0.020409571199239813,715,618,3,245,94,94
Drone_21,0.0281196324643187,289,99,2,267,94,94
Drone_50,0.029617706024464452,753,568,2,188,94,94
Drone_63,0.001698314755112975,696,613,2,239,95,95
Drone_58,0.0035647059909770552,456,801,2,158,95,95
Drone_65,0.00462198094144187,769,95,2,140,95,95
Drone_52,0.006352390912871224,130,187,2,379,95,95
Drone_39,0.010409571199239813,713,617,3,245,95,95
Drone_39,0.0004095711992398131,712,615,3,243,96,96
Drone_21,0.018119632464318698,291,99,2,266,95,96
Drone_50,0.01961770602446445,754,567,2,187,95,96
Drone_90,0.9707413204673998,762,801,2,370,0,96
Drone_33,0.9734918218815891,635,557,2,174,0,96
Drone_90,0.000741320467399078,676,607,2,218,97,97
Drone_33,0.003491821881588395,732,557,2,182,97,97
