timestep,protectingDrones,chargingDrones,deadDrones,allBirds,eatingBirds,allChargers,idleChargers,energyConsumed,damageRate
0,7,0,0,10,0,3,3,0,0.0
1,7,0,0,10,0,3,3,0,0.0
2,7,0,0,10,0,3,3,0,0.0
3,7,0,0,10,0,3,3,0,0.0
4,7,0,0,10,0,3,3,0,0.0
5,7,0,0,10,0,3,3,0,0.0
6,7,0,0,10,0,3,3,0,0.0
7,7,0,0,10,0,3,3,0,0.0
8,7,0,0,10,0,3,3,0,0.0
9,7,0,0,10,0,3,3,0,0.0
10,7,0,0,10,0,3,3,0,0.0
11,7,0,0,10,0,3,3,0,0.0
12,7,0,0,10,0,3,3,0,0.0
13,7,0,0,10,0,3,3,0,0.0
14,7,0,0,10,0,3,3,0,0.0
15,7,0,0,10,0,3,3,0,0.0
16,7,0,0,10,0,3,3,0,0.0
17,7,0,0,10,0,3,3,0,0.0
18,7,0,0,10,0,3,3,0,0.0
19,7,0,0,10,0,3,3,0,0.0
20,7,0,0,10,0,3,3,0,0.0
21,7,0,0,10,1,3,3,0,0.027777777777777776
22,7,0,0,10,1,3,3,0,0.027777777777777776
23,7,0,0,10,1,3,3,0,0.027777777777777776
24,7,0,0,10,1,3,3,0,0.027777777777777776
25,7,0,0,10,1,3,3,0,0.027777777777777776
26,7,0,0,10,1,3,3,0,0.027777777777777776
27,7,0,0,10,0,3,3,0,0.0
28,7,0,0,10,0,3,3,0,0.0
29,7,0,0,10,0,3,3,0,0.0
30,7,0,0,10,1,3,3,0,0.027777777777777776
31,7,0,0,10,1,3,3,0,0.027777777777777776
32,7,0,0,10,1,3,3,0,0.027777777777777776
33,7,0,0,10,0,3,3,0,0.0
34,7,0,0,10,0,3,3,0,0.0
35,7,0,0,10,0,3,3,0,0.0
36,7,0,0,10,0,3,3,0,0.0
37,7,0,0,10,0,3,3,0,0.0
38,7,0,0,10,0,3,3,0,0.0
39,7,0,0,10,1,3,3,0,0.027777777777777776
40,7,0,0,10,0,3,3,0,0.0
41,7,0,0,10,0,3,3,0,0.0
42,7,0,0,10,1,3,3,0,0.027777777777777776
43,7,0,0,10,1,3,3,0,0.027777777777777776
44,7,0,0,10,1,3,3,0,0.027777777777777776
45,7,0,0,10,1,3,3,0,0.027777777777777776
46,7,0,0,10,1,3,3,0,0.027777777777777776
47,7,0,0,10,1,3,3,0,0.027777777777777776
48,7,0,0,10,1,3,3,0,0.027777777777777776
49,7,0,0,10,2,3,3,0,0.05555555555555555
50,7,0,0,10,2,3,3,0,0.05555555555555555
51,7,0,0,10,2,3,3,0,0.05555555555555555
52,7,0,0,10,3,3,3,0,0.08333333333333333
53,7,0,0,10,3,3,3,0,0.08333333333333333
54,7,0,0,10,2,3,3,0,0.05555555555555555
55,7,0,0,10,1,3,3,0,0.027777777777777776
56,7,0,0,10,1,3,3,0,0.027777777777777776
57,7,0,0,10,0,3,3,0,0.0
58,7,0,0,10,0,3,3,0,0.0
59,7,0,0,10,1,3,3,0,0.027777777777777776
60,7,0,0,10,1,3,3,0,0.027777777777777776
61,7,0,0,10,1,3,3,0,0.027777777777777776
62,7,0,0,10,1,3,3,0,0.027777777777777776
63,7,0,0,10,0,3,3,0,0.0
64,7,0,0,10,0,3,3,0,0.0
65,7,0,0,10,0,3,3,0,0.0
66,7,0,0,10,0,3,3,0,0.0
67,7,0,0,10,0,3,3,0,0.0
68,7,0,0,10,0,3,3,0,0.0
69,7,0,0,10,1,3,3,0,0.027777777777777776
70,7,0,0,10,1,3,3,0,0.027777777777777776
71,7,0,0,10,1,3,3,0,0.027777777777777776
72,7,0,0,10,1,3,3,0,0.027777777777777776
73,7,0,0,10,1,3,3,0,0.027777777777777776
74,7,0,0,10,1,3,3,0,0.027777777777777776
75,7,0,0,10,2,3,3,0,0.05555555555555555
76,7,0,0,10,2,3,3,0,0.05555555555555555
77,7,0,0,10,1,3,3,0,0.027777777777777776
78,7,0,0,10,1,3,3,0,0.027777777777777776
79,7,0,0,10,2,3,2,0.2,0.05555555555555555
80,7,0,0,10,2,3,2,0.2,0.05555555555555555
81,6,1,0,10,2,3,2,0.2,0.05555555555555555
82,6,1,0,10,2,3,1,0.4,0.05555555555555555
83,6,1,0,10,4,3,1,0.4,0.1111111111111111
84,6,1,0,10,3,3,1,0.4,0.08333333333333333
85,6,1,0,10,5,3,1,0.4,0.1388888888888889
86,5,2,0,10,5,3,0,0.6000000000000001,0.1388888888888889
87,5,2,0,10,5,3,0,0.6000000000000001,0.1388888888888889
88,4,2,0,10,4,3,0,0.6000000000000001,0.1111111111111111
89,3,3,0,10,3,3,0,0.6000000000000001,0.08333333333333333
90,3,3,0,10,2,3,0,0.6000000000000001,0.05555555555555555
91,3,3,0,10,2,3,0,0.6000000000000001,0.05555555555555555
92,2,3,0,10,2,3,0,0.6000000000000001,0.05555555555555555
93,2,3,0,10,2,3,0,0.6000000000000001,0.05555555555555555
94,2,3,0,10,2,3,0,0.6000000000000001,0.05555555555555555
95,2,3,0,10,2,3,0,0.6000000000000001,0.05555555555555555
96,2,3,0,10,3,3,0,0.6000000000000001,0.08333333333333333
97,2,3,0,10,3,3,0,0.6000000000000001,0.08333333333333333
98,2,3,0,10,2,3,0,0.6000000000000001,0.05555555555555555
99,2,3,0,10,1,3,0,0.6000000000000001,0.027777777777777776
100,2,3,0,10,1,3,0,0.6000000000000001,0.027777777777777776
101,2,3,0,10,1,3,0,0.6000000000000001,0.027777777777777776
102,2,3,0,10,1,3,0,0.6000000000000001,0.027777777777777776
103,2,3,0,10,1,3,0,0.6000000000000001,0.027777777777777776
104,2,2,0,10,2,3,0,0.6000000000000001,0.05555555555555555
105,3,3,0,10,2,3,0,0.6000000000000001,0.05555555555555555
106,3,3,0,10,2,3,0,0.6000000000000001,0.05555555555555555
107,3,3,0,10,2,3,0,0.6000000000000001,0.05555555555555555
108,3,3,0,10,2,3,0,0.6000000000000001,0.05555555555555555
109,3,3,0,10,5,3,0,0.6000000000000001,0.1388888888888889
110,3,3,0,10,5,3,0,0.6000000000000001,0.1388888888888889
111,3,3,0,10,4,3,0,0.6000000000000001,0.1111111111111111
112,3,2,0,10,4,3,1,0.4,0.1111111111111111
113,4,2,0,10,4,3,1,0.4,0.1111111111111111
114,4,2,0,10,3,3,1,0.4,0.08333333333333333
115,4,2,0,10,3,3,1,0.4,0.08333333333333333
116,3,2,0,10,4,3,1,0.4,0.1111111111111111
117,3,2,0,10,3,3,1,0.4,0.08333333333333333
118,3,2,0,10,4,3,1,0.4,0.1111111111111111
119,3,1,0,10,4,3,1,0.4,0.1111111111111111
120,4,2,0,10,4,3,1,0.4,0.1111111111111111
121,4,2,0,10,4,3,1,0.4,0.1111111111111111
122,4,2,0,10,4,3,1,0.4,0.1111111111111111
123,4,2,0,10,3,3,1,0.4,0.08333333333333333
124,4,2,0,10,3,3,1,0.4,0.08333333333333333
125,4,2,0,10,3,3,1,0.4,0.08333333333333333
126,4,2,0,10,1,3,1,0.4,0.027777777777777776
127,4,2,0,10,1,3,1,0.4,0.027777777777777776
128,4,2,0,10,1,3,1,0.4,0.027777777777777776
129,4,2,0,10,1,3,1,0.4,0.027777777777777776
130,4,2,0,10,0,3,1,0.4,0.0
131,4,2,0,10,0,3,1,0.4,0.0
132,4,2,0,10,0,3,1,0.4,0.0
133,4,2,0,10,0,3,1,0.4,0.0
134,4,2,0,10,0,3,1,0.4,0.0
135,4,2,0,10,0,3,1,0.4,0.0
136,4,2,0,10,0,3,1,0.4,0.0
137,4,2,0,10,0,3,1,0.4,0.0
138,4,2,0,10,1,3,1,0.4,0.027777777777777776
139,4,1,0,10,0,3,1,0.4,0.0
140,5,2,0,10,0,3,0,0.6000000000000001,0.0
141,5,2,0,10,0,3,0,0.6000000000000001,0.0
142,5,2,0,10,0,3,0,0.6000000000000001,0.0
143,5,2,0,10,1,3,0,0.6000000000000001,0.027777777777777776
144,5,2,0,10,1,3,0,0.6000000000000001,0.027777777777777776
