id,battery,location.x,location.y,state,distanceToNearestCharger,requestTime,acceptedTime
Drone_3,0.843528681065796,89,97,2,48,0,0
Drone_5,0.8596997818534622,96,77,2,51,0,0
Drone_3,0.833528681065796,88,95,2,46,1,1
Drone_5,0.8496997818534622,95,75,2,50,1,1
Drone_3,0.823528681065796,87,93,2,44,2,2
Drone_5,0.8396997818534622,94,73,2,49,2,2
Drone_6,0.5531584172142688,25,19,2,16,21,53
Drone_4,0.675823765055321,88,36,2,28,8,53
Drone_3,0.813528681065796,86,91,2,43,3,53
Drone_6,0.24315841721426856,28,19,2,14,54,62
Drone_6,0.1581584172142685,29,28,3,6,63,71
Drone_1,0.6347767352169826,22,68,2,24,22,80
Drone_9,0.6109712285950575,39,11,2,22,28,80
Drone_1,0.08977673521698219,24,70,1,22,81,81
Drone_9,0.12097122859505706,30,20,2,13,81,91
Drone_10,0.5448890295139514,31,67,2,17,35,91
Drone_8,0.5352560405892284,42,20,2,15,38,95
Drone_2,0.5397954947251629,31,76,2,14,38,95
Drone_7,0.6339809126679362,25,63,2,24,35,96
Drone_7,0.0689809126679358,27,65,3,21,97,97
Drone_7,0.05898091266793579,28,63,3,22,98,98
Drone_5,0.8296997818534622,93,71,2,48,3,105
Drone_3,0.30852868106579556,46,67,3,10,54,105
Drone_5,0.49499999999999955,84,42,2,29,106,106
Drone_3,0.5749999999999996,85,39,1,28,106,123
Drone_4,0.2808237650553207,86,37,3,27,54,145
Drone_5,0.48499999999999954,82,42,2,28,107,180
Drone_3,0.39499999999999946,55,54,3,25,124,220
Drone_3,0.3199999999999994,83,38,2,26,221,221
Drone_5,0.46999999999999953,88,36,1,28,181,255
Drone_5,0.6449999999999997,85,40,2,29,256,256
Drone_5,0.6349999999999997,86,41,2,30,257,257
Drone_5,0.6249999999999997,87,41,2,31,258,258
Drone_5,0.6149999999999997,88,42,2,32,259,259
Drone_5,0.6099999999999997,88,42,1,32,260,260
Drone_5,0.5999999999999996,86,43,3,31,261,328
Drone_5,0.6399999999999997,88,36,2,28,329,329
Drone_5,0.6349999999999997,88,36,1,28,330,401
Drone_5,0.6499999999999997,87,39,2,29,402,402
Drone_5,0.6399999999999997,88,39,2,30,403,474
Drone_5,0.6449999999999997,85,39,2,28,475,475
Drone_6,0.06815841721426849,30,35,3,3,72,-
Drone_1,0.0797767352169822,25,70,3,21,82,-
Drone_9,0.010971228595057074,41,21,2,14,92,-
Drone_10,0.019889029513951016,27,73,2,18,92,-
Drone_7,0.04898091266793579,29,64,3,20,99,-
Drone_4,0.3249999999999994,85,39,2,28,146,-
Drone_3,0.3099999999999994,83,39,2,26,222,-
Drone_5,0.6349999999999997,86,40,2,29,476,-
