current_time_step,drone_id,battery,estimated_waiting,energy_to_fly_to_charger,time_to_done_charging,charger,potential_drones_length,waiting_drones_length,accepted_queues_length,charging_drones_length
105,Drone_87,0.4199999999999995,1.0839593,0.2109502310972899,21.12666111897288,Charger_32,3,1,0,0
106,Drone_81,0.38999999999999946,1.0558485,0.18439088914585774,18.47086455015161,Charger_33,2,1,0,0
123,Drone_82,0.3199999999999994,1.0958066,0.11401754250991379,11.433514952691775,Charger_31,3,1,0,0
132,Drone_84,0.27499999999999936,0.9560135,0.15,15.035,Charger_33,1,1,0,1
137,Drone_86,0.25499999999999934,0.97389776,0.11401754250991379,11.436114952691776,Charger_32,2,2,0,1
147,Drone_85,0.2099999999999993,0.9691327,0.09219544457292887,9.254832275075804,Charger_31,2,2,0,1
164,Drone_83,0.11999999999999922,0.96385896,0.0806225774829855,8.100682651397868,Charger_32,2,1,0,1
244,Drone_87,0.4199999999999995,1.0955378,0.2109502310972899,21.12666111897288,Charger_32,3,1,0,0
251,Drone_81,0.38999999999999946,1.0573934,0.18439088914585774,18.47086455015161,Charger_33,2,1,0,0
282,Drone_82,0.3199999999999994,1.0637674,0.11401754250991379,11.433514952691775,Charger_31,2,1,0,0
286,Drone_84,0.3549999999999994,0.96646595,0.15,15.0318,Charger_33,1,1,0,1
297,Drone_86,0.3199999999999994,1.097015,0.11401754250991379,11.433514952691775,Charger_32,3,1,0,0
322,Drone_83,0.2999999999999994,1.0680976,0.09219544457292887,9.251232275075804,Charger_31,2,1,0,0
323,Drone_85,0.2149999999999993,0.9688468,0.0806225774829855,8.096882651397868,Charger_32,2,1,0,1
383,Drone_87,0.4199999999999995,1.097565,0.2109502310972899,21.12666111897288,Charger_32,3,1,0,0
396,Drone_81,0.38999999999999946,1.0585971,0.18439088914585774,18.47086455015161,Charger_33,2,1,0,0
441,Drone_82,0.3199999999999994,1.0635403,0.11401754250991379,11.433514952691775,Charger_31,2,1,0,0
456,Drone_84,0.28999999999999937,1.0998352,0.0806225774829855,8.093882651397868,Charger_32,3,1,0,0
465,Drone_86,0.24499999999999933,0.9523886,0.09219544457292887,9.253432275075804,Charger_31,1,1,0,1
466,Drone_85,0.35999999999999943,1.0614197,0.15,15.0316,Charger_33,2,1,0,0
481,Drone_83,0.28999999999999937,0.99008906,0.0806225774829855,8.093882651397868,Charger_32,2,1,0,1
