current_time_step,drone_id,battery,estimated_waiting,energy_to_fly_to_charger,time_to_done_charging,charger,potential_drones_length,waiting_drones_length,accepted_queues_length,charging_drones_length
106,Drone_375,0.4149999999999995,0.75839216,0.2109502310972899,21.12686111897288,Charger_140,3,1,0,0
106,Drone_369,0.38999999999999946,0.8071135,0.18439088914585774,18.47086455015161,Charger_141,2,1,0,0
123,Drone_370,0.3199999999999994,0.7306321,0.11401754250991379,11.433514952691775,Charger_139,3,1,0,0
132,Drone_372,0.27499999999999936,0.84612787,0.15,15.035,Charger_141,1,1,0,1
139,Drone_374,0.24499999999999933,0.7835192,0.11401754250991379,11.436514952691775,Charger_140,2,2,0,1
149,Drone_376,0.1999999999999993,0.78689945,0.09486832980505139,9.52262771369734,Charger_139,2,2,0,1
170,Drone_371,0.08999999999999919,0.8563499,0.0806225774829855,8.101882651397869,Charger_140,2,1,0,1
249,Drone_375,0.4149999999999995,0.7284191,0.2109502310972899,21.12686111897288,Charger_140,3,1,0,0
253,Drone_369,0.38999999999999946,0.81184274,0.18439088914585774,18.47086455015161,Charger_141,2,1,0,0
286,Drone_370,0.3199999999999994,0.9129181,0.11401754250991379,11.433514952691775,Charger_139,1,1,0,0
292,Drone_376,0.3549999999999994,0.92967194,0.15,15.0318,Charger_141,1,1,0,1
304,Drone_374,0.3199999999999994,0.67875814,0.11401754250991379,11.433514952691775,Charger_140,4,1,0,0
330,Drone_372,0.17999999999999927,0.7985465,0.0806225774829855,8.098282651397868,Charger_140,3,1,0,1
389,Drone_375,0.4149999999999995,0.73511076,0.2109502310972899,21.12686111897288,Charger_140,3,1,0,0
405,Drone_369,0.3199999999999994,0.81494915,0.11401754250991379,11.433514952691775,Charger_139,2,1,0,0
419,Drone_370,0.38999999999999946,0.90999013,0.18439088914585774,18.47086455015161,Charger_141,1,1,0,0
442,Drone_376,0.2999999999999994,0.828649,0.09486832980505139,9.51862771369734,Charger_139,2,1,0,0
463,Drone_374,0.3199999999999994,0.73285216,0.11401754250991379,11.433514952691775,Charger_140,3,1,0,0
498,Drone_372,0.28499999999999936,0.7504694,0.0806225774829855,8.09408265139787,Charger_140,3,1,0,0
