Active Drones,Total Damage,Alive Drone Rate,Damage Rate,Charger Capacity,Train,Run,Charge Alert,Battery Random Reduction
8,657,0.6666666666666666,0.7011739594450374,1,1,1,0.2,0
8,692,0.6666666666666666,0.7385272145144077,1,1,2,0.2,0
8,699,0.6666666666666666,0.7459978655282817,1,1,3,0.2,0
8,677,0.6666666666666666,0.7225186766275347,1,1,4,0.2,0
8,682,0.6666666666666666,0.727854855923159,1,1,5,0.2,0
7,659,0.5833333333333334,0.7033084311632871,1,2,1,0.2,0
7,661,0.5833333333333334,0.7054429028815368,1,2,2,0.2,0
7,702,0.5833333333333334,0.7491995731056563,1,2,3,0.2,0
8,655,0.6666666666666666,0.6990394877267876,1,2,4,0.2,0
7,667,0.5833333333333334,0.7118463180362861,1,2,5,0.2,0
8,674,0.6666666666666666,0.7193169690501601,1,3,1,0.2,0
8,689,0.6666666666666666,0.7353255069370331,1,3,2,0.2,0
8,663,0.6666666666666666,0.7075773745997865,1,3,3,0.2,0
8,676,0.6666666666666666,0.7214514407684098,1,3,4,0.2,0
8,666,0.6666666666666666,0.7107790821771611,1,3,5,0.2,0
7,677,0.5833333333333334,0.7225186766275347,1,4,1,0.2,0
8,659,0.6666666666666666,0.7033084311632871,1,4,2,0.2,0
8,693,0.6666666666666666,0.7395944503735326,1,4,3,0.2,0
7,659,0.5833333333333334,0.7033084311632871,1,4,4,0.2,0
7,651,0.5833333333333334,0.6947705442902882,1,4,5,0.2,0
8,694,0.6666666666666666,0.7406616862326574,1,5,1,0.2,0
8,657,0.6666666666666666,0.7011739594450374,1,5,2,0.2,0
7,652,0.5833333333333334,0.695837780149413,1,5,3,0.2,0
7,644,0.5833333333333334,0.687299893276414,1,5,4,0.2,0
8,722,0.6666666666666666,0.7705442902881536,1,5,5,0.2,0
8,674,0.6666666666666666,0.7193169690501601,1,6,1,0.2,0
7,695,0.5833333333333334,0.7417289220917823,1,6,2,0.2,0
8,678,0.6666666666666666,0.7235859124866596,1,6,3,0.2,0
8,679,0.6666666666666666,0.7246531483457844,1,6,4,0.2,0
8,630,0.6666666666666666,0.6723585912486659,1,6,5,0.2,0
7,674,0.5833333333333334,0.7193169690501601,1,7,1,0.2,0
8,653,0.6666666666666666,0.6969050160085379,1,7,2,0.2,0
7,665,0.5833333333333334,0.7097118463180363,1,7,3,0.2,0
8,638,0.6666666666666666,0.6808964781216649,1,7,4,0.2,0
7,625,0.5833333333333334,0.6670224119530416,1,7,5,0.2,0
8,665,0.6666666666666666,0.7097118463180363,1,8,1,0.2,0
7,680,0.5833333333333334,0.7257203842049093,1,8,2,0.2,0
7,672,0.5833333333333334,0.7171824973319103,1,8,3,0.2,0
8,704,0.6666666666666666,0.7513340448239061,1,8,4,0.2,0
8,694,0.6666666666666666,0.7406616862326574,1,8,5,0.2,0
7,657,0.5833333333333334,0.7011739594450374,1,9,1,0.2,0
8,663,0.6666666666666666,0.7075773745997865,1,9,2,0.2,0
7,648,0.5833333333333334,0.6915688367129136,1,9,3,0.2,0
7,666,0.5833333333333334,0.7107790821771611,1,9,4,0.2,0
7,709,0.5833333333333334,0.7566702241195304,1,9,5,0.2,0
7,706,0.5833333333333334,0.7534685165421559,1,10,1,0.2,0
7,638,0.5833333333333334,0.6808964781216649,1,10,2,0.2,0
7,687,0.5833333333333334,0.7331910352187834,1,10,3,0.2,0
8,689,0.6666666666666666,0.7353255069370331,1,10,4,0.2,0
7,678,0.5833333333333334,0.7235859124866596,1,10,5,0.2,0
7,686,0.5833333333333334,0.7321237993596584,1,11,1,0.2,0
8,699,0.6666666666666666,0.7459978655282817,1,11,2,0.2,0
8,666,0.6666666666666666,0.7107790821771611,1,11,3,0.2,0
8,687,0.6666666666666666,0.7331910352187834,1,11,4,0.2,0
8,706,0.6666666666666666,0.7534685165421559,1,11,5,0.2,0
