Active Drones,Total Damage,Alive Drone Rate,Damage Rate,Charger Capacity,Train,Average Run,Charge Alert,Battery Random Reduction
6.6,503.4,0.825,0.5372465314834579,1.0,2.0,3.0,0.2,0.0
6.8,474.2,0.85,0.5060832443970117,1.0,3.0,3.0,0.2,0.0
6.6,517.0,0.825,0.5517609391675561,1.0,4.0,3.0,0.2,0.0
7.0,472.0,0.875,0.503735325506937,1.0,5.0,3.0,0.2,0.0
6.8,489.8,0.85,0.5227321237993597,1.0,6.0,3.0,0.2,0.0
6.6,505.0,0.825,0.5389541088580576,1.0,7.0,3.0,0.2,0.0
6.6,491.0,0.825,0.5240128068303095,1.0,8.0,3.0,0.2,0.0
6.4,517.4,0.8,0.552187833511206,1.0,9.0,3.0,0.2,0.0
6.2,538.0,0.775,0.5741728922091782,1.0,10.0,3.0,0.2,0.0
6.8,491.0,0.85,0.5240128068303095,1.0,11.0,3.0,0.2,0.0
