current_time_step,drone_id,battery,estimated_waiting,energy_to_fly_to_charger,time_to_done_charging,charger,potential_drones_length,waiting_drones_length,accepted_queues_length,charging_drones_length
104,Drone_199,0.4599999999999995,0.6482176,0.25495097567963926,25.52689560699111,Charger_29,6,1,0,0
106,Drone_187,0.4149999999999995,0.71365875,0.2109502310972899,21.12686111897288,Charger_29,5,1,1,0
106,Drone_181,0.38999999999999946,0.62825215,0.18439088914585774,18.47086455015161,Charger_30,7,2,0,0
106,Drone_193,0.4249999999999995,0.61767936,0.2202271554554524,22.054524631763456,Charger_30,7,2,0,0
119,Drone_191,0.35999999999999943,0.6156767,0.15652475842498528,15.684336832835529,Charger_28,7,1,0,0
123,Drone_182,0.3199999999999994,0.6983621,0.11401754250991379,11.433514952691775,Charger_28,6,1,1,0
126,Drone_192,0.3249999999999994,0.6958325,0.12041594578792296,12.073411216623812,Charger_30,5,4,1,1
129,Drone_186,0.2949999999999994,0.735858,0.11401754250991379,11.434514952691776,Charger_29,4,3,1,1
132,Drone_196,0.3099999999999994,0.7206111,0.19235384061671343,19.270678215296012,Charger_30,4,4,1,2
136,Drone_198,0.2999999999999994,0.7867371,0.15652475842498528,15.686736832835528,Charger_29,3,3,1,2
145,Drone_194,0.24499999999999933,0.65857726,0.1414213562373095,14.177992477980444,Charger_28,5,5,0,2
145,Drone_200,0.25999999999999934,0.6508642,0.14317821063276354,14.353148191701663,Charger_28,5,5,0,2
244,Drone_199,0.4599999999999995,0.7633077,0.25495097567963926,25.52689560699111,Charger_29,4,1,0,0
253,Drone_187,0.4149999999999995,0.8411096,0.2109502310972899,21.12686111897288,Charger_29,3,1,1,0
254,Drone_182,0.4249999999999995,0.7554577,0.2202271554554524,22.054524631763456,Charger_30,4,1,0,0
256,Drone_181,0.38999999999999946,0.80852413,0.18439088914585774,18.47086455015161,Charger_30,3,1,1,0
270,Drone_193,0.3199999999999994,0.7689944,0.11401754250991379,11.433514952691775,Charger_28,4,1,0,0
281,Drone_191,0.35999999999999943,0.8382287,0.15652475842498528,15.684336832835529,Charger_28,3,1,1,0
305,Drone_200,0.3549999999999994,0.7784307,0.15,15.0318,Charger_30,4,1,0,0
316,Drone_194,0.3449999999999994,0.8541599,0.1414213562373095,14.173992477980443,Charger_28,3,1,0,1
316,Drone_186,0.3199999999999994,0.7567169,0.11401754250991379,11.433514952691775,Charger_29,4,1,0,0
317,Drone_198,0.2999999999999994,0.8291094,0.09219544457292887,9.251232275075804,Charger_28,3,2,1,1
319,Drone_192,0.28499999999999936,0.836668,0.0806225774829855,8.09408265139787,Charger_29,3,1,1,0
320,Drone_196,0.3149999999999994,0.83513683,0.10770329614269007,10.802037746114715,Charger_30,3,1,1,0
377,Drone_199,0.4599999999999995,0.7666932,0.25495097567963926,25.52689560699111,Charger_29,4,1,0,0
393,Drone_193,0.4249999999999995,0.7631301,0.2202271554554524,22.054524631763456,Charger_30,4,1,0,0
395,Drone_182,0.4249999999999995,0.81109035,0.2202271554554524,22.054524631763456,Charger_30,3,1,1,0
417,Drone_181,0.3199999999999994,0.90238523,0.18439088914585774,18.473664550151607,Charger_30,2,1,1,1
419,Drone_187,0.3199999999999994,0.77079445,0.11401754250991379,11.433514952691775,Charger_28,4,1,0,0
437,Drone_191,0.3399999999999994,0.8540685,0.15652475842498528,15.685136832835529,Charger_28,3,1,0,1
461,Drone_196,0.39999999999999947,0.9364438,0.19235384061671343,19.267078215296014,Charger_30,2,1,0,1
466,Drone_198,0.35999999999999943,0.7132836,0.15652475842498528,15.684336832835529,Charger_29,5,1,0,0
477,Drone_194,0.3449999999999994,0.75932205,0.1414213562373095,14.173992477980443,Charger_28,4,1,0,0
479,Drone_186,0.2999999999999994,0.81043255,0.09219544457292887,9.251232275075804,Charger_28,3,1,1,0
481,Drone_200,0.28499999999999936,0.7905746,0.0806225774829855,8.09408265139787,Charger_29,4,1,1,0
496,Drone_192,0.26499999999999935,0.8417421,0.0806225774829855,8.094882651397869,Charger_29,4,1,0,2
