Time,Charge Rate:0.06 - Baseline,Charge Rate:0.06 - Neural Network,Charge Rate:0.08 - Baseline,Charge Rate:0.08 - Neural Network,Charge Rate:0.10 - Baseline,Charge Rate:0.10 - Neural Network
0,0.37,0.33,0.44,0.48,0.55,0.54
1,0.32,0.34,0.48,0.47,0.54,0.54
2,0.34,0.37,0.46,0.46,0.53,0.58
3,0.36,0.37,0.47,0.5,0.54,0.56
4,0.35,0.36,0.44,0.49,0.53,0.6
5,0.36,0.36,0.47,0.47,0.54,0.58
6,0.33,0.34,0.46,0.46,0.54,0.54
7,0.32,0.36,0.44,0.46,0.51,0.54
8,0.35,0.31,0.46,0.44,0.52,0.58
