Time,Charge Rate:0.06 - Baseline,Charge Rate:0.06 - Neural Network,Charge Rate:0.08 - Baseline,Charge Rate:0.08 - Neural Network,Charge Rate:0.10 - Baseline,Charge Rate:0.10 - Neural Network
0,0.525,0.525,0.625,0.675,0.625,0.675
1,0.55,0.575,0.55,0.675,0.55,0.675
2,0.5,0.5,0.675,0.65,0.675,0.65
3,0.525,0.525,0.65,0.625,0.65,0.625
4,0.5,0.525,0.65,0.75,0.65,0.75
5,0.5,0.55,0.575,0.65,0.575,0.65
6,0.525,0.5,0.6,0.7,0.6,0.7
7,0.525,0.6,0.575,0.675,0.575,0.675
8,0.5,0.6,0.625,0.625,0.625,0.625
