Time,Charge Rate:0.06 - Baseline,Charge Rate:0.06 - Neural Network,Charge Rate:0.08 - Baseline,Charge Rate:0.08 - Neural Network,Charge Rate:0.10 - Baseline,Charge Rate:0.10 - Neural Network
0,0.4125,0.4125,0.5,0.5375,0.55,0.6
1,0.4,0.4125,0.4625,0.525,0.5375,0.575
2,0.3625,0.425,0.475,0.55,0.5875,0.6
3,0.4125,0.4125,0.5125,0.5375,0.55,0.575
4,0.4,0.4,0.5,0.55,0.5375,0.6125
5,0.3875,0.4125,0.475,0.5125,0.55,0.5875
6,0.4,0.3875,0.4875,0.5,0.5375,0.6
7,0.3875,0.4,0.5125,0.5125,0.525,0.5625
8,0.4,0.4125,0.475,0.5125,0.5625,0.575
